municipality,group,variable,month,Total Viviendas Roceadas,TOTAL
TAPACARI,chagas viviendas,total viviendas roceadas,2015-03-01,8,8
TARATA,chagas viviendas,total viviendas roceadas,2015-03-01,1,1
TOMAVE,chagas viviendas,total viviendas roceadas,2015-03-01,1,1
TORO TORO,chagas viviendas,total viviendas roceadas,2015-03-01,5,5
TUPIZA,chagas viviendas,total viviendas roceadas,2015-03-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-03-01,30,30
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-03-01,3,3
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-03-01,57,57
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-03-01,4,4
VINTO,chagas viviendas,total viviendas roceadas,2015-03-01,4,4
AIQUILE,chagas viviendas,total viviendas roceadas,2015-04-01,52,52
ARANI,chagas viviendas,total viviendas roceadas,2015-04-01,9,9
ARBIETO,chagas viviendas,total viviendas roceadas,2015-04-01,4,4
ARQUE,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-04-01,4,4
CAMARGO,chagas viviendas,total viviendas roceadas,2015-04-01,24,24
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas roceadas,2015-04-01,5,5
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-04-01,33,33
CARAPARI,chagas viviendas,total viviendas roceadas,2015-04-01,18,18
CKOCHAS,chagas viviendas,total viviendas roceadas,2015-04-01,103,103
CLIZA,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-04-01,32,32
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-04-01,7,7
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-04-01,5,5
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-04-01,19,19
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,total viviendas roceadas,2015-04-01,5,5
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-04-01,1,1
EL TORNO,chagas viviendas,total viviendas roceadas,2015-04-01,106,106
ENTRE RIOS TRJ,chagas viviendas,total viviendas roceadas,2015-04-01,4,4
HUACARETA,chagas viviendas,total viviendas roceadas,2015-04-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas roceadas,2015-04-01,131,131
ICLA,chagas viviendas,total viviendas roceadas,2015-04-01,20,20
LA ASUNTA,chagas viviendas,total viviendas roceadas,2015-04-01,174,174
LAS CARRERAS,chagas viviendas,total viviendas roceadas,2015-04-01,15,15
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-04-01,22,22
PASORAPA,chagas viviendas,total viviendas roceadas,2015-04-01,167,167
POCONA,chagas viviendas,total viviendas roceadas,2015-04-01,4,4
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-04-01,3,3
PRESTO,chagas viviendas,total viviendas roceadas,2015-04-01,10,10
PUNATA,chagas viviendas,total viviendas roceadas,2015-04-01,39,39
RAVELO,chagas viviendas,total viviendas roceadas,2015-04-01,60,60
SACABA,chagas viviendas,total viviendas roceadas,2015-04-01,23,23
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-04-01,7,7
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-04-01,14,14
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-04-01,25,25
SICAYA,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
TACACHI,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-04-01,2,2
TAPACARI,chagas viviendas,total viviendas roceadas,2015-04-01,13,13
TARABUCO,chagas viviendas,total viviendas roceadas,2015-04-01,48,48
TARATA,chagas viviendas,total viviendas roceadas,2015-04-01,2,2
TOCO,chagas viviendas,total viviendas roceadas,2015-04-01,1,1
TOLATA,chagas viviendas,total viviendas roceadas,2015-04-01,3,3
TORO TORO,chagas viviendas,total viviendas roceadas,2015-04-01,216,216
TOTORA(CBBA),chagas viviendas,total viviendas roceadas,2015-04-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-04-01,15,15
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-04-01,15,15
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-04-01,10,10
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-04-01,6,6
