municipality,group,variable,month,Total Viviendas Roceadas,TOTAL
ARQUE,chagas viviendas,total viviendas roceadas,2015-09-01,24,24
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-09-01,1,1
BETANZOS,chagas viviendas,total viviendas roceadas,2015-09-01,73,73
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-09-01,94,94
CLIZA,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
COBIJA,chagas viviendas,total viviendas roceadas,2015-09-01,5,5
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-09-01,52,52
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-09-01,11,11
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-09-01,10,10
COMARAPA,chagas viviendas,total viviendas roceadas,2015-09-01,18,18
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-09-01,3,3
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-09-01,17,17
EL TORNO,chagas viviendas,total viviendas roceadas,2015-09-01,12,12
ENTRE RIOS TRJ,chagas viviendas,total viviendas roceadas,2015-09-01,75,75
ICLA,chagas viviendas,total viviendas roceadas,2015-09-01,4,4
MOJOCOYA,chagas viviendas,total viviendas roceadas,2015-09-01,6,6
MONTEAGUDO,chagas viviendas,total viviendas roceadas,2015-09-01,108,108
MONTERO,chagas viviendas,total viviendas roceadas,2015-09-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-09-01,271,271
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-09-01,31,31
PADCAYA,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
PASORAPA,chagas viviendas,total viviendas roceadas,2015-09-01,32,32
POCOATA,chagas viviendas,total viviendas roceadas,2015-09-01,10,10
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-09-01,16,16
PUNATA,chagas viviendas,total viviendas roceadas,2015-09-01,15,15
SACABA,chagas viviendas,total viviendas roceadas,2015-09-01,15,15
SAIPINA,chagas viviendas,total viviendas roceadas,2015-09-01,147,147
SAN BENITO,chagas viviendas,total viviendas roceadas,2015-09-01,12,12
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-09-01,5,5
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-09-01,32,32
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-09-01,121,121
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-09-01,8,8
SICAYA,chagas viviendas,total viviendas roceadas,2015-09-01,17,17
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-09-01,22,22
SUCRE,chagas viviendas,total viviendas roceadas,2015-09-01,131,131
TACACHI,chagas viviendas,total viviendas roceadas,2015-09-01,50,50
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
TAPACARI,chagas viviendas,total viviendas roceadas,2015-09-01,8,8
TARABUCO,chagas viviendas,total viviendas roceadas,2015-09-01,15,15
TARATA,chagas viviendas,total viviendas roceadas,2015-09-01,1,1
TARIJA,chagas viviendas,total viviendas roceadas,2015-09-01,34,34
TARVITA,chagas viviendas,total viviendas roceadas,2015-09-01,19,19
TIQUIPAYA,chagas viviendas,total viviendas roceadas,2015-09-01,5,5
TOCO,chagas viviendas,total viviendas roceadas,2015-09-01,5,5
TOLATA,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
TOMAVE,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
TOMINA,chagas viviendas,total viviendas roceadas,2015-09-01,26,26
TORO TORO,chagas viviendas,total viviendas roceadas,2015-09-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-09-01,23,23
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-09-01,15,15
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-09-01,7,7
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-09-01,6,6
VILLAZON,chagas viviendas,total viviendas roceadas,2015-09-01,1,1
VINTO,chagas viviendas,total viviendas roceadas,2015-09-01,17,17
YACUIBA,chagas viviendas,total viviendas roceadas,2015-09-01,72,72
YOTALA,chagas viviendas,total viviendas roceadas,2015-09-01,11,11
YUNCHARA,chagas viviendas,total viviendas roceadas,2015-09-01,3,3
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-09-01,10,10
ACACIO,chagas viviendas,total viviendas roceadas,2015-10-01,13,13
AIQUILE,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
ALCALA,chagas viviendas,total viviendas roceadas,2015-10-01,9,9
ANZALDO,chagas viviendas,total viviendas roceadas,2015-10-01,13,13
ARAMPAMPA,chagas viviendas,total viviendas roceadas,2015-10-01,19,19
ARANI,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
ARQUE,chagas viviendas,total viviendas roceadas,2015-10-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-10-01,1,1
CAMARGO,chagas viviendas,total viviendas roceadas,2015-10-01,68,68
CAMIRI,chagas viviendas,total viviendas roceadas,2015-10-01,20,20
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-10-01,41,41
CARAPARI,chagas viviendas,total viviendas roceadas,2015-10-01,14,14
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,total viviendas roceadas,2015-10-01,1,1
CKOCHAS,chagas viviendas,total viviendas roceadas,2015-10-01,50,50
CLIZA,chagas viviendas,total viviendas roceadas,2015-10-01,2,2
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-10-01,42,42
COLCAPIRHUA,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
COMARAPA,chagas viviendas,total viviendas roceadas,2015-10-01,18,18
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
CUATRO CAÑADAS,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-10-01,29,29
ENTRE RIOS TRJ,chagas viviendas,total viviendas roceadas,2015-10-01,1,1
ICLA,chagas viviendas,total viviendas roceadas,2015-10-01,2,2
IRUPANA (VILLA DE LANZA),chagas viviendas,total viviendas roceadas,2015-10-01,4,4
LAS CARRERAS,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
MIZQUE,chagas viviendas,total viviendas roceadas,2015-10-01,54,54
MONTERO,chagas viviendas,total viviendas roceadas,2015-10-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-10-01,136,136
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-10-01,24,24
PADCAYA,chagas viviendas,total viviendas roceadas,2015-10-01,2,2
PADILLA,chagas viviendas,total viviendas roceadas,2015-10-01,9,9
PASORAPA,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
POCONA,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-10-01,1,1
POROMA,chagas viviendas,total viviendas roceadas,2015-10-01,7,7
PUCARA,chagas viviendas,total viviendas roceadas,2015-10-01,7,7
PUNATA,chagas viviendas,total viviendas roceadas,2015-10-01,23,23
RAVELO,chagas viviendas,total viviendas roceadas,2015-10-01,77,77
SACABA,chagas viviendas,total viviendas roceadas,2015-10-01,8,8
SAIPINA,chagas viviendas,total viviendas roceadas,2015-10-01,275,275
SAN BENITO,chagas viviendas,total viviendas roceadas,2015-10-01,7,7
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-10-01,6,6
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-10-01,45,45
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-10-01,362,362
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-10-01,4,4
SICAYA,chagas viviendas,total viviendas roceadas,2015-10-01,18,18
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-10-01,23,23
SOPACHUY,chagas viviendas,total viviendas roceadas,2015-10-01,454,454
SUCRE,chagas viviendas,total viviendas roceadas,2015-10-01,61,61
TACACHI,chagas viviendas,total viviendas roceadas,2015-10-01,7,7
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
TAPACARI,chagas viviendas,total viviendas roceadas,2015-10-01,25,25
TARATA,chagas viviendas,total viviendas roceadas,2015-10-01,2,2
TOMAVE,chagas viviendas,total viviendas roceadas,2015-10-01,1,1
TOMINA,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
TUPIZA,chagas viviendas,total viviendas roceadas,2015-10-01,9,9
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-10-01,33,33
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-10-01,22,22
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-10-01,38,38
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-10-01,6,6
VILLA RIVERO,chagas viviendas,total viviendas roceadas,2015-10-01,3,3
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-10-01,17,17
VILLAZON,chagas viviendas,total viviendas roceadas,2015-10-01,4,4
VINTO,chagas viviendas,total viviendas roceadas,2015-10-01,7,7
YACUIBA,chagas viviendas,total viviendas roceadas,2015-10-01,18,18
YOTALA,chagas viviendas,total viviendas roceadas,2015-10-01,22,22
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-10-01,29,29
ACACIO,chagas viviendas,total viviendas roceadas,2015-11-01,8,8
AIQUILE,chagas viviendas,total viviendas roceadas,2015-11-01,128,128
ALCALA,chagas viviendas,total viviendas roceadas,2015-11-01,6,6
ANZALDO,chagas viviendas,total viviendas roceadas,2015-11-01,12,12
ARAMPAMPA,chagas viviendas,total viviendas roceadas,2015-11-01,6,6
ARANI,chagas viviendas,total viviendas roceadas,2015-11-01,7,7
ARQUE,chagas viviendas,total viviendas roceadas,2015-11-01,12,12
CAMARGO,chagas viviendas,total viviendas roceadas,2015-11-01,5,5
CAMIRI,chagas viviendas,total viviendas roceadas,2015-11-01,25,25
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-11-01,32,32
CARAPARI,chagas viviendas,total viviendas roceadas,2015-11-01,1,1
CKOCHAS,chagas viviendas,total viviendas roceadas,2015-11-01,93,93
CLIZA,chagas viviendas,total viviendas roceadas,2015-11-01,2,2
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-11-01,45,45
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-11-01,10,10
COMARAPA,chagas viviendas,total viviendas roceadas,2015-11-01,2,2
COTAGAITA,chagas viviendas,total viviendas roceadas,2015-11-01,1,1
CUATRO CAÑADAS,chagas viviendas,total viviendas roceadas,2015-11-01,3,3
CULPINA,chagas viviendas,total viviendas roceadas,2015-11-01,106,106
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-11-01,9,9
EL TORNO,chagas viviendas,total viviendas roceadas,2015-11-01,2,2
ENTRE RIOS TRJ,chagas viviendas,total viviendas roceadas,2015-11-01,103,103
HUACARETA,chagas viviendas,total viviendas roceadas,2015-11-01,42,42
HUACAYA (VILLA DE HUACAYA),chagas viviendas,total viviendas roceadas,2015-11-01,133,133
ICLA,chagas viviendas,total viviendas roceadas,2015-11-01,5,5
INCAHUASI,chagas viviendas,total viviendas roceadas,2015-11-01,15,15
LURIBAY,chagas viviendas,total viviendas roceadas,2015-11-01,4,4
MACHARETI,chagas viviendas,total viviendas roceadas,2015-11-01,54,54
MIZQUE,chagas viviendas,total viviendas roceadas,2015-11-01,60,60
MOJOCOYA,chagas viviendas,total viviendas roceadas,2015-11-01,19,19
MONTEAGUDO,chagas viviendas,total viviendas roceadas,2015-11-01,119,119
MONTERO,chagas viviendas,total viviendas roceadas,2015-11-01,0,0
OCURI,chagas viviendas,total viviendas roceadas,2015-11-01,237,237
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-11-01,15,15
PADILLA,chagas viviendas,total viviendas roceadas,2015-11-01,15,15
PAMPA GRANDE,chagas viviendas,total viviendas roceadas,2015-11-01,55,55
PASORAPA,chagas viviendas,total viviendas roceadas,2015-11-01,26,26
POCOATA,chagas viviendas,total viviendas roceadas,2015-11-01,3,3
POCONA,chagas viviendas,total viviendas roceadas,2015-11-01,1,1
POJO (CBBA),chagas viviendas,total viviendas roceadas,2015-11-01,178,178
POROMA,chagas viviendas,total viviendas roceadas,2015-11-01,70,70
PUCARA,chagas viviendas,total viviendas roceadas,2015-11-01,5,5
PUNATA,chagas viviendas,total viviendas roceadas,2015-11-01,17,17
RAVELO,chagas viviendas,total viviendas roceadas,2015-11-01,85,85
SACABA,chagas viviendas,total viviendas roceadas,2015-11-01,21,21
SAIPINA,chagas viviendas,total viviendas roceadas,2015-11-01,130,130
SAN BENITO,chagas viviendas,total viviendas roceadas,2015-11-01,8,8
SAN LORENZO(TJA),chagas viviendas,total viviendas roceadas,2015-11-01,2,2
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-11-01,11,11
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-11-01,211,211
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-11-01,15,15
SAPAHAQUI,chagas viviendas,total viviendas roceadas,2015-11-01,89,89
SICAYA,chagas viviendas,total viviendas roceadas,2015-11-01,12,12
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-11-01,34,34
SOPACHUY,chagas viviendas,total viviendas roceadas,2015-11-01,232,232
SUCRE,chagas viviendas,total viviendas roceadas,2015-11-01,218,218
TACACHI,chagas viviendas,total viviendas roceadas,2015-11-01,16,16
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-11-01,7,7
TAPACARI,chagas viviendas,total viviendas roceadas,2015-11-01,15,15
TARABUCO,chagas viviendas,total viviendas roceadas,2015-11-01,62,62
TARATA,chagas viviendas,total viviendas roceadas,2015-11-01,2,2
TARIJA,chagas viviendas,total viviendas roceadas,2015-11-01,43,43
TARVITA,chagas viviendas,total viviendas roceadas,2015-11-01,25,25
TOCO,chagas viviendas,total viviendas roceadas,2015-11-01,5,5
TOLATA,chagas viviendas,total viviendas roceadas,2015-11-01,3,3
TORO TORO,chagas viviendas,total viviendas roceadas,2015-11-01,369,369
TUPIZA,chagas viviendas,total viviendas roceadas,2015-11-01,11,11
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-11-01,18,18
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-11-01,33,33
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-11-01,111,111
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-11-01,20,20
VINTO,chagas viviendas,total viviendas roceadas,2015-11-01,1,1
VITICHI,chagas viviendas,total viviendas roceadas,2015-11-01,1,1
YACUIBA,chagas viviendas,total viviendas roceadas,2015-11-01,75,75
YOTALA,chagas viviendas,total viviendas roceadas,2015-11-01,20,20
AIQUILE,chagas viviendas,total viviendas roceadas,2015-12-01,110,110
ANZALDO,chagas viviendas,total viviendas roceadas,2015-12-01,3,3
ARAMPAMPA,chagas viviendas,total viviendas roceadas,2015-12-01,22,22
ARANI,chagas viviendas,total viviendas roceadas,2015-12-01,9,9
ARBIETO,chagas viviendas,total viviendas roceadas,2015-12-01,4,4
ARQUE,chagas viviendas,total viviendas roceadas,2015-12-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas roceadas,2015-12-01,5,5
BETANZOS,chagas viviendas,total viviendas roceadas,2015-12-01,24,24
CAMARGO,chagas viviendas,total viviendas roceadas,2015-12-01,44,44
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas roceadas,2015-12-01,1,1
CAPINOTA,chagas viviendas,total viviendas roceadas,2015-12-01,50,50
CKOCHAS,chagas viviendas,total viviendas roceadas,2015-12-01,23,23
CLIZA,chagas viviendas,total viviendas roceadas,2015-12-01,3,3
COCHABAMBA,chagas viviendas,total viviendas roceadas,2015-12-01,19,19
COLQUECHACA,chagas viviendas,total viviendas roceadas,2015-12-01,10,10
CUATRO CAÑADAS,chagas viviendas,total viviendas roceadas,2015-12-01,3,3
EL PUENTE(TJA),chagas viviendas,total viviendas roceadas,2015-12-01,21,21
EL TORNO,chagas viviendas,total viviendas roceadas,2015-12-01,17,17
HUACARETA,chagas viviendas,total viviendas roceadas,2015-12-01,2,2
ICLA,chagas viviendas,total viviendas roceadas,2015-12-01,12,12
INCAHUASI,chagas viviendas,total viviendas roceadas,2015-12-01,39,39
LURIBAY,chagas viviendas,total viviendas roceadas,2015-12-01,4,4
MOJOCOYA,chagas viviendas,total viviendas roceadas,2015-12-01,85,85
MONTERO,chagas viviendas,total viviendas roceadas,2015-12-01,0,0
OMEREQUE,chagas viviendas,total viviendas roceadas,2015-12-01,44,44
PADCAYA,chagas viviendas,total viviendas roceadas,2015-12-01,1,1
PADILLA,chagas viviendas,total viviendas roceadas,2015-12-01,26,26
PASORAPA,chagas viviendas,total viviendas roceadas,2015-12-01,9,9
POCONA,chagas viviendas,total viviendas roceadas,2015-12-01,2,2
PRESTO,chagas viviendas,total viviendas roceadas,2015-12-01,22,22
PUCARA,chagas viviendas,total viviendas roceadas,2015-12-01,1,1
RAVELO,chagas viviendas,total viviendas roceadas,2015-12-01,85,85
SACABA,chagas viviendas,total viviendas roceadas,2015-12-01,15,15
SAIPINA,chagas viviendas,total viviendas roceadas,2015-12-01,37,37
SAN BENITO,chagas viviendas,total viviendas roceadas,2015-12-01,5,5
SAN LUCAS,chagas viviendas,total viviendas roceadas,2015-12-01,423,423
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas roceadas,2015-12-01,103,103
SAPAHAQUI,chagas viviendas,total viviendas roceadas,2015-12-01,9,9
SICAYA,chagas viviendas,total viviendas roceadas,2015-12-01,8,8
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-12-01,80,80
SUCRE,chagas viviendas,total viviendas roceadas,2015-12-01,108,108
TACACHI,chagas viviendas,total viviendas roceadas,2015-12-01,3,3
TACOPAYA,chagas viviendas,total viviendas roceadas,2015-12-01,2,2
TAPACARI,chagas viviendas,total viviendas roceadas,2015-12-01,27,27
TARATA,chagas viviendas,total viviendas roceadas,2015-12-01,2,2
TARIJA,chagas viviendas,total viviendas roceadas,2015-12-01,1,1
TARVITA,chagas viviendas,total viviendas roceadas,2015-12-01,8,8
TOCO,chagas viviendas,total viviendas roceadas,2015-12-01,4,4
TORO TORO,chagas viviendas,total viviendas roceadas,2015-12-01,4,4
TUPIZA,chagas viviendas,total viviendas roceadas,2015-12-01,32,32
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-12-01,34,34
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-12-01,77,77
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-12-01,6,6
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-12-01,4,4
VINTO,chagas viviendas,total viviendas roceadas,2015-12-01,16,16
YACUIBA,chagas viviendas,total viviendas roceadas,2015-12-01,1,1
YOTALA,chagas viviendas,total viviendas roceadas,2015-12-01,35,35
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-12-01,5,5
