municipality,group,variable,month,Total Viviendas Positivas,TOTAL
AIQUILE,chagas viviendas,total viviendas positivas,2015-01-01,6,6
ANZALDO,chagas viviendas,total viviendas positivas,2015-01-01,1,1
ARBIETO,chagas viviendas,total viviendas positivas,2015-01-01,11,11
ARQUE,chagas viviendas,total viviendas positivas,2015-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas positivas,2015-01-01,1,1
CAPINOTA,chagas viviendas,total viviendas positivas,2015-01-01,15,15
CARAPARI,chagas viviendas,total viviendas positivas,2015-01-01,18,18
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-01-01,9,9
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-01-01,1,1
MONTEAGUDO,chagas viviendas,total viviendas positivas,2015-01-01,4,4
OMEREQUE,chagas viviendas,total viviendas positivas,2015-01-01,1,1
PADILLA,chagas viviendas,total viviendas positivas,2015-01-01,16,16
PAILON,chagas viviendas,total viviendas positivas,2015-01-01,2,2
PAMPA GRANDE,chagas viviendas,total viviendas positivas,2015-01-01,2,2
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-01-01,11,11
SACABA,chagas viviendas,total viviendas positivas,2015-01-01,3,3
SAN LORENZO(TJA),chagas viviendas,total viviendas positivas,2015-01-01,1,1
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-01-01,6,6
SICAYA,chagas viviendas,total viviendas positivas,2015-01-01,2,2
SUCRE,chagas viviendas,total viviendas positivas,2015-01-01,10,10
TIQUIPAYA,chagas viviendas,total viviendas positivas,2015-01-01,2,2
TOMAVE,chagas viviendas,total viviendas positivas,2015-01-01,3,3
VILLA MONTES,chagas viviendas,total viviendas positivas,2015-01-01,2,2
VILLA RIVERO,chagas viviendas,total viviendas positivas,2015-01-01,1,1
VINTO,chagas viviendas,total viviendas positivas,2015-01-01,4,4
AIQUILE,chagas viviendas,total viviendas positivas,2015-02-01,42,42
ANZALDO,chagas viviendas,total viviendas positivas,2015-02-01,1,1
ARANI,chagas viviendas,total viviendas positivas,2015-02-01,1,1
ARBIETO,chagas viviendas,total viviendas positivas,2015-02-01,17,17
CAPINOTA,chagas viviendas,total viviendas positivas,2015-02-01,2,2
CARAPARI,chagas viviendas,total viviendas positivas,2015-02-01,15,15
COCHABAMBA,chagas viviendas,total viviendas positivas,2015-02-01,31,31
COLCAPIRHUA,chagas viviendas,total viviendas positivas,2015-02-01,1,1
ENTRE RIOS TRJ,chagas viviendas,total viviendas positivas,2015-02-01,3,3
ICLA,chagas viviendas,total viviendas positivas,2015-02-01,2,2
PAMPA GRANDE,chagas viviendas,total viviendas positivas,2015-02-01,2,2
POCOATA,chagas viviendas,total viviendas positivas,2015-02-01,2,2
POCONA,chagas viviendas,total viviendas positivas,2015-02-01,1,1
POJO (CBBA),chagas viviendas,total viviendas positivas,2015-02-01,13,13
PUNATA,chagas viviendas,total viviendas positivas,2015-02-01,1,1
SACABA,chagas viviendas,total viviendas positivas,2015-02-01,5,5
SAIPINA,chagas viviendas,total viviendas positivas,2015-02-01,4,4
SAN LUCAS,chagas viviendas,total viviendas positivas,2015-02-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas positivas,2015-02-01,9,9
SANTIVAÑES,chagas viviendas,total viviendas positivas,2015-02-01,3,3
SUCRE,chagas viviendas,total viviendas positivas,2015-02-01,5,5
TARATA,chagas viviendas,total viviendas positivas,2015-02-01,2,2
TORO TORO,chagas viviendas,total viviendas positivas,2015-02-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas positivas,2015-02-01,3,3
