municipality,group,variable,month,Total Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,total viviendas evaluadas,2015-01-01,260,260
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-01-01,592,592
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-01-01,74,74
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-01-01,253,253
ARQUE,chagas viviendas,total viviendas evaluadas,2015-01-01,32,32
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-01-01,37,37
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-01-01,161,161
CARAPARI,chagas viviendas,total viviendas evaluadas,2015-01-01,194,194
CLIZA,chagas viviendas,total viviendas evaluadas,2015-01-01,400,400
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-01-01,222,222
COLCAPIRHUA,chagas viviendas,total viviendas evaluadas,2015-01-01,152,152
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-01-01,47,47
ICLA,chagas viviendas,total viviendas evaluadas,2015-01-01,120,120
LAS CARRERAS,chagas viviendas,total viviendas evaluadas,2015-01-01,406,406
MONTEAGUDO,chagas viviendas,total viviendas evaluadas,2015-01-01,354,354
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-01-01,52,52
PADILLA,chagas viviendas,total viviendas evaluadas,2015-01-01,356,356
PAILON,chagas viviendas,total viviendas evaluadas,2015-01-01,24,24
PAMPA GRANDE,chagas viviendas,total viviendas evaluadas,2015-01-01,67,67
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-01-01,49,49
POCONA,chagas viviendas,total viviendas evaluadas,2015-01-01,93,93
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-01-01,84,84
POSTRER VALLE,chagas viviendas,total viviendas evaluadas,2015-01-01,20,20
PUCARA,chagas viviendas,total viviendas evaluadas,2015-01-01,70,70
SACABA,chagas viviendas,total viviendas evaluadas,2015-01-01,167,167
SACABAMBA,chagas viviendas,total viviendas evaluadas,2015-01-01,15,15
SAN JULIAN,chagas viviendas,total viviendas evaluadas,2015-01-01,10,10
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-01-01,1,1
SANTIVAÑES,chagas viviendas,total viviendas evaluadas,2015-01-01,113,113
SICAYA,chagas viviendas,total viviendas evaluadas,2015-01-01,20,20
SUCRE,chagas viviendas,total viviendas evaluadas,2015-01-01,1658,1658
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-01-01,73,73
TARATA,chagas viviendas,total viviendas evaluadas,2015-01-01,50,50
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-01-01,296,296
TOCO,chagas viviendas,total viviendas evaluadas,2015-01-01,78,78
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-01-01,252,252
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-01-01,51,51
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas evaluadas,2015-01-01,284,284
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-01-01,114,114
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-01-01,159,159
VINTO,chagas viviendas,total viviendas evaluadas,2015-01-01,247,247
VITICHI,chagas viviendas,total viviendas evaluadas,2015-01-01,150,150
YAMPARAEZ,chagas viviendas,total viviendas evaluadas,2015-01-01,181,181
YUNCHARA,chagas viviendas,total viviendas evaluadas,2015-01-01,100,100
ACACIO,chagas viviendas,total viviendas evaluadas,2015-02-01,240,240
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-02-01,970,970
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-02-01,171,171
