municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2018-01-01,232,232
AIQUILE,chagas viviendas,viviendas evaluadas,2018-01-01,307,307
ANZALDO,chagas viviendas,viviendas evaluadas,2018-01-01,376,376
ARBIETO,chagas viviendas,viviendas evaluadas,2018-01-01,246,246
BETANZOS,chagas viviendas,viviendas evaluadas,2018-01-01,142,142
CAPINOTA,chagas viviendas,viviendas evaluadas,2018-01-01,531,531
CKOCHAS,chagas viviendas,viviendas evaluadas,2018-01-01,215,215
CLIZA,chagas viviendas,viviendas evaluadas,2018-01-01,283,283
COCHABAMBA,chagas viviendas,viviendas evaluadas,2018-01-01,8,8
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2018-01-01,154,154
COLQUECHACA,chagas viviendas,viviendas evaluadas,2018-01-01,223,223
COTAGAITA,chagas viviendas,viviendas evaluadas,2018-01-01,134,134
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2018-01-01,165,165
EL TORNO,chagas viviendas,viviendas evaluadas,2018-01-01,16,16
HUACARETA,chagas viviendas,viviendas evaluadas,2018-01-01,486,486
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2018-01-01,90,90
ICLA,chagas viviendas,viviendas evaluadas,2018-01-01,219,219
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2018-01-01,15,15
MIZQUE,chagas viviendas,viviendas evaluadas,2018-01-01,313,313
OMEREQUE,chagas viviendas,viviendas evaluadas,2018-01-01,47,47
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2018-01-01,55,55
POJO (CBBA),chagas viviendas,viviendas evaluadas,2018-01-01,186,186
PUNATA,chagas viviendas,viviendas evaluadas,2018-01-01,120,120
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2018-01-01,676,676
SAN BENITO,chagas viviendas,viviendas evaluadas,2018-01-01,123,123
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2018-01-01,252,252
SIPE SIPE,chagas viviendas,viviendas evaluadas,2018-01-01,344,344
TACACHI,chagas viviendas,viviendas evaluadas,2018-01-01,127,127
TAPACARI,chagas viviendas,viviendas evaluadas,2018-01-01,114,114
TOCO,chagas viviendas,viviendas evaluadas,2018-01-01,300,300
TOMAVE,chagas viviendas,viviendas evaluadas,2018-01-01,141,141
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2018-01-01,152,152
VINTO,chagas viviendas,viviendas evaluadas,2018-01-01,367,367
VITICHI,chagas viviendas,viviendas evaluadas,2018-01-01,235,235
AIQUILE,chagas viviendas,viviendas evaluadas,2018-02-01,770,770
ANZALDO,chagas viviendas,viviendas evaluadas,2018-02-01,218,218
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2018-02-01,33,33
ARBIETO,chagas viviendas,viviendas evaluadas,2018-02-01,240,240
ARQUE,chagas viviendas,viviendas evaluadas,2018-02-01,101,101
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2018-02-01,206,206
CAPINOTA,chagas viviendas,viviendas evaluadas,2018-02-01,549,549
CKOCHAS,chagas viviendas,viviendas evaluadas,2018-02-01,285,285
CLIZA,chagas viviendas,viviendas evaluadas,2018-02-01,108,108
COCHABAMBA,chagas viviendas,viviendas evaluadas,2018-02-01,190,190
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2018-02-01,126,126
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2018-02-01,110,110
CULPINA,chagas viviendas,viviendas evaluadas,2018-02-01,265,265
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2018-02-01,115,115
ICLA,chagas viviendas,viviendas evaluadas,2018-02-01,1,1
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2018-02-01,10,10
MIZQUE,chagas viviendas,viviendas evaluadas,2018-02-01,311,311
POCONA,chagas viviendas,viviendas evaluadas,2018-02-01,48,48
PUNATA,chagas viviendas,viviendas evaluadas,2018-02-01,70,70
SAN BENITO,chagas viviendas,viviendas evaluadas,2018-02-01,176,176
SAN JULIAN,chagas viviendas,viviendas evaluadas,2018-02-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2018-02-01,28,28
SICAYA,chagas viviendas,viviendas evaluadas,2018-02-01,114,114
SIPE SIPE,chagas viviendas,viviendas evaluadas,2018-02-01,376,376
TACACHI,chagas viviendas,viviendas evaluadas,2018-02-01,40,40
TAPACARI,chagas viviendas,viviendas evaluadas,2018-02-01,30,30
TOCO,chagas viviendas,viviendas evaluadas,2018-02-01,99,99
TOLATA,chagas viviendas,viviendas evaluadas,2018-02-01,15,15
TOMAVE,chagas viviendas,viviendas evaluadas,2018-02-01,123,123
TORO TORO,chagas viviendas,viviendas evaluadas,2018-02-01,198,198
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2018-02-01,25,25
TUPIZA,chagas viviendas,viviendas evaluadas,2018-02-01,154,154
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2018-02-01,83,83
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2018-02-01,220,220
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2018-02-01,148,148
VINTO,chagas viviendas,viviendas evaluadas,2018-02-01,169,169
YOTALA,chagas viviendas,viviendas evaluadas,2018-02-01,374,374
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2018-02-01,169,169
ACACIO,chagas viviendas,viviendas evaluadas,2018-03-01,80,80
AIQUILE,chagas viviendas,viviendas evaluadas,2018-03-01,603,603
ANZALDO,chagas viviendas,viviendas evaluadas,2018-03-01,406,406
