municipality,group,variable,month,Viviendas Positivas,TOTAL
AIQUILE,chagas viviendas,viviendas positivas,2018-01-01,3,3
ARBIETO,chagas viviendas,viviendas positivas,2018-01-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2018-01-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2018-01-01,1,1
CKOCHAS,chagas viviendas,viviendas positivas,2018-01-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2018-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2018-01-01,1,1
COLCAPIRHUA,chagas viviendas,viviendas positivas,2018-01-01,1,1
COLQUECHACA,chagas viviendas,viviendas positivas,2018-01-01,2,2
COTAGAITA,chagas viviendas,viviendas positivas,2018-01-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2018-01-01,5,5
EL TORNO,chagas viviendas,viviendas positivas,2018-01-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2018-01-01,7,7
LAGUNILLAS,chagas viviendas,viviendas positivas,2018-01-01,5,5
MIZQUE,chagas viviendas,viviendas positivas,2018-01-01,11,11
PAMPA GRANDE,chagas viviendas,viviendas positivas,2018-01-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2018-01-01,6,6
PUNATA,chagas viviendas,viviendas positivas,2018-01-01,2,2
QUILLACOLLO,chagas viviendas,viviendas positivas,2018-01-01,10,10
SAN BENITO,chagas viviendas,viviendas positivas,2018-01-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2018-01-01,5,5
SANTIVAÑES,chagas viviendas,viviendas positivas,2018-01-01,9,9
TARABUCO,chagas viviendas,viviendas positivas,2018-01-01,41,41
VILLA RIVERO,chagas viviendas,viviendas positivas,2018-01-01,2,2
VINTO,chagas viviendas,viviendas positivas,2018-01-01,6,6
AIQUILE,chagas viviendas,viviendas positivas,2018-02-01,1,1
ARBIETO,chagas viviendas,viviendas positivas,2018-02-01,2,2
ARQUE,chagas viviendas,viviendas positivas,2018-02-01,10,10
CAPINOTA,chagas viviendas,viviendas positivas,2018-02-01,13,13
COCHABAMBA,chagas viviendas,viviendas positivas,2018-02-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2018-02-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2018-02-01,3,3
LAGUNILLAS,chagas viviendas,viviendas positivas,2018-02-01,4,4
MIZQUE,chagas viviendas,viviendas positivas,2018-02-01,10,10
PUNATA,chagas viviendas,viviendas positivas,2018-02-01,3,3
SAN BENITO,chagas viviendas,viviendas positivas,2018-02-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2018-02-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2018-02-01,5,5
SIPE SIPE,chagas viviendas,viviendas positivas,2018-02-01,1,1
TACACHI,chagas viviendas,viviendas positivas,2018-02-01,3,3
TINGUIPAYA,chagas viviendas,viviendas positivas,2018-02-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2018-02-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2018-02-01,2,2
VALLEGRANDE,chagas viviendas,viviendas positivas,2018-02-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2018-02-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2018-03-01,18,18
