municipality,group,variable,month,Viviendas Roceadas,TOTAL
AIQUILE,chagas viviendas,viviendas roceadas,2018-01-01,29,29
ANZALDO,chagas viviendas,viviendas roceadas,2018-01-01,4,4
ARBIETO,chagas viviendas,viviendas roceadas,2018-01-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2018-01-01,11,11
BETANZOS,chagas viviendas,viviendas roceadas,2018-01-01,10,10
CAPINOTA,chagas viviendas,viviendas roceadas,2018-01-01,6,6
CKOCHAS,chagas viviendas,viviendas roceadas,2018-01-01,5,5
CLIZA,chagas viviendas,viviendas roceadas,2018-01-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2018-01-01,9,9
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2018-01-01,18,18
COTAGAITA,chagas viviendas,viviendas roceadas,2018-01-01,4,4
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2018-01-01,7,7
EL TORNO,chagas viviendas,viviendas roceadas,2018-01-01,16,16
HUACARETA,chagas viviendas,viviendas roceadas,2018-01-01,6,6
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2018-01-01,2,2
ICLA,chagas viviendas,viviendas roceadas,2018-01-01,19,19
MIZQUE,chagas viviendas,viviendas roceadas,2018-01-01,17,17
OMEREQUE,chagas viviendas,viviendas roceadas,2018-01-01,23,23
POJO (CBBA),chagas viviendas,viviendas roceadas,2018-01-01,10,10
QUILLACOLLO,chagas viviendas,viviendas roceadas,2018-01-01,27,27
SAN BENITO,chagas viviendas,viviendas roceadas,2018-01-01,3,3
SAN LUCAS,chagas viviendas,viviendas roceadas,2018-01-01,5,5
SANTIVAÑES,chagas viviendas,viviendas roceadas,2018-01-01,12,12
SIPE SIPE,chagas viviendas,viviendas roceadas,2018-01-01,13,13
TARABUCO,chagas viviendas,viviendas roceadas,2018-01-01,50,50
VILLA RIVERO,chagas viviendas,viviendas roceadas,2018-01-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2018-01-01,6,6
AIQUILE,chagas viviendas,viviendas roceadas,2018-02-01,13,13
ARBIETO,chagas viviendas,viviendas roceadas,2018-02-01,3,3
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2018-02-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2018-02-01,30,30
CLIZA,chagas viviendas,viviendas roceadas,2018-02-01,4,4
COCHABAMBA,chagas viviendas,viviendas roceadas,2018-02-01,12,12
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2018-02-01,5,5
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2018-02-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2018-02-01,5,5
ICLA,chagas viviendas,viviendas roceadas,2018-02-01,7,7
MIZQUE,chagas viviendas,viviendas roceadas,2018-02-01,6,6
OMEREQUE,chagas viviendas,viviendas roceadas,2018-02-01,11,11
PUNATA,chagas viviendas,viviendas roceadas,2018-02-01,4,4
QUILLACOLLO,chagas viviendas,viviendas roceadas,2018-02-01,6,6
SAN BENITO,chagas viviendas,viviendas roceadas,2018-02-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2018-02-01,4,4
SANTA ANA,chagas viviendas,viviendas roceadas,2018-02-01,60,60
SICAYA,chagas viviendas,viviendas roceadas,2018-02-01,6,6
SIPE SIPE,chagas viviendas,viviendas roceadas,2018-02-01,18,18
TACACHI,chagas viviendas,viviendas roceadas,2018-02-01,6,6
TAPACARI,chagas viviendas,viviendas roceadas,2018-02-01,130,130
TARIJA,chagas viviendas,viviendas roceadas,2018-02-01,25,25
TORO TORO,chagas viviendas,viviendas roceadas,2018-02-01,1,1
VALLEGRANDE,chagas viviendas,viviendas roceadas,2018-02-01,26,26
VILLA SERRANO,chagas viviendas,viviendas roceadas,2018-02-01,4,4
VINTO,chagas viviendas,viviendas roceadas,2018-02-01,7,7
AIQUILE,chagas viviendas,viviendas roceadas,2018-03-01,50,50
ANZALDO,chagas viviendas,viviendas roceadas,2018-03-01,18,18
ARANI,chagas viviendas,viviendas roceadas,2018-03-01,7,7
ARBIETO,chagas viviendas,viviendas roceadas,2018-03-01,5,5
ARQUE,chagas viviendas,viviendas roceadas,2018-03-01,15,15
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2018-03-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2018-03-01,36,36
CLIZA,chagas viviendas,viviendas roceadas,2018-03-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2018-03-01,33,33
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2018-03-01,18,18
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2018-03-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2018-03-01,13,13
EL TORNO,chagas viviendas,viviendas roceadas,2018-03-01,6,6
LAGUNILLAS,chagas viviendas,viviendas roceadas,2018-03-01,150,150
MIZQUE,chagas viviendas,viviendas roceadas,2018-03-01,67,67
OMEREQUE,chagas viviendas,viviendas roceadas,2018-03-01,5,5
PASORAPA,chagas viviendas,viviendas roceadas,2018-03-01,2,2
POCONA,chagas viviendas,viviendas roceadas,2018-03-01,6,6
POJO (CBBA),chagas viviendas,viviendas roceadas,2018-03-01,1,1
PRESTO,chagas viviendas,viviendas roceadas,2018-03-01,1,1
PUNATA,chagas viviendas,viviendas roceadas,2018-03-01,6,6
QUILLACOLLO,chagas viviendas,viviendas roceadas,2018-03-01,3,3
RAVELO,chagas viviendas,viviendas roceadas,2018-03-01,20,20
SACABA,chagas viviendas,viviendas roceadas,2018-03-01,8,8
SAN BENITO,chagas viviendas,viviendas roceadas,2018-03-01,7,7
SANTIVAÑES,chagas viviendas,viviendas roceadas,2018-03-01,21,21
SICAYA,chagas viviendas,viviendas roceadas,2018-03-01,15,15
SIPE SIPE,chagas viviendas,viviendas roceadas,2018-03-01,35,35
TAPACARI,chagas viviendas,viviendas roceadas,2018-03-01,5,5
TARIJA,chagas viviendas,viviendas roceadas,2018-03-01,8,8
TOCO,chagas viviendas,viviendas roceadas,2018-03-01,7,7
TORO TORO,chagas viviendas,viviendas roceadas,2018-03-01,5,5
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2018-03-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2018-03-01,2,2
VALLEGRANDE,chagas viviendas,viviendas roceadas,2018-03-01,8,8
VILLA MONTES,chagas viviendas,viviendas roceadas,2018-03-01,3,3
VILLA RIVERO,chagas viviendas,viviendas roceadas,2018-03-01,4,4
VINTO,chagas viviendas,viviendas roceadas,2018-03-01,3,3
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2018-03-01,3,3
