municipality,group,variable,month,Nº de CAI de sector realizados,TOTAL
ACACIO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
ACHACACHI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,5,5
ANCORAIMES,actividades con la comunidad,no de cai de sector realizados,2009-01-01,4,4
ANDAMARCA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,3,3
ARANI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
ARBIETO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
AYO AYO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
BATALLAS,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
BELEN DE ANDAMARCA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
BERMEJO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
BETANZOS,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
BUENA VISTA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
CALAMARCA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CAMARGO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,2,2
CAMIRI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CARACOLLO,actividades con la comunidad,no de cai de sector realizados,2009-01-01,7,7
CARANAVI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,3,3
CARANGAS,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CARAPARI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,3,3
CATACORA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CHAQUI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CHARAGUA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,4,4
CHAYANTA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
CLIZA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,4,4
COCHABAMBA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,7,7
COLCAPIRHUA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
COLLANA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
COLOMI,actividades con la comunidad,no de cai de sector realizados,2009-01-01,3,3
COLPA BELGICA,actividades con la comunidad,no de cai de sector realizados,2009-01-01,1,1
