municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
ACACIO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,5,5
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,110,110
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,13,13
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,33,33
ALALAY,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,7,7
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,18,18
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,22,22
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,6,6
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,23,23
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,32,32
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
ARQUE,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,3,3
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,7,7
AUCAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,3,3
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,33,33
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,13,13
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,16,16
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,12,12
BELEN DE ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,17,17
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,78,78
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,24,24
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,11,11
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,5,5
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,13,13
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,21,21
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,14,14
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,6,6
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,57,57
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,13,13
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,8,8
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,6,6
CAQUIAVIRI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,23,23
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,10,10
CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,3,3
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,18,18
CARIPUYO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,25,25
CARMEN RIVERO TORREZ,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
CATACORA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,12,12
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,10,10
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,8,8
CHAYANTA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,9,9
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
CHIPAYA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
CHOQUE COTA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,32,32
CLIZA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
COBIJA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,4,4
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,473,473
COLCAPIRHUA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,28,28
"COLCHA ""K""",actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,16,16
COLPA BELGICA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
COLQUECHACA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,12,12
COLQUIRI,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,46,46
COMARAPA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,2,2
COMBAYA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,9,9
CONCEPCION,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,1,1
COROICO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,16,16
CORQUE,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,19,19
COTAGAITA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,77,77
COTOCA,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,4,4
CUATRO CAÑADAS,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,3,3
CUEVO,actividades con la comunidad,no de actividades realizadas con participacion,2009-01-01,13,13
