municipality,group,variable,month,Viviendas Positivas,TOTAL
ACACIO,chagas viviendas,viviendas positivas,2022-01-01,2,2
ANZALDO,chagas viviendas,viviendas positivas,2022-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2022-01-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2022-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2022-01-01,1,1
LURIBAY,chagas viviendas,viviendas positivas,2022-01-01,7,7
PASORAPA,chagas viviendas,viviendas positivas,2022-01-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2022-01-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2022-01-01,9,9
TACOBAMBA,chagas viviendas,viviendas positivas,2022-01-01,133,133
TIQUIPAYA,chagas viviendas,viviendas positivas,2022-01-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas positivas,2022-01-01,1,1
VILLA SERRANO,chagas viviendas,viviendas positivas,2022-01-01,1,1
ANZALDO,chagas viviendas,viviendas positivas,2022-02-01,2,2
ARANI,chagas viviendas,viviendas positivas,2022-02-01,5,5
BETANZOS,chagas viviendas,viviendas positivas,2022-02-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2022-02-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2022-02-01,3,3
COCHABAMBA,chagas viviendas,viviendas positivas,2022-02-01,2,2
COLCAPIRHUA,chagas viviendas,viviendas positivas,2022-02-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2022-02-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2022-02-01,4,4
MAIRANA,chagas viviendas,viviendas positivas,2022-02-01,1,1
OMEREQUE,chagas viviendas,viviendas positivas,2022-02-01,5,5
PASORAPA,chagas viviendas,viviendas positivas,2022-02-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2022-02-01,10,10
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2022-02-01,4,4
SANTIVAÑES,chagas viviendas,viviendas positivas,2022-02-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2022-02-01,4,4
TACOBAMBA,chagas viviendas,viviendas positivas,2022-02-01,25,25
TAPACARI,chagas viviendas,viviendas positivas,2022-02-01,1,1
TIQUIPAYA,chagas viviendas,viviendas positivas,2022-02-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2022-02-01,4,4
TUPIZA,chagas viviendas,viviendas positivas,2022-02-01,2,2
VILLA MONTES,chagas viviendas,viviendas positivas,2022-02-01,9,9
VILLA SERRANO,chagas viviendas,viviendas positivas,2022-02-01,1,1
YACUIBA,chagas viviendas,viviendas positivas,2022-02-01,23,23
AIQUILE,chagas viviendas,viviendas positivas,2022-03-01,32,32
ARANI,chagas viviendas,viviendas positivas,2022-03-01,1,1
ARQUE,chagas viviendas,viviendas positivas,2022-03-01,2,2
BETANZOS,chagas viviendas,viviendas positivas,2022-03-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2022-03-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2022-03-01,4,4
CARAPARI,chagas viviendas,viviendas positivas,2022-03-01,3,3
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2022-03-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2022-03-01,7,7
COLCAPIRHUA,chagas viviendas,viviendas positivas,2022-03-01,5,5
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2022-03-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2022-03-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2022-03-01,7,7
MAIRANA,chagas viviendas,viviendas positivas,2022-03-01,6,6
MONTERO,chagas viviendas,viviendas positivas,2022-03-01,26,26
OMEREQUE,chagas viviendas,viviendas positivas,2022-03-01,7,7
PASORAPA,chagas viviendas,viviendas positivas,2022-03-01,11,11
POCONA,chagas viviendas,viviendas positivas,2022-03-01,1,1
PUNA,chagas viviendas,viviendas positivas,2022-03-01,7,7
PUNATA,chagas viviendas,viviendas positivas,2022-03-01,9,9
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2022-03-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2022-03-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2022-03-01,4,4
TACOBAMBA,chagas viviendas,viviendas positivas,2022-03-01,100,100
TARATA,chagas viviendas,viviendas positivas,2022-03-01,1,1
TARIJA,chagas viviendas,viviendas positivas,2022-03-01,1,1
TIQUIPAYA,chagas viviendas,viviendas positivas,2022-03-01,1,1
TOCO,chagas viviendas,viviendas positivas,2022-03-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2022-03-01,2,2
TUPIZA,chagas viviendas,viviendas positivas,2022-03-01,6,6
YACUIBA,chagas viviendas,viviendas positivas,2022-03-01,17,17
ACACIO,chagas viviendas,viviendas positivas,2022-04-01,96,96
AIQUILE,chagas viviendas,viviendas positivas,2022-04-01,15,15
ANZALDO,chagas viviendas,viviendas positivas,2022-04-01,3,3
