municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2022-01-01,170,170
AIQUILE,chagas viviendas,viviendas evaluadas,2022-01-01,568,568
ANZALDO,chagas viviendas,viviendas evaluadas,2022-01-01,144,144
ARANI,chagas viviendas,viviendas evaluadas,2022-01-01,75,75
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2022-01-01,106,106
CAPINOTA,chagas viviendas,viviendas evaluadas,2022-01-01,100,100
CLIZA,chagas viviendas,viviendas evaluadas,2022-01-01,192,192
COCHABAMBA,chagas viviendas,viviendas evaluadas,2022-01-01,743,743
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2022-01-01,88,88
HUACARETA,chagas viviendas,viviendas evaluadas,2022-01-01,581,581
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2022-01-01,48,48
ICLA,chagas viviendas,viviendas evaluadas,2022-01-01,67,67
LURIBAY,chagas viviendas,viviendas evaluadas,2022-01-01,590,590
MAIRANA,chagas viviendas,viviendas evaluadas,2022-01-01,28,28
PADCAYA,chagas viviendas,viviendas evaluadas,2022-01-01,42,42
PADILLA,chagas viviendas,viviendas evaluadas,2022-01-01,147,147
PASORAPA,chagas viviendas,viviendas evaluadas,2022-01-01,83,83
POCONA,chagas viviendas,viviendas evaluadas,2022-01-01,240,240
POJO (CBBA),chagas viviendas,viviendas evaluadas,2022-01-01,247,247
PUNATA,chagas viviendas,viviendas evaluadas,2022-01-01,153,153
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2022-01-01,187,187
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2022-01-01,35,35
SAN BENITO,chagas viviendas,viviendas evaluadas,2022-01-01,84,84
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2022-01-01,14,14
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2022-01-01,89,89
SIPE SIPE,chagas viviendas,viviendas evaluadas,2022-01-01,258,258
TACOBAMBA,chagas viviendas,viviendas evaluadas,2022-01-01,71,71
TAPACARI,chagas viviendas,viviendas evaluadas,2022-01-01,118,118
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2022-01-01,177,177
TOCO,chagas viviendas,viviendas evaluadas,2022-01-01,75,75
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2022-01-01,85,85
TUPIZA,chagas viviendas,viviendas evaluadas,2022-01-01,440,440
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2022-01-01,73,73
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2022-01-01,1081,1081
VINTO,chagas viviendas,viviendas evaluadas,2022-01-01,278,278
ACACIO,chagas viviendas,viviendas evaluadas,2022-02-01,391,391
AIQUILE,chagas viviendas,viviendas evaluadas,2022-02-01,582,582
ANZALDO,chagas viviendas,viviendas evaluadas,2022-02-01,450,450
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2022-02-01,99,99
ARANI,chagas viviendas,viviendas evaluadas,2022-02-01,203,203
ARBIETO,chagas viviendas,viviendas evaluadas,2022-02-01,336,336
ARQUE,chagas viviendas,viviendas evaluadas,2022-02-01,25,25
BETANZOS,chagas viviendas,viviendas evaluadas,2022-02-01,223,223
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2022-02-01,115,115
CAPINOTA,chagas viviendas,viviendas evaluadas,2022-02-01,376,376
CLIZA,chagas viviendas,viviendas evaluadas,2022-02-01,249,249
COCHABAMBA,chagas viviendas,viviendas evaluadas,2022-02-01,332,332
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2022-02-01,372,372
