municipality,group,variable,month,Viviendas Roceadas,TOTAL
ACACIO,chagas viviendas,viviendas roceadas,2022-01-01,3,3
AIQUILE,chagas viviendas,viviendas roceadas,2022-01-01,1,1
ANZALDO,chagas viviendas,viviendas roceadas,2022-01-01,19,19
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2022-01-01,2,2
CAMIRI,chagas viviendas,viviendas roceadas,2022-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas roceadas,2022-01-01,6,6
HUACARETA,chagas viviendas,viviendas roceadas,2022-01-01,565,565
LURIBAY,chagas viviendas,viviendas roceadas,2022-01-01,21,21
PADILLA,chagas viviendas,viviendas roceadas,2022-01-01,2,2
PASORAPA,chagas viviendas,viviendas roceadas,2022-01-01,7,7
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2022-01-01,3,3
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2022-01-01,13,13
SIPE SIPE,chagas viviendas,viviendas roceadas,2022-01-01,12,12
TACOBAMBA,chagas viviendas,viviendas roceadas,2022-01-01,44,44
TAPACARI,chagas viviendas,viviendas roceadas,2022-01-01,4,4
TARIJA,chagas viviendas,viviendas roceadas,2022-01-01,38,38
TIQUIPAYA,chagas viviendas,viviendas roceadas,2022-01-01,2,2
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2022-01-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2022-01-01,4,4
VILLA MONTES,chagas viviendas,viviendas roceadas,2022-01-01,1,1
VINTO,chagas viviendas,viviendas roceadas,2022-01-01,4,4
ARANI,chagas viviendas,viviendas roceadas,2022-02-01,2,2
ARBIETO,chagas viviendas,viviendas roceadas,2022-02-01,6,6
CAMARGO,chagas viviendas,viviendas roceadas,2022-02-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2022-02-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2022-02-01,7,7
CARAPARI,chagas viviendas,viviendas roceadas,2022-02-01,2,2
CLIZA,chagas viviendas,viviendas roceadas,2022-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2022-02-01,9,9
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2022-02-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2022-02-01,2,2
EL TORNO,chagas viviendas,viviendas roceadas,2022-02-01,5,5
MIZQUE,chagas viviendas,viviendas roceadas,2022-02-01,14,14
OMEREQUE,chagas viviendas,viviendas roceadas,2022-02-01,21,21
PASORAPA,chagas viviendas,viviendas roceadas,2022-02-01,5,5
PUNATA,chagas viviendas,viviendas roceadas,2022-02-01,9,9
QUILLACOLLO,chagas viviendas,viviendas roceadas,2022-02-01,3,3
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2022-02-01,1,1
SANTIVAÑES,chagas viviendas,viviendas roceadas,2022-02-01,4,4
SIPE SIPE,chagas viviendas,viviendas roceadas,2022-02-01,29,29
TACOBAMBA,chagas viviendas,viviendas roceadas,2022-02-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2022-02-01,6,6
TIQUIPAYA,chagas viviendas,viviendas roceadas,2022-02-01,1,1
TORO TORO,chagas viviendas,viviendas roceadas,2022-02-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2022-02-01,87,87
TUPIZA,chagas viviendas,viviendas roceadas,2022-02-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2022-02-01,2,2
VILLA MONTES,chagas viviendas,viviendas roceadas,2022-02-01,4,4
