,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
COLOMI,internaciones,egresos,2012-01-01,1,20,1,20,21
COLPA BELGICA,internaciones,egresos,2012-01-01,11,22,11,22,33
COLQUECHACA,internaciones,egresos,2012-01-01,0,5,0,5,5
COLQUENCHA,internaciones,egresos,2012-01-01,0,8,0,8,8
COLQUIRI,internaciones,egresos,2012-01-01,3,11,3,11,14
COMARAPA,internaciones,egresos,2012-01-01,10,36,10,36,46
CONCEPCION,internaciones,egresos,2012-01-01,13,65,13,65,78
COPACABANA,internaciones,egresos,2012-01-01,1,13,1,13,14
CORIPATA,internaciones,egresos,2012-01-01,4,21,4,21,25
CORO CORO,internaciones,egresos,2012-01-01,1,3,1,3,4
COROICO,internaciones,egresos,2012-01-01,23,64,23,64,87
CORQUE,internaciones,egresos,2012-01-01,0,1,0,1,1
COTAGAITA,internaciones,egresos,2012-01-01,4,13,4,13,17
COTOCA,internaciones,egresos,2012-01-01,28,44,28,44,72
CUATRO CAÑADAS,internaciones,egresos,2012-01-01,15,22,15,22,37
CUEVO,internaciones,egresos,2012-01-01,1,4,1,4,5
CULPINA,internaciones,egresos,2012-01-01,6,26,6,26,32
CURAHUARA DE CARANGAS,internaciones,egresos,2012-01-01,0,6,0,6,6
DESAGUADERO,internaciones,egresos,2012-01-01,0,7,0,7,7
EL ALTO,internaciones,egresos,2012-01-01,790,2468,790,2468,3258
EL CHORO,internaciones,egresos,2012-01-01,0,1,0,1,1
EL PUENTE(STC),internaciones,egresos,2012-01-01,9,14,9,14,23
EL TORNO,internaciones,egresos,2012-01-01,88,119,88,119,207
ENTRE RIOS TRJ,internaciones,egresos,2012-01-01,2,37,2,37,39
ENTRE RIOS CBBA,internaciones,egresos,2012-01-01,33,70,33,70,103
ESCOMA,internaciones,egresos,2012-01-01,5,8,5,8,13
EUCALIPTUS,internaciones,egresos,2012-01-01,0,4,0,4,4
EXALTACION,internaciones,egresos,2012-01-01,1,1,1,1,2
FERNANDEZ ALONSO,internaciones,egresos,2012-01-01,25,28,25,28,53
FILADELFIA,internaciones,egresos,2012-01-01,1,1,1,1,2
GENERAL SAAVEDRA,internaciones,egresos,2012-01-01,11,0,11,0,11
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2012-01-01,0,4,0,4,4
GUANAY,internaciones,egresos,2012-01-01,0,13,0,13,13
GUAQUI,internaciones,egresos,2012-01-01,0,2,0,2,2
GUAYARAMERIN,internaciones,egresos,2012-01-01,158,376,158,376,534
GUTIERREZ,internaciones,egresos,2012-01-01,19,35,19,35,54
HUACARETA,internaciones,egresos,2012-01-01,10,11,10,11,21
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2012-01-01,0,2,0,2,2
HUACHACALLA,internaciones,egresos,2012-01-01,1,1,1,1,2
HUANUNI,internaciones,egresos,2012-01-01,72,114,72,114,186
HUARACAJE,internaciones,egresos,2012-01-01,3,7,3,7,10
HUARINA,internaciones,egresos,2012-01-01,0,1,0,1,1
HUAYLLAMARCA,internaciones,egresos,2012-01-01,1,3,1,3,4
ICHOCA,internaciones,egresos,2012-01-01,0,2,0,2,2
ICLA,internaciones,egresos,2012-01-01,7,10,7,10,17
INCAHUASI,internaciones,egresos,2012-01-01,0,11,0,11,11
INQUISIVI,internaciones,egresos,2012-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),internaciones,egresos,2012-01-01,8,11,8,11,19
IXIAMAS,internaciones,egresos,2012-01-01,2,18,2,18,20
JESUS DE MACHACA,internaciones,egresos,2012-01-01,16,24,16,24,40
LA ASUNTA,internaciones,egresos,2012-01-01,12,55,12,55,67
LA GUARDIA,internaciones,egresos,2012-01-01,30,64,30,64,94
LA PAZ,internaciones,egresos,2012-01-01,3204,6911,3204,6911,10115
LAGUNILLAS,internaciones,egresos,2012-01-01,9,9,9,9,18
LAJA,internaciones,egresos,2012-01-01,0,8,0,8,8
LAS CARRERAS,internaciones,egresos,2012-01-01,0,7,0,7,7
LLALLAGUA,internaciones,egresos,2012-01-01,58,160,58,160,218
LLICA,internaciones,egresos,2012-01-01,0,3,0,3,3
LURIBAY,internaciones,egresos,2012-01-01,0,1,0,1,1
MACHACAMARCA,internaciones,egresos,2012-01-01,0,2,0,2,2
MACHARETI,internaciones,egresos,2012-01-01,5,11,5,11,16
MAGDALENA,internaciones,egresos,2012-01-01,23,70,23,70,93
MAIRANA,internaciones,egresos,2012-01-01,8,35,8,35,43
MAPIRI,internaciones,egresos,2012-01-01,13,40,13,40,53
MECAPACA,internaciones,egresos,2012-01-01,0,7,0,7,7
MINEROS,internaciones,egresos,2012-01-01,8,17,8,17,25
MIZQUE,internaciones,egresos,2012-01-01,15,39,15,39,54
MOCOMOCO,internaciones,egresos,2012-01-01,0,1,0,1,1
MOJOCOYA,internaciones,egresos,2012-01-01,0,8,0,8,8
MONTEAGUDO,internaciones,egresos,2012-01-01,60,157,60,157,217
MONTERO,internaciones,egresos,2012-01-01,253,556,253,556,809
MORO MORO,internaciones,egresos,2012-01-01,1,2,1,2,3
MOROCHATA,internaciones,egresos,2012-01-01,0,14,0,14,14
OCURI,internaciones,egresos,2012-01-01,0,8,0,8,8
OKINAWA,internaciones,egresos,2012-01-01,6,20,6,20,26
OMEREQUE,internaciones,egresos,2012-01-01,0,3,0,3,3
ORURO,internaciones,egresos,2012-01-01,775,1628,775,1628,2403
PADILLA,internaciones,egresos,2012-01-01,25,58,25,58,83
PAILON,internaciones,egresos,2012-01-01,10,77,10,77,87
PALCA,internaciones,egresos,2012-01-01,0,1,0,1,1
PALOS BLANCOS,internaciones,egresos,2012-01-01,24,67,24,67,91
PAMPA GRANDE,internaciones,egresos,2012-01-01,0,15,0,15,15
PASORAPA,internaciones,egresos,2012-01-01,0,7,0,7,7
PATACAMAYA,internaciones,egresos,2012-01-01,5,46,5,46,51
PAZÑA,internaciones,egresos,2012-01-01,0,3,0,3,3
POCOATA,internaciones,egresos,2012-01-01,1,4,1,4,5
POCONA,internaciones,egresos,2012-01-01,0,8,0,8,8
POJO (CBBA),internaciones,egresos,2012-01-01,0,14,0,14,14
PORCO,internaciones,egresos,2012-01-01,0,10,0,10,10
POROMA,internaciones,egresos,2012-01-01,0,6,0,6,6
PORTACHUELO,internaciones,egresos,2012-01-01,64,147,64,147,211
POSTRER VALLE,internaciones,egresos,2012-01-01,1,0,1,0,1
POTOSI,internaciones,egresos,2012-01-01,363,1641,363,1641,2004
PRESTO,internaciones,egresos,2012-01-01,0,11,0,11,11
PUCARANI,internaciones,egresos,2012-01-01,0,10,0,10,10
PUERTO ACOSTA,internaciones,egresos,2012-01-01,0,4,0,4,4
PUERTO CARABUCO,internaciones,egresos,2012-01-01,0,3,0,3,3
PUERTO GONZALO MORENO,internaciones,egresos,2012-01-01,0,3,0,3,3
PUERTO QUIJARRO,internaciones,egresos,2012-01-01,35,22,35,22,57
PUERTO RICO,internaciones,egresos,2012-01-01,13,20,13,20,33
PUERTO SUAREZ,internaciones,egresos,2012-01-01,56,86,56,86,142
PUERTO VILLARROEL,internaciones,egresos,2012-01-01,83,197,83,197,280
PUNA,internaciones,egresos,2012-01-01,7,17,7,17,24
PUNATA,internaciones,egresos,2012-01-01,83,203,83,203,286
QUIABAYA,internaciones,egresos,2012-01-01,0,1,0,1,1
QUILLACOLLO,internaciones,egresos,2012-01-01,15,217,15,217,232
QUIME,internaciones,egresos,2012-01-01,5,4,5,4,9
QUIRUSILLAS,internaciones,egresos,2012-01-01,2,0,2,0,2
RAVELO,internaciones,egresos,2012-01-01,0,8,0,8,8
REYES,internaciones,egresos,2012-01-01,13,36,13,36,49
RIBERALTA,internaciones,egresos,2012-01-01,220,515,220,515,735
ROBORE,internaciones,egresos,2012-01-01,36,67,36,67,103
RURRENABAQUE,internaciones,egresos,2012-01-01,41,112,41,112,153
SACABA,internaciones,egresos,2012-01-01,149,473,149,473,622
SACABAMBA,internaciones,egresos,2012-01-01,4,6,4,6,10
SACACA,internaciones,egresos,2012-01-01,5,19,5,19,24
SAIPINA,internaciones,egresos,2012-01-01,3,16,3,16,19
SALINAS DE GARCI MENDOZA,internaciones,egresos,2012-01-01,0,2,0,2,2
SAMAIPATA,internaciones,egresos,2012-01-01,11,47,11,47,58
SAN AGUSTIN,internaciones,egresos,2012-01-01,0,2,0,2,2
SAN ANDRES,internaciones,egresos,2012-01-01,0,4,0,4,4
SAN ANTONIO DE LOMERIO,internaciones,egresos,2012-01-01,4,9,4,9,13
SAN BENITO,internaciones,egresos,2012-01-01,0,3,0,3,3
SAN BORJA,internaciones,egresos,2012-01-01,47,135,47,135,182
SAN BUENA VENTURA,internaciones,egresos,2012-01-01,17,48,17,48,65
SAN CARLOS,internaciones,egresos,2012-01-01,74,185,74,185,259
SAN IGNACIO,internaciones,egresos,2012-01-01,20,65,20,65,85
SAN IGNACIO DE VELASCO,internaciones,egresos,2012-01-01,157,319,157,319,476
SAN JAVIER(STC),internaciones,egresos,2012-01-01,19,37,19,37,56
SAN JOAQUIN,internaciones,egresos,2012-01-01,9,24,9,24,33
SAN JOSE DE CHIQUITOS,internaciones,egresos,2012-01-01,39,84,39,84,123
SAN JUAN DE YAPACANI,internaciones,egresos,2012-01-01,41,114,41,114,155
SAN JULIAN,internaciones,egresos,2012-01-01,46,96,46,96,142
SAN LORENZO(PND),internaciones,egresos,2012-01-01,4,7,4,7,11
SAN LORENZO(TJA),internaciones,egresos,2012-01-01,0,16,0,16,16
SAN LUCAS,internaciones,egresos,2012-01-01,7,34,7,34,41
SAN MATIAS,internaciones,egresos,2012-01-01,14,31,14,31,45
SAN MIGUEL DE VELASCO,internaciones,egresos,2012-01-01,7,23,7,23,30
SAN PEDRO,internaciones,egresos,2012-01-01,14,39,14,39,53
SAN PEDRO DE BUENA VISTA,internaciones,egresos,2012-01-01,1,4,1,4,5
SAN PEDRO DE CURAHUARA,internaciones,egresos,2012-01-01,0,2,0,2,2
SAN RAFAEL,internaciones,egresos,2012-01-01,3,14,3,14,17
SAN RAMON BENI,internaciones,egresos,2012-01-01,8,29,8,29,37
SAN RAMON SCZ,internaciones,egresos,2012-01-01,7,23,7,23,30
SANTA ANA,internaciones,egresos,2012-01-01,36,88,36,88,124
SANTA CRUZ DE LA SIERRA,internaciones,egresos,2012-01-01,2715,6460,2715,6460,9175
SANTA ROSA,internaciones,egresos,2012-01-01,3,31,3,31,34
SANTA ROSA DEL SARA,internaciones,egresos,2012-01-01,20,31,20,31,51
SANTIAGO DE CALLAPA,internaciones,egresos,2012-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,internaciones,egresos,2012-01-01,0,2,0,2,2
SANTIVAÑES,internaciones,egresos,2012-01-01,0,2,0,2,2
SAPAHAQUI,internaciones,egresos,2012-01-01,0,4,0,4,4
SHINAOTA,internaciones,egresos,2012-01-01,80,163,80,163,243
SICA SICA (VILLA AROMA),internaciones,egresos,2012-01-01,0,14,0,14,14
SIPE SIPE,internaciones,egresos,2012-01-01,0,37,0,37,37
SOPACHUY,internaciones,egresos,2012-01-01,7,25,7,25,32
SORACACHI,internaciones,egresos,2012-01-01,0,1,0,1,1
SORATA,internaciones,egresos,2012-01-01,4,24,4,24,28
SUCRE,internaciones,egresos,2012-01-01,1367,2262,1367,2262,3629
TACACOMA,internaciones,egresos,2012-01-01,0,9,0,9,9
TACOPAYA,internaciones,egresos,2012-01-01,0,3,0,3,3
TAPACARI,internaciones,egresos,2012-01-01,0,7,0,7,7
TARABUCO,internaciones,egresos,2012-01-01,15,33,15,33,48
TARACO,internaciones,egresos,2012-01-01,0,4,0,4,4
TARATA,internaciones,egresos,2012-01-01,0,9,0,9,9
TARIJA,internaciones,egresos,2012-01-01,656,1282,656,1282,1938
TARVITA,internaciones,egresos,2012-01-01,5,29,5,29,34
TEOPONTE,internaciones,egresos,2012-01-01,0,15,0,15,15
TIAWANACU,internaciones,egresos,2012-01-01,0,5,0,5,5
TIPUANI,internaciones,egresos,2012-01-01,14,28,14,28,42
TIQUIPAYA,internaciones,egresos,2012-01-01,21,109,21,109,130
TIRAQUE (CBBA),internaciones,egresos,2012-01-01,1,25,1,25,26
TOCO,internaciones,egresos,2012-01-01,1,4,1,4,5
TOLATA,internaciones,egresos,2012-01-01,6,6,6,6,12
TOLEDO,internaciones,egresos,2012-01-01,0,5,0,5,5
TOMAVE,internaciones,egresos,2012-01-01,8,10,8,10,18
TOMINA,internaciones,egresos,2012-01-01,7,22,7,22,29
TORO TORO,internaciones,egresos,2012-01-01,2,3,2,3,5
TOTORA(CBBA),internaciones,egresos,2012-01-01,2,24,2,24,26
TOTORA(ORR),internaciones,egresos,2012-01-01,0,2,0,2,2
TRIGAL,internaciones,egresos,2012-01-01,4,2,4,2,6
TRINIDAD,internaciones,egresos,2012-01-01,363,915,363,915,1278
TUPIZA,internaciones,egresos,2012-01-01,53,140,53,140,193
TURCO,internaciones,egresos,2012-01-01,0,2,0,2,2
UMALA,internaciones,egresos,2012-01-01,0,4,0,4,4
UNCIA,internaciones,egresos,2012-01-01,2,24,2,24,26
URUBICHA,internaciones,egresos,2012-01-01,4,19,4,19,23
UYUNI,internaciones,egresos,2012-01-01,26,98,26,98,124
VACAS,internaciones,egresos,2012-01-01,0,11,0,11,11
VALLEGRANDE,internaciones,egresos,2012-01-01,47,91,47,91,138
VIACHA,internaciones,egresos,2012-01-01,64,117,64,117,181
VILA VILA,internaciones,egresos,2012-01-01,3,4,3,4,7
VILLA CHARCAS,internaciones,egresos,2012-01-01,0,14,0,14,14
VILLA MONTES,internaciones,egresos,2012-01-01,46,24,46,24,70
VILLA RIVERO,internaciones,egresos,2012-01-01,5,11,5,11,16
VILLA SERRANO,internaciones,egresos,2012-01-01,2,10,2,10,12
VILLA TUNARI,internaciones,egresos,2012-01-01,142,337,142,337,479
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,egresos,2012-01-01,5,17,5,17,22
VILLAZON,internaciones,egresos,2012-01-01,63,149,63,149,212
VINTO,internaciones,egresos,2012-01-01,99,90,99,90,189
VITICHI,internaciones,egresos,2012-01-01,0,2,0,2,2
WARNES,internaciones,egresos,2012-01-01,48,81,48,81,129
YACO,internaciones,egresos,2012-01-01,0,1,0,1,1
YACUIBA,internaciones,egresos,2012-01-01,267,316,267,316,583
YAMPARAEZ,internaciones,egresos,2012-01-01,2,15,2,15,17
YANACACHI,internaciones,egresos,2012-01-01,1,4,1,4,5
YAPACANI,internaciones,egresos,2012-01-01,0,248,0,248,248
YOCALLA,internaciones,egresos,2012-01-01,0,2,0,2,2
YOTALA,internaciones,egresos,2012-01-01,0,19,0,19,19
ZUDAÑEZ,internaciones,egresos,2012-01-01,16,22,16,22,38
ACHACACHI,internaciones,egresos,2012-02-01,11,51,11,51,62
ACHOCALLA,internaciones,egresos,2012-02-01,0,9,0,9,9
AIQUILE,internaciones,egresos,2012-02-01,32,68,32,68,100
ALCALA,internaciones,egresos,2012-02-01,0,2,0,2,2
ALTO BENI,internaciones,egresos,2012-02-01,0,1,0,1,1
ANCORAIMES,internaciones,egresos,2012-02-01,0,6,0,6,6
ANTEQUERA,internaciones,egresos,2012-02-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2012-02-01,0,4,0,4,4
APOLO,internaciones,egresos,2012-02-01,3,19,3,19,22
ARANI,internaciones,egresos,2012-02-01,0,7,0,7,7
ARBIETO,internaciones,egresos,2012-02-01,0,6,0,6,6
ARQUE,internaciones,egresos,2012-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,egresos,2012-02-01,49,129,49,129,178
ATOCHA,internaciones,egresos,2012-02-01,64,77,64,77,141
AUCAPATA,internaciones,egresos,2012-02-01,0,1,0,1,1
AYO AYO,internaciones,egresos,2012-02-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2012-02-01,8,21,8,21,29
AZURDUY,internaciones,egresos,2012-02-01,5,14,5,14,19
BATALLAS,internaciones,egresos,2012-02-01,2,8,2,8,10
BAURES,internaciones,egresos,2012-02-01,4,17,4,17,21
BERMEJO,internaciones,egresos,2012-02-01,61,119,61,119,180
BETANZOS,internaciones,egresos,2012-02-01,0,25,0,25,25
BOYUIBE,internaciones,egresos,2012-02-01,15,22,15,22,37
BUENA VISTA,internaciones,egresos,2012-02-01,14,16,14,16,30
CABEZAS,internaciones,egresos,2012-02-01,11,13,11,13,24
CAIROMA,internaciones,egresos,2012-02-01,0,3,0,3,3
"CAIZA ""D""",internaciones,egresos,2012-02-01,0,7,0,7,7
CAJUATA,internaciones,egresos,2012-02-01,0,10,0,10,10
CALAMARCA,internaciones,egresos,2012-02-01,0,9,0,9,9
CAMARGO,internaciones,egresos,2012-02-01,66,103,66,103,169
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2012-02-01,0,1,0,1,1
CAMIRI,internaciones,egresos,2012-02-01,163,382,163,382,545
CAPINOTA,internaciones,egresos,2012-02-01,7,29,7,29,36
CARACOLLO,internaciones,egresos,2012-02-01,0,19,0,19,19
CARANAVI,internaciones,egresos,2012-02-01,53,142,53,142,195
CARAPARI,internaciones,egresos,2012-02-01,2,1,2,1,3
CARMEN RIVERO TORREZ,internaciones,egresos,2012-02-01,6,19,6,19,25
CHALLAPATA,internaciones,egresos,2012-02-01,25,92,25,92,117
CHAQUI,internaciones,egresos,2012-02-01,1,3,1,3,4
CHARAGUA,internaciones,egresos,2012-02-01,40,104,40,104,144
CHAYANTA,internaciones,egresos,2012-02-01,7,7,7,7,14
CHIMORE,internaciones,egresos,2012-02-01,7,29,7,29,36
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2012-02-01,23,53,23,53,76
CHUMA,internaciones,egresos,2012-02-01,1,0,1,0,1
CKOCHAS,internaciones,egresos,2012-02-01,0,1,0,1,1
CLIZA,internaciones,egresos,2012-02-01,2,33,2,33,35
COBIJA,internaciones,egresos,2012-02-01,127,305,127,305,432
COCAPATA,internaciones,egresos,2012-02-01,1,13,1,13,14
COCHABAMBA,internaciones,egresos,2012-02-01,2789,5491,2789,5491,8280
COLCAPIRHUA,internaciones,egresos,2012-02-01,57,113,57,113,170
"COLCHA ""K""",internaciones,egresos,2012-02-01,5,5,5,5,10
COLLANA,internaciones,egresos,2012-02-01,0,1,0,1,1
COLOMI,internaciones,egresos,2012-02-01,0,21,0,21,21
COLPA BELGICA,internaciones,egresos,2012-02-01,12,14,12,14,26
COLQUECHACA,internaciones,egresos,2012-02-01,0,7,0,7,7
COLQUENCHA,internaciones,egresos,2012-02-01,0,9,0,9,9
COLQUIRI,internaciones,egresos,2012-02-01,3,13,3,13,16
COMARAPA,internaciones,egresos,2012-02-01,13,52,13,52,65
CONCEPCION,internaciones,egresos,2012-02-01,9,56,9,56,65
COPACABANA,internaciones,egresos,2012-02-01,4,14,4,14,18
CORIPATA,internaciones,egresos,2012-02-01,1,29,1,29,30
COROICO,internaciones,egresos,2012-02-01,26,69,26,69,95
COTAGAITA,internaciones,egresos,2012-02-01,11,15,11,15,26
COTOCA,internaciones,egresos,2012-02-01,38,134,38,134,172
CUATRO CAÑADAS,internaciones,egresos,2012-02-01,26,31,26,31,57
CUEVO,internaciones,egresos,2012-02-01,5,4,5,4,9
CULPINA,internaciones,egresos,2012-02-01,5,30,5,30,35
CURAHUARA DE CARANGAS,internaciones,egresos,2012-02-01,0,5,0,5,5
DESAGUADERO,internaciones,egresos,2012-02-01,0,7,0,7,7
EL ALTO,internaciones,egresos,2012-02-01,697,2425,697,2425,3122
EL CHORO,internaciones,egresos,2012-02-01,0,5,0,5,5
EL PUENTE(STC),internaciones,egresos,2012-02-01,6,21,6,21,27
EL TORNO,internaciones,egresos,2012-02-01,98,39,98,39,137
EL VILLAR,internaciones,egresos,2012-02-01,1,10,1,10,11
ENTRE RIOS TRJ,internaciones,egresos,2012-02-01,4,29,4,29,33
ENTRE RIOS CBBA,internaciones,egresos,2012-02-01,18,53,18,53,71
ESCOMA,internaciones,egresos,2012-02-01,2,7,2,7,9
EUCALIPTUS,internaciones,egresos,2012-02-01,0,6,0,6,6
EXALTACION,internaciones,egresos,2012-02-01,3,4,3,4,7
FERNANDEZ ALONSO,internaciones,egresos,2012-02-01,15,33,15,33,48
FILADELFIA,internaciones,egresos,2012-02-01,1,3,1,3,4
GENERAL SAAVEDRA,internaciones,egresos,2012-02-01,5,10,5,10,15
GRAL. J.J. PEREZ (CHARAZANI),internaciones,egresos,2012-02-01,0,3,0,3,3
GUANAY,internaciones,egresos,2012-02-01,0,10,0,10,10
GUAQUI,internaciones,egresos,2012-02-01,0,4,0,4,4
GUAYARAMERIN,internaciones,egresos,2012-02-01,139,323,139,323,462
GUTIERREZ,internaciones,egresos,2012-02-01,6,35,6,35,41
HUACARETA,internaciones,egresos,2012-02-01,7,13,7,13,20
HUACAYA (VILLA DE HUACAYA),internaciones,egresos,2012-02-01,0,1,0,1,1
HUACHACALLA,internaciones,egresos,2012-02-01,0,11,0,11,11
HUANUNI,internaciones,egresos,2012-02-01,51,80,51,80,131
HUARACAJE,internaciones,egresos,2012-02-01,1,11,1,11,12
HUAYLLAMARCA,internaciones,egresos,2012-02-01,2,2,2,2,4
HUMANATA,internaciones,egresos,2012-02-01,0,4,0,4,4
ICLA,internaciones,egresos,2012-02-01,0,8,0,8,8
INCAHUASI,internaciones,egresos,2012-02-01,2,5,2,5,7
INQUISIVI,internaciones,egresos,2012-02-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),internaciones,egresos,2012-02-01,7,20,7,20,27
IXIAMAS,internaciones,egresos,2012-02-01,29,32,29,32,61
JESUS DE MACHACA,internaciones,egresos,2012-02-01,8,34,8,34,42
LA ASUNTA,internaciones,egresos,2012-02-01,7,59,7,59,66
LA GUARDIA,internaciones,egresos,2012-02-01,47,76,47,76,123
LA PAZ,internaciones,egresos,2012-02-01,3170,6044,3170,6044,9214
LAGUNILLAS,internaciones,egresos,2012-02-01,6,17,6,17,23
LAJA,internaciones,egresos,2012-02-01,0,5,0,5,5
LAS CARRERAS,internaciones,egresos,2012-02-01,0,5,0,5,5
LLALLAGUA,internaciones,egresos,2012-02-01,50,120,50,120,170
LLICA,internaciones,egresos,2012-02-01,7,0,7,0,7
LURIBAY,internaciones,egresos,2012-02-01,0,3,0,3,3
MACHACAMARCA,internaciones,egresos,2012-02-01,0,5,0,5,5
MACHARETI,internaciones,egresos,2012-02-01,10,12,10,12,22
MAGDALENA,internaciones,egresos,2012-02-01,21,41,21,41,62
MAIRANA,internaciones,egresos,2012-02-01,2,35,2,35,37
MAPIRI,internaciones,egresos,2012-02-01,19,56,19,56,75
MECAPACA,internaciones,egresos,2012-02-01,0,4,0,4,4
MINEROS,internaciones,egresos,2012-02-01,2,8,2,8,10
MIZQUE,internaciones,egresos,2012-02-01,11,58,11,58,69
MOCOMOCO,internaciones,egresos,2012-02-01,0,2,0,2,2
MOJOCOYA,internaciones,egresos,2012-02-01,1,11,1,11,12
MONTEAGUDO,internaciones,egresos,2012-02-01,86,152,86,152,238
MONTERO,internaciones,egresos,2012-02-01,491,241,491,241,732
MORO MORO,internaciones,egresos,2012-02-01,0,3,0,3,3
MOROCHATA,internaciones,egresos,2012-02-01,4,5,4,5,9
NAZACARA DE PACAJES,internaciones,egresos,2012-02-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),internaciones,egresos,2012-02-01,2,1,2,1,3
OCURI,internaciones,egresos,2012-02-01,4,5,4,5,9
OKINAWA,internaciones,egresos,2012-02-01,5,22,5,22,27
