,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos espontaneos,2012-01-01,4,50,4,50,54
AIQUILE,internaciones,ingresos espontaneos,2012-01-01,26,72,26,72,98
ALALAY,internaciones,ingresos espontaneos,2012-01-01,0,2,0,2,2
ALTO BENI,internaciones,ingresos espontaneos,2012-01-01,0,15,0,15,15
ANCORAIMES,internaciones,ingresos espontaneos,2012-01-01,0,9,0,9,9
ANDAMARCA,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
ANTEQUERA,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2012-01-01,0,3,0,3,3
APOLO,internaciones,ingresos espontaneos,2012-01-01,1,24,1,24,25
ARAMPAMPA,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
ARANI,internaciones,ingresos espontaneos,2012-01-01,0,5,0,5,5
ARBIETO,internaciones,ingresos espontaneos,2012-01-01,0,10,0,10,10
ARQUE,internaciones,ingresos espontaneos,2012-01-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2012-01-01,76,153,76,153,229
ATOCHA,internaciones,ingresos espontaneos,2012-01-01,13,46,13,46,59
AUCAPATA,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
AYATA,internaciones,ingresos espontaneos,2012-01-01,2,5,2,5,7
AYO AYO,internaciones,ingresos espontaneos,2012-01-01,0,10,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2012-01-01,8,22,8,22,30
AZURDUY,internaciones,ingresos espontaneos,2012-01-01,5,20,5,20,25
BATALLAS,internaciones,ingresos espontaneos,2012-01-01,3,16,3,16,19
BELEN DE ANDAMARCA,internaciones,ingresos espontaneos,2012-01-01,0,2,0,2,2
BERMEJO,internaciones,ingresos espontaneos,2012-01-01,74,141,74,141,215
BETANZOS,internaciones,ingresos espontaneos,2012-01-01,1,16,1,16,17
BOLIVAR,internaciones,ingresos espontaneos,2012-01-01,0,2,0,2,2
BOYUIBE,internaciones,ingresos espontaneos,2012-01-01,7,19,7,19,26
BUENA VISTA,internaciones,ingresos espontaneos,2012-01-01,10,11,10,11,21
CABEZAS,internaciones,ingresos espontaneos,2012-01-01,11,17,11,17,28
CAIROMA,internaciones,ingresos espontaneos,2012-01-01,0,9,0,9,9
"CAIZA ""D""",internaciones,ingresos espontaneos,2012-01-01,0,3,0,3,3
CAJUATA,internaciones,ingresos espontaneos,2012-01-01,0,4,0,4,4
CALACOTO,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2012-01-01,0,5,0,5,5
CAMARGO,internaciones,ingresos espontaneos,2012-01-01,12,65,12,65,77
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2012-01-01,0,4,0,4,4
CAMIRI,internaciones,ingresos espontaneos,2012-01-01,173,463,173,463,636
CAPINOTA,internaciones,ingresos espontaneos,2012-01-01,8,39,8,39,47
CAQUIAVIRI,internaciones,ingresos espontaneos,2012-01-01,0,3,0,3,3
CARACOLLO,internaciones,ingresos espontaneos,2012-01-01,0,17,0,17,17
CARANAVI,internaciones,ingresos espontaneos,2012-01-01,41,132,41,132,173
CARAPARI,internaciones,ingresos espontaneos,2012-01-01,1,1,1,1,2
CARIPUYO,internaciones,ingresos espontaneos,2012-01-01,0,4,0,4,4
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2012-01-01,7,11,7,11,18
CHALLAPATA,internaciones,ingresos espontaneos,2012-01-01,21,94,21,94,115
CHAQUI,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
CHARAGUA,internaciones,ingresos espontaneos,2012-01-01,29,96,29,96,125
CHARAÑA,internaciones,ingresos espontaneos,2012-01-01,0,1,0,1,1
CHAYANTA,internaciones,ingresos espontaneos,2012-01-01,5,12,5,12,17
CHIMORE,internaciones,ingresos espontaneos,2012-01-01,9,24,9,24,33
