,group,variable,month,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 horas,2012-01-01,0,2,0,2,2
BERMEJO,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,1,2,1,3
CABEZAS,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
CAMARGO,internaciones,fallecidos antes de las 48 horas,2012-01-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos antes de las 48 horas,2012-01-01,3,1,3,1,4
COBIJA,internaciones,fallecidos antes de las 48 horas,2012-01-01,5,1,5,1,6
COCHABAMBA,internaciones,fallecidos antes de las 48 horas,2012-01-01,26,34,26,34,60
CONCEPCION,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos antes de las 48 horas,2012-01-01,11,10,11,10,21
EL TORNO,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,1,1,1,2
GUAYARAMERIN,internaciones,fallecidos antes de las 48 horas,2012-01-01,3,1,3,1,4
HUACARETA,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
ICLA,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
IXIAMAS,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,1,1,1,2
LA PAZ,internaciones,fallecidos antes de las 48 horas,2012-01-01,30,26,30,26,56
LLALLAGUA,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,1,2,1,3
MONTERO,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,1,1,1,2
OCURI,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
ORURO,internaciones,fallecidos antes de las 48 horas,2012-01-01,11,9,11,9,20
PADILLA,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
PORTACHUELO,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 horas,2012-01-01,4,5,4,5,9
PUERTO SUAREZ,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
QUIME,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 horas,2012-01-01,4,4,4,4,8
ROBORE,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
RURRENABAQUE,internaciones,fallecidos antes de las 48 horas,2012-01-01,4,2,4,2,6
SACABA,internaciones,fallecidos antes de las 48 horas,2012-01-01,0,1,0,1,1
SAN BORJA,internaciones,fallecidos antes de las 48 horas,2012-01-01,4,1,4,1,5
SAN IGNACIO,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
SAN PEDRO,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 horas,2012-01-01,24,28,24,28,52
SOPACHUY,internaciones,fallecidos antes de las 48 horas,2012-01-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 horas,2012-01-01,15,12,15,12,27
TARIJA,internaciones,fallecidos antes de las 48 horas,2012-01-01,12,7,12,7,19
TRINIDAD,internaciones,fallecidos antes de las 48 horas,2012-01-01,10,5,10,5,15
TUPIZA,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
UYUNI,internaciones,fallecidos antes de las 48 horas,2012-01-01,2,0,2,0,2
