,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,1,1,1,2
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,3,0,3,0,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,2,1,2,1,3
COBIJA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,3,3,3,3,6
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,43,44,43,44,87
COROICO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,11,15,11,15,26
EL TORNO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,3,1,3,4
ENTRE RIOS TRJ,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,3,0,3,3
HUANUNI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2012-01-01,59,69,59,69,128
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
MONTERO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,1,1,1,2
ORURO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,2,9,2,9,11
PADILLA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,5,14,5,14,19
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,3,1,3,1,4
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,5,0,5,5
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
SAN MATIAS,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
SANTA ANA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,52,54,52,54,106
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,0,1,0,1,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2012-01-01,20,20,20,20,40
TARIJA,internaciones,fallecidos a partir de las 48 horas,2012-01-01,23,13,23,13,36
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2012-01-01,9,7,9,7,16
UYUNI,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2012-01-01,1,0,1,0,1
VINTO,internaciones,fallecidos a partir de las 48 horas,2012-01-01,2,0,2,0,2
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,0,1,0,1
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,1,2,1,2,3
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,3,0,3,0,3
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
CHARAGUA,internaciones,fallecidos a partir de las 48 horas,2012-02-01,0,1,0,1,1
