,group,variable,month,RETORNADOS CANTIDAD,RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,internaciones,retornados,2012-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,retornados,2012-01-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-01-01,2,57,2,57,59
COCHABAMBA,internaciones,retornados,2012-01-01,2,268,2,268,270
CONCEPCION,internaciones,retornados,2012-01-01,0,2,0,2,2
EL ALTO,internaciones,retornados,2012-01-01,8,16,8,16,24
HUACARETA,internaciones,retornados,2012-01-01,0,1,0,1,1
ICLA,internaciones,retornados,2012-01-01,0,1,0,1,1
LA PAZ,internaciones,retornados,2012-01-01,4,5,4,5,9
MONTERO,internaciones,retornados,2012-01-01,1,13,1,13,14
OMEREQUE,internaciones,retornados,2012-01-01,0,6,0,6,6
ORURO,internaciones,retornados,2012-01-01,1,2,1,2,3
POJO (CBBA),internaciones,retornados,2012-01-01,0,2,0,2,2
POTOSI,internaciones,retornados,2012-01-01,0,13,0,13,13
SAN ANTONIO DE LOMERIO,internaciones,retornados,2012-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-01-01,0,1,0,1,1
SAN JULIAN,internaciones,retornados,2012-01-01,1,0,1,0,1
SAN LUCAS,internaciones,retornados,2012-01-01,0,14,0,14,14
SAN PEDRO,internaciones,retornados,2012-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-01-01,1,2,1,2,3
SOPACHUY,internaciones,retornados,2012-01-01,2,0,2,0,2
SUCRE,internaciones,retornados,2012-01-01,0,13,0,13,13
TAPACARI,internaciones,retornados,2012-01-01,0,1,0,1,1
VALLEGRANDE,internaciones,retornados,2012-01-01,0,3,0,3,3
VIACHA,internaciones,retornados,2012-01-01,2,2,2,2,4
VILLA TUNARI,internaciones,retornados,2012-01-01,0,1,0,1,1
VINTO,internaciones,retornados,2012-01-01,1,0,1,0,1
YACUIBA,internaciones,retornados,2012-01-01,0,6,0,6,6
ASCENCION DE GUARAYOS,internaciones,retornados,2012-02-01,0,1,0,1,1
COBIJA,internaciones,retornados,2012-02-01,5,50,5,50,55
COCAPATA,internaciones,retornados,2012-02-01,0,5,0,5,5
COCHABAMBA,internaciones,retornados,2012-02-01,5,248,5,248,253
COLCAPIRHUA,internaciones,retornados,2012-02-01,0,1,0,1,1
COMARAPA,internaciones,retornados,2012-02-01,0,1,0,1,1
COTOCA,internaciones,retornados,2012-02-01,0,2,0,2,2
EL ALTO,internaciones,retornados,2012-02-01,1,0,1,0,1
EL VILLAR,internaciones,retornados,2012-02-01,0,1,0,1,1
HUACHACALLA,internaciones,retornados,2012-02-01,0,1,0,1,1
HUANUNI,internaciones,retornados,2012-02-01,0,2,0,2,2
LA PAZ,internaciones,retornados,2012-02-01,3,9,3,9,12
LLICA,internaciones,retornados,2012-02-01,14,0,14,0,14
MAIRANA,internaciones,retornados,2012-02-01,0,1,0,1,1
MONTERO,internaciones,retornados,2012-02-01,0,50,0,50,50
ORURO,internaciones,retornados,2012-02-01,2,6,2,6,8
POJO (CBBA),internaciones,retornados,2012-02-01,0,1,0,1,1
PUERTO QUIJARRO,internaciones,retornados,2012-02-01,1,0,1,0,1
RIBERALTA,internaciones,retornados,2012-02-01,0,90,0,90,90
SAN IGNACIO DE VELASCO,internaciones,retornados,2012-02-01,6,10,6,10,16
SAN LUCAS,internaciones,retornados,2012-02-01,0,6,0,6,6
SAN MATIAS,internaciones,retornados,2012-02-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,retornados,2012-02-01,0,2,0,2,2
SUCRE,internaciones,retornados,2012-02-01,0,13,0,13,13
TARIJA,internaciones,retornados,2012-02-01,0,2,0,2,2
TOMINA,internaciones,retornados,2012-02-01,1,0,1,0,1
VIACHA,internaciones,retornados,2012-02-01,3,4,3,4,7
VILA VILA,internaciones,retornados,2012-02-01,0,1,0,1,1
VILLA MONTES,internaciones,retornados,2012-02-01,1,0,1,0,1
VILLA SERRANO,internaciones,retornados,2012-02-01,0,1,0,1,1
