municipality,group,variable,month,7. Viviendas Positivas,TOTAL
ANZALDO,chagas viviendas,viviendas positivas,2024-01-01,7,7
ARAMPAMPA,chagas viviendas,viviendas positivas,2024-01-01,2,2
ARANI,chagas viviendas,viviendas positivas,2024-01-01,3,3
CAPINOTA,chagas viviendas,viviendas positivas,2024-01-01,5,5
COCHABAMBA,chagas viviendas,viviendas positivas,2024-01-01,8,8
ICLA,chagas viviendas,viviendas positivas,2024-01-01,1,1
MACHARETI,chagas viviendas,viviendas positivas,2024-01-01,21,21
POJO (CBBA),chagas viviendas,viviendas positivas,2024-01-01,2,2
PUNATA,chagas viviendas,viviendas positivas,2024-01-01,3,3
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-01-01,1,1
TORO TORO,chagas viviendas,viviendas positivas,2024-01-01,3,3
TUPIZA,chagas viviendas,viviendas positivas,2024-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-01-01,1,1
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-01-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas positivas,2024-01-01,2,2
YACUIBA,chagas viviendas,viviendas positivas,2024-01-01,13,13
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-01-01,5,5
ACACIO,chagas viviendas,viviendas positivas,2024-02-01,2,2
AIQUILE,chagas viviendas,viviendas positivas,2024-02-01,1,1
ANZALDO,chagas viviendas,viviendas positivas,2024-02-01,1,1
ARANI,chagas viviendas,viviendas positivas,2024-02-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2024-02-01,3,3
ARQUE,chagas viviendas,viviendas positivas,2024-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-02-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2024-02-01,1,1
CARAPARI,chagas viviendas,viviendas positivas,2024-02-01,4,4
EL TORNO,chagas viviendas,viviendas positivas,2024-02-01,3,3
ICLA,chagas viviendas,viviendas positivas,2024-02-01,1,1
LAS CARRERAS,chagas viviendas,viviendas positivas,2024-02-01,25,25
MAIRANA,chagas viviendas,viviendas positivas,2024-02-01,2,2
MIZQUE,chagas viviendas,viviendas positivas,2024-02-01,1,1
MOJINETE,chagas viviendas,viviendas positivas,2024-02-01,1,1
PADILLA,chagas viviendas,viviendas positivas,2024-02-01,1,1
PAMPA GRANDE,chagas viviendas,viviendas positivas,2024-02-01,1,1
POCOATA,chagas viviendas,viviendas positivas,2024-02-01,30,30
PUCARA,chagas viviendas,viviendas positivas,2024-02-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2024-02-01,14,14
QUILLACOLLO,chagas viviendas,viviendas positivas,2024-02-01,3,3
SACABA,chagas viviendas,viviendas positivas,2024-02-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2024-02-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2024-02-01,6,6
SIPE SIPE,chagas viviendas,viviendas positivas,2024-02-01,3,3
TORO TORO,chagas viviendas,viviendas positivas,2024-02-01,5,5
TOTORA(CBBA),chagas viviendas,viviendas positivas,2024-02-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2024-02-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2024-02-01,2,2
VALLEGRANDE,chagas viviendas,viviendas positivas,2024-02-01,2,2
VILA VILA,chagas viviendas,viviendas positivas,2024-02-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2024-02-01,1,1
YAMPARAEZ,chagas viviendas,viviendas positivas,2024-02-01,34,34
YOTALA,chagas viviendas,viviendas positivas,2024-02-01,3,3
ARANI,chagas viviendas,viviendas positivas,2024-03-01,3,3
ARQUE,chagas viviendas,viviendas positivas,2024-03-01,8,8
BETANZOS,chagas viviendas,viviendas positivas,2024-03-01,10,10
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2024-03-01,8,8
CAPINOTA,chagas viviendas,viviendas positivas,2024-03-01,4,4
CKOCHAS,chagas viviendas,viviendas positivas,2024-03-01,3,3
COTAGAITA,chagas viviendas,viviendas positivas,2024-03-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2024-03-01,8,8
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2024-03-01,7,7
