municipality,group,variable,month,6. Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2024-01-01,64,64
AIQUILE,chagas viviendas,viviendas evaluadas,2024-01-01,163,163
ANZALDO,chagas viviendas,viviendas evaluadas,2024-01-01,173,173
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-01-01,108,108
ARANI,chagas viviendas,viviendas evaluadas,2024-01-01,219,219
ARQUE,chagas viviendas,viviendas evaluadas,2024-01-01,2,2
CAMARGO,chagas viviendas,viviendas evaluadas,2024-01-01,99,99
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-01-01,194,194
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-01-01,270,270
CLIZA,chagas viviendas,viviendas evaluadas,2024-01-01,190,190
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-01-01,393,393
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-01-01,192,192
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-01-01,206,206
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-01-01,48,48
ICLA,chagas viviendas,viviendas evaluadas,2024-01-01,223,223
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-01-01,3,3
MACHARETI,chagas viviendas,viviendas evaluadas,2024-01-01,70,70
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-01-01,106,106
PADCAYA,chagas viviendas,viviendas evaluadas,2024-01-01,80,80
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-01-01,39,39
PASORAPA,chagas viviendas,viviendas evaluadas,2024-01-01,54,54
POCONA,chagas viviendas,viviendas evaluadas,2024-01-01,126,126
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-01-01,340,340
PUNATA,chagas viviendas,viviendas evaluadas,2024-01-01,238,238
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-01-01,196,196
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-01-01,39,39
SACABA,chagas viviendas,viviendas evaluadas,2024-01-01,679,679
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-01-01,376,376
TACACHI,chagas viviendas,viviendas evaluadas,2024-01-01,202,202
TAPACARI,chagas viviendas,viviendas evaluadas,2024-01-01,76,76
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-01-01,290,290
TOCO,chagas viviendas,viviendas evaluadas,2024-01-01,82,82
TOLATA,chagas viviendas,viviendas evaluadas,2024-01-01,49,49
TORO TORO,chagas viviendas,viviendas evaluadas,2024-01-01,118,118
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-01-01,65,65
TUPIZA,chagas viviendas,viviendas evaluadas,2024-01-01,587,587
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-01-01,174,174
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-01-01,60,60
VILA VILA,chagas viviendas,viviendas evaluadas,2024-01-01,129,129
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-01-01,343,343
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-01-01,147,147
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas evaluadas,2024-01-01,41,41
YACUIBA,chagas viviendas,viviendas evaluadas,2024-01-01,33,33
