municipality,group,variable,month,8. Viviendas Rociadas,TOTAL
ANZALDO,chagas viviendas,viviendas rociadas,2024-01-01,14,14
ARANI,chagas viviendas,viviendas rociadas,2024-01-01,7,7
CAPINOTA,chagas viviendas,viviendas rociadas,2024-01-01,17,17
CARAPARI,chagas viviendas,viviendas rociadas,2024-01-01,41,41
COCHABAMBA,chagas viviendas,viviendas rociadas,2024-01-01,67,67
ICLA,chagas viviendas,viviendas rociadas,2024-01-01,6,6
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-01-01,4,4
MACHARETI,chagas viviendas,viviendas rociadas,2024-01-01,2,2
MIZQUE,chagas viviendas,viviendas rociadas,2024-01-01,19,19
OMEREQUE,chagas viviendas,viviendas rociadas,2024-01-01,22,22
PADCAYA,chagas viviendas,viviendas rociadas,2024-01-01,4,4
PASORAPA,chagas viviendas,viviendas rociadas,2024-01-01,3,3
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-01-01,1,1
PUNATA,chagas viviendas,viviendas rociadas,2024-01-01,2,2
SACABA,chagas viviendas,viviendas rociadas,2024-01-01,8,8
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-01-01,4,4
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-01-01,3,3
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-01-01,25,25
TAPACARI,chagas viviendas,viviendas rociadas,2024-01-01,16,16
TARIJA,chagas viviendas,viviendas rociadas,2024-01-01,25,25
TORO TORO,chagas viviendas,viviendas rociadas,2024-01-01,3,3
TUPIZA,chagas viviendas,viviendas rociadas,2024-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-01-01,7,7
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-01-01,1,1
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-01-01,5,5
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-01-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas rociadas,2024-01-01,21,21
YACUIBA,chagas viviendas,viviendas rociadas,2024-01-01,12,12
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-01-01,8,8
YOTALA,chagas viviendas,viviendas rociadas,2024-01-01,2,2
ACACIO,chagas viviendas,viviendas rociadas,2024-02-01,4,4
ARANI,chagas viviendas,viviendas rociadas,2024-02-01,3,3
ARBIETO,chagas viviendas,viviendas rociadas,2024-02-01,3,3
ARQUE,chagas viviendas,viviendas rociadas,2024-02-01,2,2
CAMARGO,chagas viviendas,viviendas rociadas,2024-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-02-01,2,2
CAPINOTA,chagas viviendas,viviendas rociadas,2024-02-01,5,5
CARAPARI,chagas viviendas,viviendas rociadas,2024-02-01,19,19
CLIZA,chagas viviendas,viviendas rociadas,2024-02-01,1,1
COLCAPIRHUA,chagas viviendas,viviendas rociadas,2024-02-01,2,2
EL PUENTE(TJA),chagas viviendas,viviendas rociadas,2024-02-01,1,1
EL TORNO,chagas viviendas,viviendas rociadas,2024-02-01,6,6
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-02-01,13,13
ICLA,chagas viviendas,viviendas rociadas,2024-02-01,3,3
MAIRANA,chagas viviendas,viviendas rociadas,2024-02-01,2,2
PASORAPA,chagas viviendas,viviendas rociadas,2024-02-01,5,5
POCOATA,chagas viviendas,viviendas rociadas,2024-02-01,30,30
POCONA,chagas viviendas,viviendas rociadas,2024-02-01,1,1
PUCARA,chagas viviendas,viviendas rociadas,2024-02-01,1,1
PUNATA,chagas viviendas,viviendas rociadas,2024-02-01,21,21
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-02-01,9,9
SACABA,chagas viviendas,viviendas rociadas,2024-02-01,4,4
SAN BENITO,chagas viviendas,viviendas rociadas,2024-02-01,2,2
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-02-01,5,5
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-02-01,29,29
TARIJA,chagas viviendas,viviendas rociadas,2024-02-01,5,5
TORO TORO,chagas viviendas,viviendas rociadas,2024-02-01,5,5
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-02-01,1,1
TUPIZA,chagas viviendas,viviendas rociadas,2024-02-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-02-01,4,4
VALLEGRANDE,chagas viviendas,viviendas rociadas,2024-02-01,3,3
VILLA MONTES,chagas viviendas,viviendas rociadas,2024-02-01,2,2
VILLA RIVERO,chagas viviendas,viviendas rociadas,2024-02-01,2,2
VINTO,chagas viviendas,viviendas rociadas,2024-02-01,7,7
YACUIBA,chagas viviendas,viviendas rociadas,2024-02-01,32,32
YAMPARAEZ,chagas viviendas,viviendas rociadas,2024-02-01,9,9
YOTALA,chagas viviendas,viviendas rociadas,2024-02-01,6,6
ANZALDO,chagas viviendas,viviendas rociadas,2024-03-01,6,6
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-03-01,2,2
ARANI,chagas viviendas,viviendas rociadas,2024-03-01,9,9
ARQUE,chagas viviendas,viviendas rociadas,2024-03-01,10,10
BETANZOS,chagas viviendas,viviendas rociadas,2024-03-01,18,18
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas rociadas,2024-03-01,7,7
CAPINOTA,chagas viviendas,viviendas rociadas,2024-03-01,12,12
CARAPARI,chagas viviendas,viviendas rociadas,2024-03-01,48,48
COTAGAITA,chagas viviendas,viviendas rociadas,2024-03-01,1,1
ENTRE RIOS TRJ,chagas viviendas,viviendas rociadas,2024-03-01,1,1
HUACARETA,chagas viviendas,viviendas rociadas,2024-03-01,17,17
ICLA,chagas viviendas,viviendas rociadas,2024-03-01,3,3
LAS CARRERAS,chagas viviendas,viviendas rociadas,2024-03-01,14,14
PASORAPA,chagas viviendas,viviendas rociadas,2024-03-01,5,5
POCOATA,chagas viviendas,viviendas rociadas,2024-03-01,7,7
POJO (CBBA),chagas viviendas,viviendas rociadas,2024-03-01,5,5
PUNATA,chagas viviendas,viviendas rociadas,2024-03-01,8,8
QUILLACOLLO,chagas viviendas,viviendas rociadas,2024-03-01,13,13
RAVELO,chagas viviendas,viviendas rociadas,2024-03-01,15,15
SAN LORENZO(TJA),chagas viviendas,viviendas rociadas,2024-03-01,3,3
SAN LUCAS,chagas viviendas,viviendas rociadas,2024-03-01,14,14
SANTIVAÑES,chagas viviendas,viviendas rociadas,2024-03-01,14,14
SIPE SIPE,chagas viviendas,viviendas rociadas,2024-03-01,35,35
TORO TORO,chagas viviendas,viviendas rociadas,2024-03-01,3,3
TOTORA(CBBA),chagas viviendas,viviendas rociadas,2024-03-01,1,1
TUPIZA,chagas viviendas,viviendas rociadas,2024-03-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,viviendas rociadas,2024-03-01,4,4
YOTALA,chagas viviendas,viviendas rociadas,2024-03-01,6,6
ACACIO,chagas viviendas,viviendas rociadas,2024-04-01,2,2
ANZALDO,chagas viviendas,viviendas rociadas,2024-04-01,15,15
ARAMPAMPA,chagas viviendas,viviendas rociadas,2024-04-01,2,2
ARANI,chagas viviendas,viviendas rociadas,2024-04-01,11,11
ARBIETO,chagas viviendas,viviendas rociadas,2024-04-01,2,2
BETANZOS,chagas viviendas,viviendas rociadas,2024-04-01,24,24
