,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVO,REPETIDO,TOTAL NUEVO,TOTAL REPETIDO,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,11,76,11,76,87
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,86,243,86,243,329
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,77,71,77,71,148
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,67,155,67,155,222
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,34,9,34,43
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,45,0,45,0,45
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,15,93,15,93,108
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,28,6,28,34
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,59,6,59,65
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,27,13,27,13,40
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,72,64,72,64,136
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,10,68,10,68,78
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,45,5,45,50
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,16,73,16,73,89
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,23,58,23,58,81
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,78,0,78,0,78
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,19,139,19,139,158
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,15,7,15,7,22
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,15,100,15,100,115
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,40,6,40,46
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,34,117,34,117,151
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,216,0,216,0,216
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,34,88,34,88,122
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,43,8,43,51
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3,5,3,5,8
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,14,0,14,14
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,0,6,0,6
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,70,23,70,23,93
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,59,147,59,147,206
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,19,56,19,56,75
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,26,3,26,3,29
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,27,12,27,39
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,23,135,23,135,158
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,39,236,39,236,275
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,22,94,22,94,116
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,20,73,20,73,93
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,13,134,13,134,147
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,24,8,24,32
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,21,115,21,115,136
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,211,0,211,0,211
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,39,0,39,0,39
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,191,433,191,433,624
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,578,186,578,186,764
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,54,9,54,63
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,33,132,33,132,165
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,121,500,121,500,621
CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,0,2,0,2
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,19,133,19,133,152
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,13,91,13,91,104
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,17,23,17,23,40
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,1,8,1,8,9
CHACARILLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,1,6,1,6,7
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,48,234,48,234,282
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,45,14,45,59
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,47,237,47,237,284
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,13,8,13,21
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,140,38,140,38,178
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,24,54,24,54,78
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,7,2,7,9
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,14,0,14,14
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,58,25,58,83
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,57,79,57,79,136
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,52,229,52,229,281
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,249,262,249,262,511
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2676,2225,2676,2225,4901
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,1,0,1,1
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,268,91,268,91,359
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,64,14,64,78
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3,16,3,16,19
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,155,91,155,91,246
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,55,8,55,63
COLQUECHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,79,112,79,112,191
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,11,58,11,58,69
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,46,196,46,196,242
COMANCHE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,15,2,15,17
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,152,25,152,177
COMBAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,0,1,0,1,1
CONCEPCION,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,33,387,33,387,420
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,88,25,88,113
CORIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,58,88,58,88,146
CORO CORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,7,57,7,57,64
COROICO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,35,35,35,35,70
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,30,9,30,9,39
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,204,12,204,216
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,93,622,93,622,715
CUATRO CAÑADAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,2,13,2,13,15
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,20,5,20,25
CUEVO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,55,5,55,60
CULPINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,225,0,225,0,225
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,6,61,6,61,67
CURVA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,5,23,5,23,28
DESAGUADERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,14,38,14,38,52
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,3012,4459,3012,4459,7471
EL CHORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,26,32,26,32,58
EL PUENTE(STC),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,178,0,178,0,178
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,12,77,12,77,89
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,175,25,175,25,200
EL VILLAR,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,57,0,57,0,57
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,59,216,59,216,275
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,18,195,18,195,213
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,9,43,9,43,52
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,8,6,8,6,14
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,11,12,11,12,23
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,25,121,25,121,146
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-01-01,34,0,34,0,34
