,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVO,REPETIDO,TOTAL NUEVO,TOTAL REPETIDO,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,98,2,98,100
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,44,195,44,195,239
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,18,40,18,40,58
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,25,163,25,163,188
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,12,26,12,26,38
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,74,0,74,0,74
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,103,3,103,106
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,9,3,9,12
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,23,1,23,24
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,35,18,35,18,53
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,57,79,57,79,136
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,10,53,10,53,63
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,14,34,14,34,48
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,52,5,52,57
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,89,1,89,90
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,90,0,90,90
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,23,21,23,21,44
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,72,1,72,73
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,28,2,28,30
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,25,135,25,135,160
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,227,0,227,0,227
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,94,3,94,97
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,57,0,57,57
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,5,2,5,7
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,14,0,14,14
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,7,10,7,10,17
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,117,27,117,27,144
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,7,252,7,252,259
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,42,2,42,44
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,5,5,5,10
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,27,5,27,32
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,20,152,20,152,172
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,29,234,29,234,263
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,120,0,120,120
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,49,5,49,54
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,85,3,85,88
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,38,0,38,38
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,134,0,134,134
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,168,0,168,0,168
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,45,0,45,0,45
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,101,321,101,321,422
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,146,75,146,75,221
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,33,0,33,33
CARACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,4,97,4,97,101
CARANAVI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,28,401,28,401,429
CARANGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,0,2,0,2
CARAPARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,99,1,99,100
CARIPUYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,4,92,4,92,96
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,19,26,19,26,45
CATACORA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,8,0,8,8
CHACARILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,1,0,1,1
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,10,274,10,274,284
CHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,60,0,60,60
CHARAGUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,65,237,65,237,302
CHARAÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,14,5,14,19
CHAYANTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,86,39,86,39,125
CHIMORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,77,60,77,60,137
CHIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,18,0,18,18
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,34,3,34,37
CHUMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,29,92,29,92,121
CLIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,19,153,19,153,172
COBIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,251,138,251,138,389
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1101,1809,1101,1809,2910
COIPASA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,2,8,2,8,10
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,93,35,93,35,128
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,48,0,48,48
COLLANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,16,0,16,16
COLOMI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,49,77,49,77,126
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,3,58,3,58,61
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,240,0,240,240
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,65,1,65,66
COLQUIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,122,1,122,123
COMANCHE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,23,0,23,23
COMARAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,106,0,106,106
COMBAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,20,0,20,20
CONCEPCION,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,264,0,264,264
COPACABANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,5,50,5,50,55
CORIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,19,70,19,70,89
CORO CORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,35,0,35,35
COROICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,20,58,20,58,78
CORQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,22,28,22,28,50
COTAGAITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,31,182,31,182,213
COTOCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,1,342,1,342,343
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,80,180,80,180,260
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,11,0,11,11
CUEVO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,0,51,0,51,51
CULPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-01-01,194,0,194,0,194
