,group,variable,month,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
,,,,NUEVO,REPETIDO,TOTAL NUEVO,TOTAL REPETIDO,TOTAL
municipality,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,228,3,228,231
ACHACACHI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,27,305,27,305,332
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,24,62,24,62,86
AIQUILE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,36,301,36,301,337
ALALAY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,20,71,20,71,91
ALCALA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,139,0,139,0,139
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,212,1,212,213
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,38,0,38,38
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,10,68,10,68,78
ANZALDO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,29,22,29,22,51
APOLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,98,126,98,126,224
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,17,148,17,148,165
ARANI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,14,62,14,62,76
ARBIETO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,5,59,5,59,64
ARQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,170,1,170,171
ATOCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,160,0,160,160
AUCAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,19,25,19,25,44
AYATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,8,105,8,105,113
AYO AYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,47,2,47,49
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,20,197,20,197,217
AZURDUY,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,475,0,475,0,475
BATALLAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,120,2,120,122
BAURES,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,71,0,71,71
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,10,0,10,10
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,26,0,26,26
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,21,4,21,4,25
BERMEJO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,114,44,114,44,158
BETANZOS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,417,1,417,418
BOLIVAR,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,9,66,9,66,75
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,32,5,32,5,37
BOYUIBE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,9,79,9,79,88
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,51,242,51,242,293
CABEZAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,37,279,37,279,316
CAIROMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,224,0,224,224
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,148,3,148,151
CAJUATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,18,128,18,128,146
CALACOTO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,50,1,50,51
CALAMARCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,3,198,3,198,201
CAMARGO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,333,0,333,0,333
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,81,0,81,0,81
CAMIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,72,521,72,521,593
CAPINOTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,173,154,173,154,327
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,42,0,42,42
CARACOLLO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,70,1,70,71
CARANAVI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,43,473,43,473,516
CARANGAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,8,0,8,0,8
CARAPARI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,139,0,139,139
CARIPUYO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,243,0,243,243
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,19,40,19,40,59
CATACORA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,24,0,24,24
CHACARILLA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,8,0,8,8
CHALLAPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,31,327,31,327,358
CHAQUI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,111,0,111,111
CHARAGUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,80,202,80,202,282
CHARAÑA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,7,0,7,7
CHAYANTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,199,93,199,93,292
CHIMORE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,59,89,59,89,148
CHIPAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,47,0,47,47
CHOQUE COTA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,16,1,16,17
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,61,4,61,65
CHUMA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,23,105,23,105,128
CLIZA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,17,114,17,114,131
COBIJA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,367,188,367,188,555
COCHABAMBA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1267,1874,1267,1874,3141
COIPASA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,7,1,7,8
COLCAPIRHUA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,168,36,168,36,204
"COLCHA ""K""",control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,93,0,93,93
COLLANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,19,0,19,19
COLOMI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,71,107,71,107,178
COLPA BELGICA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,2,70,2,70,72
COLQUECHACA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,263,0,263,263
COLQUENCHA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,1,95,1,95,96
COLQUIRI,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,6,210,6,210,216
COMANCHE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,9,0,9,9
COMARAPA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,138,0,138,138
COMBAYA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,16,0,16,16
CONCEPCION,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,145,0,145,145
COPACABANA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,4,152,4,152,156
CORIPATA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,26,89,26,89,115
CORO CORO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,54,0,54,54
COROICO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,18,62,18,62,80
CORQUE,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,31,14,31,14,45
COTAGAITA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,15,269,15,269,284
COTOCA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,398,0,398,398
CUATRO CAÑADAS,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,35,179,35,179,214
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,42,0,42,42
CUEVO,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,0,104,0,104,104
CULPINA,control de crecimiento infantil,control del nino (a) de 2 anos a menor de 5 anos,2008-01-01,356,0,356,0,356
