municipality,group,variable,month,Otros,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,20,20
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,6,6
BETANZOS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,5,5
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,11,11
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,26,26
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,13,13
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,5,5
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,18,18
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,259,259
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,5,5
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,8,8
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
CUEVO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,164,164
EL PUENTE(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,205,205
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,486,486
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,48,48
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,13,13
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,17,17
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,183,183
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,49,49
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,7,7
PATACAMAYA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,41,41
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,3,3
PUERTO RICO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
PUERTO SILES,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,13,13
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,11,11
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,24,24
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,61,61
REYES,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,56,56
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,36,36
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,4,4
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-01-01,7,7
