municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
BETANZOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,8,8
COLQUENCHA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
EL TORNO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
PAILON,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,2,2
PALCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
POJO (CBBA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
POOPO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
PUCARANI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SAN JAVIER(STC),atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,15,15
TARACO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
YAPACANI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
YOTALA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-02-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
CARIPUYO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
CHARAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,7,7
CONCEPCION,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,2,2
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,5,5
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,2,2
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,3,3
MACHACAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
PADCAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,4,4
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,3,3
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
SAN MATIAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-03-01,1,1
