municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
SIPE SIPE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,2,2
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,2,2
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,3,3
VINTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-11-01,1,1
ANDAMARCA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
BOLIVAR,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
BOYUIBE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,14,14
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,2,2
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
PUNA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,7,7
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,2,2
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,4,4
TACOPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-12-01,3,3
