municipality,group,variable,month,Partos atendidos por partera capacitada,TOTAL
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,2,2
CARACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,5,5
COMARAPA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
COPACABANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,2,2
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,3,3
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,7,7
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,3,3
VACAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-01-01,1,1
ACHOCALLA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
ATOCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
AZURDUY,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,2,2
CAPINOTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
COPACABANA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
CORO CORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
EL TORNO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
FILADELFIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,2,2
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
IXIAMAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
MACHARETI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,3,3
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,13,13
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,5,5
UNCIA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
VITICHI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-02-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
BAURES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,3,3
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,3,3
CAMIRI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,3,3
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,2,2
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,2,2
WARNES,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,3,3
YUNCHARA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-03-01,1,1
ATOCHA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,11,11
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
CKOCHAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
ROBORE,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,4,4
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
SORATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,4,4
TAPACARI,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,3,3
TORO TORO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
TURCO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por partera capacitada,2016-04-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,9,9
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,2,2
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera capacitada,2016-05-01,1,1
