municipality,group,variable,month,Cirugia maxilo faciales,TOTAL
CHUMA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,4,4
COCHABAMBA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,72,72
COLPA BELGICA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,3,3
CORIPATA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,2,2
EL ALTO,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,20,20
GUAYARAMERIN,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,3,3
IXIAMAS,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,6,6
LA PAZ,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,24,24
ORURO,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,7,7
PATACAMAYA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,3,3
POTOSI,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,8,8
PUNATA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,2,2
RIBERALTA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,2,2
SAN BENITO,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,3,3
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,129,129
SUCRE,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,30,30
TARIJA,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,2,2
TIAWANACU,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,10,10
TOTORA(CBBA),atenciones odontologicas,cirugia maxilo faciales,2008-01-01,1,1
TRINIDAD,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,1,1
VILLA TUNARI,atenciones odontologicas,cirugia maxilo faciales,2008-01-01,5,5
ANCORAIMES,atenciones odontologicas,cirugia maxilo faciales,2008-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,cirugia maxilo faciales,2008-02-01,1,1
