municipality,group,variable,month,Restauraciones,TOTAL
ACACIO,atenciones odontologicas,restauraciones,2008-01-01,20,20
ACHACACHI,atenciones odontologicas,restauraciones,2008-01-01,87,87
ACHOCALLA,atenciones odontologicas,restauraciones,2008-01-01,50,50
AIQUILE,atenciones odontologicas,restauraciones,2008-01-01,162,162
ALCALA,atenciones odontologicas,restauraciones,2008-01-01,31,31
ANCORAIMES,atenciones odontologicas,restauraciones,2008-01-01,18,18
ANDAMARCA,atenciones odontologicas,restauraciones,2008-01-01,28,28
ANTEQUERA,atenciones odontologicas,restauraciones,2008-01-01,50,50
ANZALDO,atenciones odontologicas,restauraciones,2008-01-01,28,28
APOLO,atenciones odontologicas,restauraciones,2008-01-01,69,69
ARAMPAMPA,atenciones odontologicas,restauraciones,2008-01-01,40,40
ARANI,atenciones odontologicas,restauraciones,2008-01-01,112,112
ARBIETO,atenciones odontologicas,restauraciones,2008-01-01,13,13
ARQUE,atenciones odontologicas,restauraciones,2008-01-01,34,34
ASCENCION DE GUARAYOS,atenciones odontologicas,restauraciones,2008-01-01,36,36
ATOCHA,atenciones odontologicas,restauraciones,2008-01-01,333,333
AYATA,atenciones odontologicas,restauraciones,2008-01-01,3,3
AYO AYO,atenciones odontologicas,restauraciones,2008-01-01,51,51
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,restauraciones,2008-01-01,97,97
BATALLAS,atenciones odontologicas,restauraciones,2008-01-01,43,43
BAURES,atenciones odontologicas,restauraciones,2008-01-01,37,37
BERMEJO,atenciones odontologicas,restauraciones,2008-01-01,415,415
BETANZOS,atenciones odontologicas,restauraciones,2008-01-01,141,141
BOLIVAR,atenciones odontologicas,restauraciones,2008-01-01,27,27
BOLPEBRA,atenciones odontologicas,restauraciones,2008-01-01,18,18
BOYUIBE,atenciones odontologicas,restauraciones,2008-01-01,29,29
BUENA VISTA,atenciones odontologicas,restauraciones,2008-01-01,43,43
CABEZAS,atenciones odontologicas,restauraciones,2008-01-01,26,26
CAIROMA,atenciones odontologicas,restauraciones,2008-01-01,7,7
"CAIZA ""D""",atenciones odontologicas,restauraciones,2008-01-01,6,6
CAJUATA,atenciones odontologicas,restauraciones,2008-01-01,3,3
CALACOTO,atenciones odontologicas,restauraciones,2008-01-01,7,7
CALAMARCA,atenciones odontologicas,restauraciones,2008-01-01,37,37
CAMARGO,atenciones odontologicas,restauraciones,2008-01-01,139,139
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,restauraciones,2008-01-01,23,23
CAMIRI,atenciones odontologicas,restauraciones,2008-01-01,416,416
CAPINOTA,atenciones odontologicas,restauraciones,2008-01-01,90,90
CAQUIAVIRI,atenciones odontologicas,restauraciones,2008-01-01,3,3
CARACOLLO,atenciones odontologicas,restauraciones,2008-01-01,108,108
CARANAVI,atenciones odontologicas,restauraciones,2008-01-01,52,52
