municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,7,7
ACHACACHI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,43,43
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,8,8
AIQUILE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,34,34
ALALAY,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
ALCALA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,3,3
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,13,13
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,3,3
ANZALDO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,6,6
APOLO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,21,21
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,10,10
ARANI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
ARBIETO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,10,10
ARQUE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,23,23
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,58,58
ATOCHA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,7,7
AUCAPATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,1,1
AYATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,3,3
AYO AYO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,32,32
AZURDUY,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,19,19
BATALLAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
BAURES,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,2,2
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,1,1
BERMEJO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,43,43
BETANZOS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,35,35
BOLIVAR,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,2,2
BOYUIBE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,1,1
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,19,19
CABEZAS,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,7,7
CAIROMA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,15,15
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,6,6
CAJUATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
CALACOTO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
CALAMARCA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,13,13
CAMARGO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,6,6
CAMIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,61,61
CAPINOTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,40,40
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,8,8
CARACOLLO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,19,19
CARANAVI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,76,76
CARAPARI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,11,11
CARIPUYO,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,17,17
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
CATACORA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,3,3
CHACARILLA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,1,1
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,33,33
CHAQUI,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,6,6
CHARAGUA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,45,45
CHARAÑA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
CHAYANTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,9,9
CHIMORE,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,5,5
CHIPAYA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,4,4
CHOQUE COTA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,29,29
CHUMA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,3,3
CLIZA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,13,13
COBIJA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,64,64
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas con dosis completa de hierro,2008-01-01,386,386
