,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,2,14,9,18,11,29
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,33,22,158,132,191,154,345
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,17,160,130,173,147,320
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,13,14,69,81,82,95,177
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,2,10,12,11,14,25
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,2,1,3,3,5,8
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,4,6,65,43,69,49,118
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,3,3,56,62,59,65,124
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,14,9,16,10,26
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,0,3,7,9,7,12,19
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,2,1,25,12,27,13,40
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,7,7,96,77,103,84,187
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2021-01-01,1,1,10,10,11,11,22
