,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,2,10,10,11,12,23
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,7,10,29,14,36,24,60
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,3,0,0,2,3,2,5
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,2,34,26,34,28,62
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,2,1,2,3
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,2,11,9,12,11,23
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,6,5,2,1,8,6,14
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,7,9,8,10,18
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,0,0,1,2,1,2,3
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,1,16,8,17,9,26
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,6,3,12,17,18,20,38
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,4,12,22,13,26,39
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2021-01-01,1,0,3,2,4,2,6
