municipality,group,variable,month,Viviendas rociadas,TOTAL
TRINIDAD,chagas,viviendas rociadas,2005-01-01,160,160
VALLEGRANDE,chagas,viviendas rociadas,2005-01-01,81,81
ARANI,chagas,viviendas rociadas,2005-02-01,36,36
"CAIZA ""D""",chagas,viviendas rociadas,2005-02-01,147,147
COLCAPIRHUA,chagas,viviendas rociadas,2005-02-01,331,331
PALCA,chagas,viviendas rociadas,2005-02-01,16,16
POCONA,chagas,viviendas rociadas,2005-02-01,8,8
QUILLACOLLO,chagas,viviendas rociadas,2005-02-01,21,21
SACABA,chagas,viviendas rociadas,2005-02-01,542,542
SAN LORENZO(TJA),chagas,viviendas rociadas,2005-02-01,19,19
SIPE SIPE,chagas,viviendas rociadas,2005-02-01,54,54
TOTORA(CBBA),chagas,viviendas rociadas,2005-02-01,12,12
VINTO,chagas,viviendas rociadas,2005-02-01,38,38
WARNES,chagas,viviendas rociadas,2005-02-01,85,85
ALALAY,chagas,viviendas rociadas,2005-03-01,311,311
ALCALA,chagas,viviendas rociadas,2005-03-01,22,22
ARAMPAMPA,chagas,viviendas rociadas,2005-03-01,11,11
ARANI,chagas,viviendas rociadas,2005-03-01,1019,1019
ATOCHA,chagas,viviendas rociadas,2005-03-01,6,6
AZURDUY,chagas,viviendas rociadas,2005-03-01,16,16
BERMEJO,chagas,viviendas rociadas,2005-03-01,378,378
BETANZOS,chagas,viviendas rociadas,2005-03-01,348,348
BUENA VISTA,chagas,viviendas rociadas,2005-03-01,62,62
CABEZAS,chagas,viviendas rociadas,2005-03-01,59,59
"CAIZA ""D""",chagas,viviendas rociadas,2005-03-01,159,159
CAMARGO,chagas,viviendas rociadas,2005-03-01,20,20
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas rociadas,2005-03-01,78,78
CARAPARI,chagas,viviendas rociadas,2005-03-01,59,59
CHARAGUA,chagas,viviendas rociadas,2005-03-01,36,36
CHULUMANI (V. DE LA LIBERTAD),chagas,viviendas rociadas,2005-03-01,3,3
COCHABAMBA,chagas,viviendas rociadas,2005-03-01,65,65
COLCAPIRHUA,chagas,viviendas rociadas,2005-03-01,1639,1639
COROICO,chagas,viviendas rociadas,2005-03-01,350,350
COTAGAITA,chagas,viviendas rociadas,2005-03-01,654,654
CUATRO CAÑADAS,chagas,viviendas rociadas,2005-03-01,882,882
EL PUENTE(TJA),chagas,viviendas rociadas,2005-03-01,28,28
EL TORNO,chagas,viviendas rociadas,2005-03-01,80,80
EL VILLAR,chagas,viviendas rociadas,2005-03-01,88,88
ENTRE RIOS,chagas,viviendas rociadas,2005-03-01,30,30
HUACARETA,chagas,viviendas rociadas,2005-03-01,182,182
HUACAYA (VILLA DE HUACAYA),chagas,viviendas rociadas,2005-03-01,100,100
INCAHUASI,chagas,viviendas rociadas,2005-03-01,53,53
LAS CARRERAS,chagas,viviendas rociadas,2005-03-01,61,61
