municipality,group,variable,month,Viviendas visitadas por agente comunitario,TOTAL
TUPIZA,chagas,viviendas visitadas por agente comunitario,2005-01-01,7,7
MIZQUE,chagas,viviendas visitadas por agente comunitario,2005-02-01,1,1
TOTORA(CBBA),chagas,viviendas visitadas por agente comunitario,2005-03-01,190,190
SAN PEDRO,chagas,viviendas visitadas por agente comunitario,2005-04-01,410,410
TOLATA,chagas,viviendas visitadas por agente comunitario,2005-04-01,28,28
TOMINA,chagas,viviendas visitadas por agente comunitario,2005-04-01,10,10
ARANI,chagas,viviendas visitadas por agente comunitario,2005-05-01,687,687
ARBIETO,chagas,viviendas visitadas por agente comunitario,2005-05-01,2,2
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-05-01,13,13
CHARAGUA,chagas,viviendas visitadas por agente comunitario,2005-05-01,79,79
SAN IGNACIO DE VELASCO,chagas,viviendas visitadas por agente comunitario,2005-05-01,311,311
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2005-05-01,405,405
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2005-05-01,770,770
VINTO,chagas,viviendas visitadas por agente comunitario,2005-05-01,1225,1225
ANZALDO,chagas,viviendas visitadas por agente comunitario,2005-06-01,186,186
ASCENCION DE GUARAYOS,chagas,viviendas visitadas por agente comunitario,2005-06-01,337,337
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-06-01,6,6
EL TORNO,chagas,viviendas visitadas por agente comunitario,2005-06-01,67,67
INCAHUASI,chagas,viviendas visitadas por agente comunitario,2005-06-01,447,447
POCONA,chagas,viviendas visitadas por agente comunitario,2005-06-01,307,307
PORONGO,chagas,viviendas visitadas por agente comunitario,2005-06-01,52,52
SACABAMBA,chagas,viviendas visitadas por agente comunitario,2005-06-01,6,6
SAN IGNACIO DE VELASCO,chagas,viviendas visitadas por agente comunitario,2005-06-01,411,411
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2005-06-01,337,337
TARATA,chagas,viviendas visitadas por agente comunitario,2005-06-01,31,31
TARIJA,chagas,viviendas visitadas por agente comunitario,2005-06-01,228,228
VINTO,chagas,viviendas visitadas por agente comunitario,2005-06-01,1280,1280
ARANI,chagas,viviendas visitadas por agente comunitario,2005-07-01,13,13
BETANZOS,chagas,viviendas visitadas por agente comunitario,2005-07-01,20,20
BUENA VISTA,chagas,viviendas visitadas por agente comunitario,2005-07-01,120,120
CHARAGUA,chagas,viviendas visitadas por agente comunitario,2005-07-01,500,500
PORONGO,chagas,viviendas visitadas por agente comunitario,2005-07-01,70,70
SACABAMBA,chagas,viviendas visitadas por agente comunitario,2005-07-01,467,467
SAN IGNACIO DE VELASCO,chagas,viviendas visitadas por agente comunitario,2005-07-01,518,518
SAN RAFAEL,chagas,viviendas visitadas por agente comunitario,2005-07-01,5,5
SIPE SIPE,chagas,viviendas visitadas por agente comunitario,2005-07-01,1,1
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2005-07-01,433,433
TARIJA,chagas,viviendas visitadas por agente comunitario,2005-07-01,132,132
VINTO,chagas,viviendas visitadas por agente comunitario,2005-07-01,890,890
WARNES,chagas,viviendas visitadas por agente comunitario,2005-07-01,68,68
ANZALDO,chagas,viviendas visitadas por agente comunitario,2005-08-01,61,61
ARANI,chagas,viviendas visitadas por agente comunitario,2005-08-01,295,295
ARQUE,chagas,viviendas visitadas por agente comunitario,2005-08-01,2,2
BETANZOS,chagas,viviendas visitadas por agente comunitario,2005-08-01,14,14
BUENA VISTA,chagas,viviendas visitadas por agente comunitario,2005-08-01,120,120
CAPINOTA,chagas,viviendas visitadas por agente comunitario,2005-08-01,568,568
CHARAGUA,chagas,viviendas visitadas por agente comunitario,2005-08-01,2,2
COTAGAITA,chagas,viviendas visitadas por agente comunitario,2005-08-01,20,20
MOROCHATA,chagas,viviendas visitadas por agente comunitario,2005-08-01,2,2
PRESTO,chagas,viviendas visitadas por agente comunitario,2005-08-01,77,77
SACABAMBA,chagas,viviendas visitadas por agente comunitario,2005-08-01,81,81
SAN IGNACIO DE VELASCO,chagas,viviendas visitadas por agente comunitario,2005-08-01,655,655
TARIJA,chagas,viviendas visitadas por agente comunitario,2005-08-01,501,501
TUPIZA,chagas,viviendas visitadas por agente comunitario,2005-08-01,115,115
VINTO,chagas,viviendas visitadas por agente comunitario,2005-08-01,1137,1137
ANZALDO,chagas,viviendas visitadas por agente comunitario,2005-09-01,23,23
ARAMPAMPA,chagas,viviendas visitadas por agente comunitario,2005-09-01,72,72
ARANI,chagas,viviendas visitadas por agente comunitario,2005-09-01,167,167
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-09-01,7,7
MIZQUE,chagas,viviendas visitadas por agente comunitario,2005-09-01,2,2
POJO (CBBA),chagas,viviendas visitadas por agente comunitario,2005-09-01,1291,1291
PORONGO,chagas,viviendas visitadas por agente comunitario,2005-09-01,315,315
SAIPINA,chagas,viviendas visitadas por agente comunitario,2005-09-01,2,2
SAN IGNACIO DE VELASCO,chagas,viviendas visitadas por agente comunitario,2005-09-01,515,515
SAN LORENZO(TJA),chagas,viviendas visitadas por agente comunitario,2005-09-01,26,26
SIPE SIPE,chagas,viviendas visitadas por agente comunitario,2005-09-01,30,30
TARATA,chagas,viviendas visitadas por agente comunitario,2005-09-01,2,2
TARIJA,chagas,viviendas visitadas por agente comunitario,2005-09-01,696,696
TOCO,chagas,viviendas visitadas por agente comunitario,2005-09-01,100,100
TOMINA,chagas,viviendas visitadas por agente comunitario,2005-09-01,3,3
TORO TORO,chagas,viviendas visitadas por agente comunitario,2005-09-01,31,31
ARAMPAMPA,chagas,viviendas visitadas por agente comunitario,2005-10-01,12,12
ARANI,chagas,viviendas visitadas por agente comunitario,2005-10-01,321,321
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-10-01,1,1
CUATRO CAÑADAS,chagas,viviendas visitadas por agente comunitario,2005-10-01,10,10
EL PUENTE(STC),chagas,viviendas visitadas por agente comunitario,2005-10-01,6,6
MOROCHATA,chagas,viviendas visitadas por agente comunitario,2005-10-01,41,41
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2005-10-01,4,4
SIPE SIPE,chagas,viviendas visitadas por agente comunitario,2005-10-01,2,2
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2005-10-01,7,7
TUPIZA,chagas,viviendas visitadas por agente comunitario,2005-10-01,58,58
URIONDO (A. CONCEPCION),chagas,viviendas visitadas por agente comunitario,2005-10-01,2,2
VINTO,chagas,viviendas visitadas por agente comunitario,2005-10-01,1563,1563
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-11-01,2,2
BETANZOS,chagas,viviendas visitadas por agente comunitario,2005-11-01,5,5
"CAIZA ""D""",chagas,viviendas visitadas por agente comunitario,2005-11-01,44,44
CHARAGUA,chagas,viviendas visitadas por agente comunitario,2005-11-01,62,62
MAIRANA,chagas,viviendas visitadas por agente comunitario,2005-11-01,6,6
PADILLA,chagas,viviendas visitadas por agente comunitario,2005-11-01,349,349
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2005-11-01,6,6
SIPE SIPE,chagas,viviendas visitadas por agente comunitario,2005-11-01,1,1
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2005-11-01,8,8
TAPACARI,chagas,viviendas visitadas por agente comunitario,2005-11-01,112,112
TOCO,chagas,viviendas visitadas por agente comunitario,2005-11-01,90,90
VINTO,chagas,viviendas visitadas por agente comunitario,2005-11-01,25,25
YACUIBA,chagas,viviendas visitadas por agente comunitario,2005-11-01,1,1
ANZALDO,chagas,viviendas visitadas por agente comunitario,2005-12-01,1,1
AZURDUY,chagas,viviendas visitadas por agente comunitario,2005-12-01,1,1
MIZQUE,chagas,viviendas visitadas por agente comunitario,2005-12-01,1,1
