,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,42,38,0,0,0,0,80,0,80
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,183,201,29,33,0,0,384,62,446
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,140,105,18,16,3,0,245,34,279
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,115,139,99,98,97,113,254,197,451
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-01-01,26,25,1,5,23,29,51,6,57
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,44,28,2,2,56,43,72,4,76
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,206,193,10,4,0,0,399,14,413
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,38,38,24,17,11,10,76,41,117
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,26,13,5,5,0,0,39,10,49
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,8,10,1,1,8,10,18,2,20
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,47,58,9,9,0,0,105,18,123
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,164,168,55,59,167,175,332,114,446
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,18,15,0,0,18,15,33,0,33
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,52,53,15,22,0,1,105,37,142
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,251,232,42,46,0,0,483,88,571
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,108,92,1,1,0,0,200,2,202
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,215,202,11,12,14,15,417,23,440
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,180,127,8,9,32,18,307,17,324
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,13,10,1,3,46,61,23,4,27
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,65,40,4,3,65,40,105,7,112
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,50,49,21,24,0,0,99,45,144
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,156,150,31,27,110,117,306,58,364
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-01-01,23,9,43,32,214,167,32,75,107
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,59,80,26,35,0,0,139,61,200
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-01-01,70,54,1,0,0,0,124,1,125
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,5,6,1,1,0,0,11,2,13
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,14,10,0,0,9,6,24,0,24
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-01-01,58,51,10,7,10,7,109,17,126
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,494,496,54,50,5,10,990,104,1094
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,197,172,4,7,0,0,369,11,380
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-01-01,38,37,4,3,0,0,75,7,82
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,20,16,1,1,0,0,36,2,38
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,44,45,4,7,0,0,89,11,100
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,135,91,1,4,0,0,226,5,231
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,251,301,9,10,7,5,552,19,571
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,112,89,11,8,0,0,201,19,220
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-01-01,113,98,2,2,0,0,211,4,215
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,98,100,7,16,113,101,198,23,221
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,24,13,5,3,0,0,37,8,45
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,97,82,1,2,0,0,179,3,182
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,16,26,28,29,166,109,42,57,99
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-01-01,49,30,0,2,46,29,79,2,81
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,95,113,32,29,0,0,208,61,269
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,221,220,31,43,1,0,441,74,515
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,69,60,6,3,0,0,129,9,138
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,193,178,30,33,169,138,371,63,434
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,615,563,51,46,5,2,1178,97,1275
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,0,0,0,0,4,2,0,0,0
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,180,186,8,7,10,11,366,15,381
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-01-01,50,42,0,0,0,0,92,0,92
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-01-01,34,36,6,7,43,42,70,13,83
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,17,13,3,1,0,0,30,4,34
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,22,12,0,0,0,0,34,0,34
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,170,168,19,21,104,95,338,40,378
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,54,48,3,2,0,0,102,5,107
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,449,450,55,63,0,0,899,118,1017
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,23,30,9,3,4,3,53,12,65
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,110,111,1,4,27,34,221,5,226
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-01-01,303,304,67,64,322,274,607,131,738
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,9,15,2,0,9,15,24,2,26
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,15,2,0,0,0,0,17,0,17
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,7,17,17,18,0,0,24,35,59
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-01-01,146,155,15,12,5,5,301,27,328
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,75,71,2,4,81,71,146,6,152
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-01-01,76,70,0,2,0,0,146,2,148
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-01-01,96,76,1,0,69,57,172,1,173
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-01-01,209,160,59,54,0,0,369,113,482
