,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,0,21,10,23,10,33
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,17,33,143,146,160,179,339
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,22,17,145,119,167,136,303
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,13,16,135,141,148,157,305
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,2,1,13,11,15,12,27
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,0,3,6,4,6,10
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,7,6,57,52,64,58,122
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,3,4,46,46,49,50,99
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,1,21,9,25,10,35
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,1,1,14,15,15,16,31
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,0,31,26,35,26,61
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,4,9,99,83,103,92,195
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2019-01-01,0,0,6,4,6,4,10
