,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,2,3,9,9,11,12,23
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,6,2,8,23,14,25,39
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,0,0,0,1,0,1,1
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,0,2,6,11,6,13,19
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,2,0,2,1,4,1,5
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,1,0,7,8,8,8,16
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,1,0,2,0,3,0,3
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,3,3,5,12,8,15,23
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,0,1,6,5,6,6,12
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,0,0,0,1,0,1,1
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,0,4,15,13,15,17,32
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,5,0,16,18,21,18,39
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2019-01-01,4,1,17,13,21,14,35
