municipality,group,variable,month,Viviendas rociadas,TOTAL
CAIROMA,chagas,viviendas rociadas,2006-01-01,144,144
SAN LUCAS,chagas,viviendas rociadas,2006-01-01,2,2
VILLA MONTES,chagas,viviendas rociadas,2006-01-01,271,271
YACUIBA,chagas,viviendas rociadas,2006-01-01,788,788
ARBIETO,chagas,viviendas rociadas,2006-02-01,4,4
"CAIZA ""D""",chagas,viviendas rociadas,2006-02-01,14,14
CLIZA,chagas,viviendas rociadas,2006-02-01,6,6
COCHABAMBA,chagas,viviendas rociadas,2006-02-01,78,78
LAS CARRERAS,chagas,viviendas rociadas,2006-02-01,139,139
MAIRANA,chagas,viviendas rociadas,2006-02-01,1,1
MIZQUE,chagas,viviendas rociadas,2006-02-01,14,14
PUNA,chagas,viviendas rociadas,2006-02-01,32,32
PUNATA,chagas,viviendas rociadas,2006-02-01,7,7
QUILLACOLLO,chagas,viviendas rociadas,2006-02-01,2,2
SAMAIPATA,chagas,viviendas rociadas,2006-02-01,5,5
SAN BENITO,chagas,viviendas rociadas,2006-02-01,6,6
SAN PEDRO DE BUENA VISTA,chagas,viviendas rociadas,2006-02-01,113,113
SANTIVAÑES,chagas,viviendas rociadas,2006-02-01,644,644
SIPE SIPE,chagas,viviendas rociadas,2006-02-01,12,12
SOPACHUY,chagas,viviendas rociadas,2006-02-01,3,3
TACACHI,chagas,viviendas rociadas,2006-02-01,3,3
TAPACARI,chagas,viviendas rociadas,2006-02-01,562,562
TARATA,chagas,viviendas rociadas,2006-02-01,3,3
TARIJA,chagas,viviendas rociadas,2006-02-01,133,133
TIQUIPAYA,chagas,viviendas rociadas,2006-02-01,6,6
TOCO,chagas,viviendas rociadas,2006-02-01,1,1
TOLATA,chagas,viviendas rociadas,2006-02-01,3,3
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2006-02-01,161,161
VILLA RIVERO,chagas,viviendas rociadas,2006-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas,viviendas rociadas,2006-02-01,272,272
VINTO,chagas,viviendas rociadas,2006-02-01,2,2
VITICHI,chagas,viviendas rociadas,2006-02-01,83,83
YACUIBA,chagas,viviendas rociadas,2006-02-01,476,476
