municipality,group,variable,month,Viviendas visitadas por agente comunitario,TOTAL
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-01-01,9,9
LICOMA PAMPA,chagas,viviendas visitadas por agente comunitario,2006-01-01,1,1
PORONGO,chagas,viviendas visitadas por agente comunitario,2006-01-01,3,3
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-01-01,14,14
SOPACHUY,chagas,viviendas visitadas por agente comunitario,2006-01-01,2,2
"CAIZA ""D""",chagas,viviendas visitadas por agente comunitario,2006-02-01,104,104
LICOMA PAMPA,chagas,viviendas visitadas por agente comunitario,2006-02-01,2,2
MACHARETI,chagas,viviendas visitadas por agente comunitario,2006-02-01,2,2
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-02-01,1,1
MIZQUE,chagas,viviendas visitadas por agente comunitario,2006-02-01,4,4
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-02-01,3,3
SAN LUCAS,chagas,viviendas visitadas por agente comunitario,2006-02-01,2,2
TACOPAYA,chagas,viviendas visitadas por agente comunitario,2006-02-01,2,2
TOCO,chagas,viviendas visitadas por agente comunitario,2006-02-01,1,1
VALLEGRANDE,chagas,viviendas visitadas por agente comunitario,2006-02-01,4,4
VINTO,chagas,viviendas visitadas por agente comunitario,2006-02-01,20,20
ANZALDO,chagas,viviendas visitadas por agente comunitario,2006-03-01,17,17
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-03-01,13,13
"CAIZA ""D""",chagas,viviendas visitadas por agente comunitario,2006-03-01,9,9
LICOMA PAMPA,chagas,viviendas visitadas por agente comunitario,2006-03-01,2,2
MACHARETI,chagas,viviendas visitadas por agente comunitario,2006-03-01,1,1
PADCAYA,chagas,viviendas visitadas por agente comunitario,2006-03-01,202,202
PORONGO,chagas,viviendas visitadas por agente comunitario,2006-03-01,2,2
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-03-01,65,65
SAN BENITO,chagas,viviendas visitadas por agente comunitario,2006-03-01,94,94
TUPIZA,chagas,viviendas visitadas por agente comunitario,2006-03-01,373,373
YUNCHARA,chagas,viviendas visitadas por agente comunitario,2006-03-01,8,8
ARQUE,chagas,viviendas visitadas por agente comunitario,2006-04-01,4,4
AZURDUY,chagas,viviendas visitadas por agente comunitario,2006-04-01,10,10
BETANZOS,chagas,viviendas visitadas por agente comunitario,2006-04-01,26,26
MAIRANA,chagas,viviendas visitadas por agente comunitario,2006-04-01,1,1
MOROCHATA,chagas,viviendas visitadas por agente comunitario,2006-04-01,162,162
PORTACHUELO,chagas,viviendas visitadas por agente comunitario,2006-04-01,17,17
PUNATA,chagas,viviendas visitadas por agente comunitario,2006-04-01,3,3
QUIRUSILLAS,chagas,viviendas visitadas por agente comunitario,2006-04-01,10,10
SACABAMBA,chagas,viviendas visitadas por agente comunitario,2006-04-01,2,2
SAN LORENZO(TJA),chagas,viviendas visitadas por agente comunitario,2006-04-01,6,6
SANTIVAÑES,chagas,viviendas visitadas por agente comunitario,2006-04-01,5,5
SIPE SIPE,chagas,viviendas visitadas por agente comunitario,2006-04-01,10,10
TARATA,chagas,viviendas visitadas por agente comunitario,2006-04-01,18,18
TOCO,chagas,viviendas visitadas por agente comunitario,2006-04-01,1,1
