,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,3,1,12,11,15,12,27
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,1,4,19,22,20,26,46
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,1,2,2,2,3,4,7
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,4,1,10,15,14,16,30
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,0,1,3,10,3,11,14
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,0,0,9,7,9,7,16
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,2,3,3,1,5,4,9
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,1,0,7,5,8,5,13
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,0,0,3,0,3,0,3
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,2,2,14,11,16,13,29
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,1,2,18,27,19,29,48
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,1,0,19,17,20,17,37
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2020-01-01,0,0,3,9,3,9,12
