,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,3,59,48,63,51,114
ARBIETO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,11,7,182,157,193,164,357
ARQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,8,7,62,73,70,80,150
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,86,67,247,193,333,260,593
ATOCHA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,18,12,72,47,90,59,149
AUCAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,4,27,38,31,42,73
AYATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,2,33,26,37,28,65
AYO AYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,0,48,58,51,58,109
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,17,15,88,88,105,103,208
AZURDUY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,5,39,36,41,41,82
BATALLAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,4,95,107,99,111,210
BAURES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,1,28,26,29,27,56
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,5,3,5,3,8
BELEN DE URMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,0,1,0,1,1
BELLA FLOR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,4,13,17,15,21,36
BERMEJO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,93,82,137,104,230,186,416
BETANZOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,20,26,137,146,157,172,329
BOLIVAR,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,8,6,25,20,33,26,59
BOLPEBRA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,1,2,7,3,8,11
BOYUIBE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,36,25,37,25,62
BUENA VISTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,14,9,114,83,128,92,220
CABEZAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,15,12,146,134,161,146,307
CAIROMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,3,38,38,42,41,83
"CAIZA ""D""",control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,5,46,42,55,47,102
CAJUATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,10,98,105,107,115,222
CALACOTO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,1,6,3,6,4,10
CALAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,3,52,58,54,61,115
CAMARGO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,16,12,58,86,74,98,172
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,1,15,6,19,7,26
CAMIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,49,34,209,215,258,249,507
CAPINOTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,37,36,207,222,244,258,502
CAQUIAVIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,1,49,40,52,41,93
CARACOLLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,10,8,89,112,99,120,219
CARANAVI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,79,70,219,237,298,307,605
CARAPARI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,9,4,92,87,101,91,192
CARIPUYO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,3,21,41,24,44,68
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,8,29,17,34,25,59
CATACORA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,3,1,7,1,10,11
CHACARILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,1,2,4,4,5,9
CHALLAPATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,35,27,214,185,249,212,461
CHAQUI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,3,29,41,32,44,76
CHARAGUA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,32,21,131,109,163,130,293
CHARAÑA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,3,3,4,4,7,11
CHAYANTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,5,56,58,63,63,126
CHIMORE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,62,78,175,177,237,255,492
CHIPAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,2,9,5,10,7,17
CHOQUE COTA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,2,1,2,1,3
CHUA COCANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,7,10,7,13,14,27
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,33,23,62,71,95,94,189
CHUMA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,2,30,32,33,34,67
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,7,9,22,41,29,50,79
CKOCHAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,1,58,48,62,49,111
CLIZA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,21,15,57,54,78,69,147
COBIJA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,36,45,352,333,388,378,766
