,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
RIBERALTA,malaria,menores de 1 ano,2020-01-01,10.0,4.0,0.0,0.0,10.0,4.0,14.0
VILLA NUEVA (LOMA ALTA),malaria,menores de 1 ano,2020-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
EL TORNO,malaria,menores de 1 ano,2020-02-01,2.0,0.0,8.0,1.0,10.0,1.0,11.0
VILLA MONTES,malaria,menores de 1 ano,2020-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2020-03-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
SENA,malaria,menores de 1 ano,2020-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,malaria,menores de 1 ano,2020-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SENA,malaria,menores de 1 ano,2020-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COBIJA,malaria,menores de 1 ano,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,malaria,menores de 1 ano,2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENA,malaria,menores de 1 ano,2020-05-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
GUAYARAMERIN,malaria,menores de 1 ano,2020-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2020-06-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
GUAYARAMERIN,malaria,menores de 1 ano,2020-07-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2020-07-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
COBIJA,malaria,menores de 1 ano,2020-08-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
PUERTO SUAREZ,malaria,menores de 1 ano,2020-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2020-08-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2020-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
IXIAMAS,malaria,menores de 1 ano,2020-11-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
RIBERALTA,malaria,menores de 1 ano,2020-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,malaria,menores de 1 ano,2020-12-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
RIBERALTA,malaria,menores de 1 ano,2020-12-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
SENA,malaria,menores de 1 ano,2020-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
