municipality,group,variable,month,Total 25.7 Viviendas Positivas,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-02-01,1,1
CAPINOTA,chagas viviendas,       viviendas positivas,2014-02-01,7,7
CARAPARI,chagas viviendas,       viviendas positivas,2014-02-01,16,16
CLIZA,chagas viviendas,       viviendas positivas,2014-02-01,2,2
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-02-01,1,1
COMARAPA,chagas viviendas,       viviendas positivas,2014-02-01,12,12
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas positivas,2014-02-01,3,3
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-02-01,2,2
EL TORNO,chagas viviendas,       viviendas positivas,2014-02-01,3,3
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-02-01,4,4
OMEREQUE,chagas viviendas,       viviendas positivas,2014-02-01,8,8
PADILLA,chagas viviendas,       viviendas positivas,2014-02-01,7,7
POCONA,chagas viviendas,       viviendas positivas,2014-02-01,1,1
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-02-01,5,5
POROMA,chagas viviendas,       viviendas positivas,2014-02-01,1,1
SACABA,chagas viviendas,       viviendas positivas,2014-02-01,6,6
SAIPINA,chagas viviendas,       viviendas positivas,2014-02-01,4,4
SAN BENITO,chagas viviendas,       viviendas positivas,2014-02-01,2,2
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-02-01,3,3
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-02-01,6,6
SUCRE,chagas viviendas,       viviendas positivas,2014-02-01,26,26
TACOPAYA,chagas viviendas,       viviendas positivas,2014-02-01,1,1
TARIJA,chagas viviendas,       viviendas positivas,2014-02-01,9,9
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-02-01,1,1
TOMAVE,chagas viviendas,       viviendas positivas,2014-02-01,1,1
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-02-01,1,1
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-02-01,1,1
VINTO,chagas viviendas,       viviendas positivas,2014-02-01,3,3
AIQUILE,chagas viviendas,       viviendas positivas,2014-03-01,11,11
ARANI,chagas viviendas,       viviendas positivas,2014-03-01,1,1
ARBIETO,chagas viviendas,       viviendas positivas,2014-03-01,18,18
ARQUE,chagas viviendas,       viviendas positivas,2014-03-01,8,8
CAMARGO,chagas viviendas,       viviendas positivas,2014-03-01,22,22
CAPINOTA,chagas viviendas,       viviendas positivas,2014-03-01,13,13
CARAPARI,chagas viviendas,       viviendas positivas,2014-03-01,94,94
CLIZA,chagas viviendas,       viviendas positivas,2014-03-01,5,5
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-03-01,9,9
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-03-01,2,2
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-03-01,8,8
COMARAPA,chagas viviendas,       viviendas positivas,2014-03-01,12,12
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-03-01,1,1
EL TORNO,chagas viviendas,       viviendas positivas,2014-03-01,1,1
ENTRE RIOS TRJ,chagas viviendas,       viviendas positivas,2014-03-01,20,20
