municipality,group,variable,month,Total 25.7 Viviendas Positivas,TOTAL
TORO TORO,chagas viviendas,       viviendas positivas,2014-08-01,8,8
TRIGAL,chagas viviendas,       viviendas positivas,2014-08-01,2,2
TUPIZA,chagas viviendas,       viviendas positivas,2014-08-01,8,8
VILLA CHARCAS,chagas viviendas,       viviendas positivas,2014-08-01,4,4
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-08-01,7,7
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-08-01,1,1
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-08-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-08-01,25,25
VITICHI,chagas viviendas,       viviendas positivas,2014-08-01,1,1
YOTALA,chagas viviendas,       viviendas positivas,2014-08-01,15,15
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-08-01,10,10
ANZALDO,chagas viviendas,       viviendas positivas,2014-09-01,4,4
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-09-01,2,2
ARANI,chagas viviendas,       viviendas positivas,2014-09-01,2,2
ARBIETO,chagas viviendas,       viviendas positivas,2014-09-01,9,9
ARQUE,chagas viviendas,       viviendas positivas,2014-09-01,6,6
CABEZAS,chagas viviendas,       viviendas positivas,2014-09-01,29,29
"CAIZA ""D""",chagas viviendas,       viviendas positivas,2014-09-01,1,1
CAPINOTA,chagas viviendas,       viviendas positivas,2014-09-01,32,32
CLIZA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-09-01,39,39
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-09-01,6,6
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
COMARAPA,chagas viviendas,       viviendas positivas,2014-09-01,5,5
COTAGAITA,chagas viviendas,       viviendas positivas,2014-09-01,20,20
CUATRO CAÑADAS,chagas viviendas,       viviendas positivas,2014-09-01,11,11
CULPINA,chagas viviendas,       viviendas positivas,2014-09-01,7,7
EL TORNO,chagas viviendas,       viviendas positivas,2014-09-01,4,4
EL VILLAR,chagas viviendas,       viviendas positivas,2014-09-01,15,15
HUACARETA,chagas viviendas,       viviendas positivas,2014-09-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-09-01,3,3
LURIBAY,chagas viviendas,       viviendas positivas,2014-09-01,25,25
MIZQUE,chagas viviendas,       viviendas positivas,2014-09-01,30,30
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-09-01,7,7
MONTEAGUDO,chagas viviendas,       viviendas positivas,2014-09-01,23,23
OMEREQUE,chagas viviendas,       viviendas positivas,2014-09-01,4,4
PADCAYA,chagas viviendas,       viviendas positivas,2014-09-01,2,2
PADILLA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
PAILON,chagas viviendas,       viviendas positivas,2014-09-01,3,3
POCOATA,chagas viviendas,       viviendas positivas,2014-09-01,1,1
POCONA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-09-01,1,1
POROMA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
PRESTO,chagas viviendas,       viviendas positivas,2014-09-01,12,12
PUNATA,chagas viviendas,       viviendas positivas,2014-09-01,3,3
QUILLACOLLO,chagas viviendas,       viviendas positivas,2014-09-01,19,19
RAVELO,chagas viviendas,       viviendas positivas,2014-09-01,4,4
SACABA,chagas viviendas,       viviendas positivas,2014-09-01,7,7
SAIPINA,chagas viviendas,       viviendas positivas,2014-09-01,1,1
SAN BENITO,chagas viviendas,       viviendas positivas,2014-09-01,8,8
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-09-01,3,3
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-09-01,28,28
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-09-01,13,13
SICAYA,chagas viviendas,       viviendas positivas,2014-09-01,6,6
SUCRE,chagas viviendas,       viviendas positivas,2014-09-01,58,58
TACOBAMBA,chagas viviendas,       viviendas positivas,2014-09-01,2,2
TAPACARI,chagas viviendas,       viviendas positivas,2014-09-01,4,4
TARABUCO,chagas viviendas,       viviendas positivas,2014-09-01,40,40
TARATA,chagas viviendas,       viviendas positivas,2014-09-01,2,2
TARIJA,chagas viviendas,       viviendas positivas,2014-09-01,138,138
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-09-01,2,2
TOMAVE,chagas viviendas,       viviendas positivas,2014-09-01,1,1
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-09-01,163,163
TUPIZA,chagas viviendas,       viviendas positivas,2014-09-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-09-01,2,2
VILLA CHARCAS,chagas viviendas,       viviendas positivas,2014-09-01,8,8
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-09-01,31,31
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-09-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-09-01,33,33
VILLAZON,chagas viviendas,       viviendas positivas,2014-09-01,2,2
VITICHI,chagas viviendas,       viviendas positivas,2014-09-01,10,10
YAMPARAEZ,chagas viviendas,       viviendas positivas,2014-09-01,26,26
YOTALA,chagas viviendas,       viviendas positivas,2014-09-01,4,4
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-09-01,6,6
ACACIO,chagas viviendas,       viviendas positivas,2014-10-01,1,1
AIQUILE,chagas viviendas,       viviendas positivas,2014-10-01,5,5
ANZALDO,chagas viviendas,       viviendas positivas,2014-10-01,12,12
ARANI,chagas viviendas,       viviendas positivas,2014-10-01,1,1
ARBIETO,chagas viviendas,       viviendas positivas,2014-10-01,10,10
ARQUE,chagas viviendas,       viviendas positivas,2014-10-01,2,2
AZURDUY,chagas viviendas,       viviendas positivas,2014-10-01,6,6
CAPINOTA,chagas viviendas,       viviendas positivas,2014-10-01,7,7
CLIZA,chagas viviendas,       viviendas positivas,2014-10-01,6,6
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-10-01,35,35
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-10-01,2,2
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-10-01,1,1
COMARAPA,chagas viviendas,       viviendas positivas,2014-10-01,3,3
CUATRO CAÑADAS,chagas viviendas,       viviendas positivas,2014-10-01,15,15
EL PUENTE(TJA),chagas viviendas,       viviendas positivas,2014-10-01,2,2
GUTIERREZ,chagas viviendas,       viviendas positivas,2014-10-01,2,2
HUACARETA,chagas viviendas,       viviendas positivas,2014-10-01,14,14
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-10-01,15,15
ICLA,chagas viviendas,       viviendas positivas,2014-10-01,2,2
LURIBAY,chagas viviendas,       viviendas positivas,2014-10-01,4,4
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-10-01,17,17
OMEREQUE,chagas viviendas,       viviendas positivas,2014-10-01,24,24
PADILLA,chagas viviendas,       viviendas positivas,2014-10-01,2,2
PAMPA GRANDE,chagas viviendas,       viviendas positivas,2014-10-01,1,1
POCOATA,chagas viviendas,       viviendas positivas,2014-10-01,4,4
POCONA,chagas viviendas,       viviendas positivas,2014-10-01,1,1
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-10-01,17,17
POROMA,chagas viviendas,       viviendas positivas,2014-10-01,4,4
PORONGO,chagas viviendas,       viviendas positivas,2014-10-01,7,7
PUNATA,chagas viviendas,       viviendas positivas,2014-10-01,7,7
RAVELO,chagas viviendas,       viviendas positivas,2014-10-01,6,6
SACABA,chagas viviendas,       viviendas positivas,2014-10-01,1,1
SAIPINA,chagas viviendas,       viviendas positivas,2014-10-01,3,3
SAN BENITO,chagas viviendas,       viviendas positivas,2014-10-01,7,7
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-10-01,3,3
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-10-01,2,2
SUCRE,chagas viviendas,       viviendas positivas,2014-10-01,29,29
TACACHI,chagas viviendas,       viviendas positivas,2014-10-01,2,2
TACOBAMBA,chagas viviendas,       viviendas positivas,2014-10-01,14,14
TAPACARI,chagas viviendas,       viviendas positivas,2014-10-01,1,1
TARABUCO,chagas viviendas,       viviendas positivas,2014-10-01,5,5
TARATA,chagas viviendas,       viviendas positivas,2014-10-01,2,2
TARVITA,chagas viviendas,       viviendas positivas,2014-10-01,1,1
TORO TORO,chagas viviendas,       viviendas positivas,2014-10-01,5,5
TOTORA(CBBA),chagas viviendas,       viviendas positivas,2014-10-01,2,2
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-10-01,3,3
VALLEGRANDE,chagas viviendas,       viviendas positivas,2014-10-01,6,6
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-10-01,2,2
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-10-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-10-01,3,3
VILLAZON,chagas viviendas,       viviendas positivas,2014-10-01,3,3
YACUIBA,chagas viviendas,       viviendas positivas,2014-10-01,42,42
YAMPARAEZ,chagas viviendas,       viviendas positivas,2014-10-01,14,14
YOTALA,chagas viviendas,       viviendas positivas,2014-10-01,4,4
YUNCHARA,chagas viviendas,       viviendas positivas,2014-10-01,1,1
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-10-01,10,10
AIQUILE,chagas viviendas,       viviendas positivas,2014-11-01,16,16
ANZALDO,chagas viviendas,       viviendas positivas,2014-11-01,2,2
ARANI,chagas viviendas,       viviendas positivas,2014-11-01,3,3
ARBIETO,chagas viviendas,       viviendas positivas,2014-11-01,14,14
ARQUE,chagas viviendas,       viviendas positivas,2014-11-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas positivas,2014-11-01,6,6
CAPINOTA,chagas viviendas,       viviendas positivas,2014-11-01,19,19
CARAPARI,chagas viviendas,       viviendas positivas,2014-11-01,15,15
CHIMORE,chagas viviendas,       viviendas positivas,2014-11-01,70,70
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas positivas,2014-11-01,4,4
CLIZA,chagas viviendas,       viviendas positivas,2014-11-01,2,2
COCHABAMBA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
COLCAPIRHUA,chagas viviendas,       viviendas positivas,2014-11-01,2,2
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-11-01,6,6
COTAGAITA,chagas viviendas,       viviendas positivas,2014-11-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas positivas,2014-11-01,3,3
CULPINA,chagas viviendas,       viviendas positivas,2014-11-01,23,23
EL TORNO,chagas viviendas,       viviendas positivas,2014-11-01,2,2
HUACARETA,chagas viviendas,       viviendas positivas,2014-11-01,523,523
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-11-01,10,10
LURIBAY,chagas viviendas,       viviendas positivas,2014-11-01,1,1
MACHARETI,chagas viviendas,       viviendas positivas,2014-11-01,33,33
MAIRANA,chagas viviendas,       viviendas positivas,2014-11-01,7,7
MIZQUE,chagas viviendas,       viviendas positivas,2014-11-01,34,34
MOJOCOYA,chagas viviendas,       viviendas positivas,2014-11-01,4,4
OCURI,chagas viviendas,       viviendas positivas,2014-11-01,2,2
OMEREQUE,chagas viviendas,       viviendas positivas,2014-11-01,9,9
PADILLA,chagas viviendas,       viviendas positivas,2014-11-01,7,7
PAILON,chagas viviendas,       viviendas positivas,2014-11-01,1,1
PASORAPA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
POCOATA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
POCONA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
POJO (CBBA),chagas viviendas,       viviendas positivas,2014-11-01,7,7
POROMA,chagas viviendas,       viviendas positivas,2014-11-01,4,4
PRESTO,chagas viviendas,       viviendas positivas,2014-11-01,8,8
PUNATA,chagas viviendas,       viviendas positivas,2014-11-01,11,11
QUILLACOLLO,chagas viviendas,       viviendas positivas,2014-11-01,13,13
SACABA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
SAIPINA,chagas viviendas,       viviendas positivas,2014-11-01,8,8
SAN BENITO,chagas viviendas,       viviendas positivas,2014-11-01,8,8
SAN LORENZO(TJA),chagas viviendas,       viviendas positivas,2014-11-01,2,2
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-11-01,16,16
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-11-01,6,6
SICAYA,chagas viviendas,       viviendas positivas,2014-11-01,3,3
SIPE SIPE,chagas viviendas,       viviendas positivas,2014-11-01,2,2
SUCRE,chagas viviendas,       viviendas positivas,2014-11-01,108,108
TAPACARI,chagas viviendas,       viviendas positivas,2014-11-01,4,4
TARABUCO,chagas viviendas,       viviendas positivas,2014-11-01,14,14
TARATA,chagas viviendas,       viviendas positivas,2014-11-01,3,3
TARIJA,chagas viviendas,       viviendas positivas,2014-11-01,2,2
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-11-01,5,5
TOLATA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
TOMINA,chagas viviendas,       viviendas positivas,2014-11-01,5,5
TORO TORO,chagas viviendas,       viviendas positivas,2014-11-01,10,10
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-11-01,1,1
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-11-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas positivas,2014-11-01,88,88
YACUIBA,chagas viviendas,       viviendas positivas,2014-11-01,100,100
YAMPARAEZ,chagas viviendas,       viviendas positivas,2014-11-01,33,33
YOTALA,chagas viviendas,       viviendas positivas,2014-11-01,11,11
YUNCHARA,chagas viviendas,       viviendas positivas,2014-11-01,1,1
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-11-01,10,10
AIQUILE,chagas viviendas,       viviendas positivas,2014-12-01,31,31
ANZALDO,chagas viviendas,       viviendas positivas,2014-12-01,3,3
ARAMPAMPA,chagas viviendas,       viviendas positivas,2014-12-01,1,1
ARANI,chagas viviendas,       viviendas positivas,2014-12-01,1,1
ARBIETO,chagas viviendas,       viviendas positivas,2014-12-01,8,8
BETANZOS,chagas viviendas,       viviendas positivas,2014-12-01,8,8
CAPINOTA,chagas viviendas,       viviendas positivas,2014-12-01,5,5
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas positivas,2014-12-01,6,6
CLIZA,chagas viviendas,       viviendas positivas,2014-12-01,1,1
COLQUECHACA,chagas viviendas,       viviendas positivas,2014-12-01,3,3
EL TORNO,chagas viviendas,       viviendas positivas,2014-12-01,5,5
GUTIERREZ,chagas viviendas,       viviendas positivas,2014-12-01,1,1
HUACARETA,chagas viviendas,       viviendas positivas,2014-12-01,29,29
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas positivas,2014-12-01,37,37
MIZQUE,chagas viviendas,       viviendas positivas,2014-12-01,6,6
MORO MORO,chagas viviendas,       viviendas positivas,2014-12-01,8,8
PASORAPA,chagas viviendas,       viviendas positivas,2014-12-01,11,11
PUNATA,chagas viviendas,       viviendas positivas,2014-12-01,6,6
RAVELO,chagas viviendas,       viviendas positivas,2014-12-01,2,2
SACABA,chagas viviendas,       viviendas positivas,2014-12-01,1,1
SAIPINA,chagas viviendas,       viviendas positivas,2014-12-01,13,13
SAN BENITO,chagas viviendas,       viviendas positivas,2014-12-01,2,2
SAN LUCAS,chagas viviendas,       viviendas positivas,2014-12-01,7,7
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas positivas,2014-12-01,19,19
SANTIVAÑES,chagas viviendas,       viviendas positivas,2014-12-01,2,2
SUCRE,chagas viviendas,       viviendas positivas,2014-12-01,76,76
TARATA,chagas viviendas,       viviendas positivas,2014-12-01,1,1
TEOPONTE,chagas viviendas,       viviendas positivas,2014-12-01,5,5
TIQUIPAYA,chagas viviendas,       viviendas positivas,2014-12-01,1,1
TOMAVE,chagas viviendas,       viviendas positivas,2014-12-01,4,4
TORO TORO,chagas viviendas,       viviendas positivas,2014-12-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas positivas,2014-12-01,1,1
VILLA MONTES,chagas viviendas,       viviendas positivas,2014-12-01,12,12
VILLA RIVERO,chagas viviendas,       viviendas positivas,2014-12-01,2,2
VILLA SERRANO,chagas viviendas,       viviendas positivas,2014-12-01,6,6
YACUIBA,chagas viviendas,       viviendas positivas,2014-12-01,54,54
YAMPARAEZ,chagas viviendas,       viviendas positivas,2014-12-01,22,22
YOTALA,chagas viviendas,       viviendas positivas,2014-12-01,7,7
ZUDAÑEZ,chagas viviendas,       viviendas positivas,2014-12-01,3,3
