municipality,group,variable,month,Total 25.6 Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,       viviendas evaluadas,2014-01-01,79,79
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-01-01,18,18
ARANI,chagas viviendas,       viviendas evaluadas,2014-01-01,270,270
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-01-01,244,244
ARQUE,chagas viviendas,       viviendas evaluadas,2014-01-01,44,44
CARAPARI,chagas viviendas,       viviendas evaluadas,2014-01-01,12,12
CLIZA,chagas viviendas,       viviendas evaluadas,2014-01-01,372,372
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-01-01,6,6
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-01-01,130,130
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-01-01,106,106
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-01-01,284,284
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-01-01,1182,1182
CUATRO CAÑADAS,chagas viviendas,       viviendas evaluadas,2014-01-01,210,210
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-01-01,42,42
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-01-01,2,2
ICLA,chagas viviendas,       viviendas evaluadas,2014-01-01,3,3
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-01-01,142,142
MONTERO,chagas viviendas,       viviendas evaluadas,2014-01-01,1,1
PADILLA,chagas viviendas,       viviendas evaluadas,2014-01-01,128,128
POCONA,chagas viviendas,       viviendas evaluadas,2014-01-01,194,194
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-01-01,180,180
PUCARA,chagas viviendas,       viviendas evaluadas,2014-01-01,26,26
PUNATA,chagas viviendas,       viviendas evaluadas,2014-01-01,162,162
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-01-01,72,72
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-01-01,139,139
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-01-01,82,82
SANTA CRUZ DE LA SIERRA,chagas viviendas,       viviendas evaluadas,2014-01-01,0,0
SICAYA,chagas viviendas,       viviendas evaluadas,2014-01-01,122,122
SIPE SIPE,chagas viviendas,       viviendas evaluadas,2014-01-01,284,284
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-01-01,277,277
SUCRE,chagas viviendas,       viviendas evaluadas,2014-01-01,339,339
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-01-01,95,95
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-01-01,152,152
TARIJA,chagas viviendas,       viviendas evaluadas,2014-01-01,6,6
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-01-01,300,300
TOCO,chagas viviendas,       viviendas evaluadas,2014-01-01,108,108
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-01-01,225,225
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-01-01,150,150
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-01-01,203,203
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-01-01,71,71
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-01-01,2,2
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-01-01,144,144
VINTO,chagas viviendas,       viviendas evaluadas,2014-01-01,184,184
VITICHI,chagas viviendas,       viviendas evaluadas,2014-01-01,364,364
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-01-01,152,152
ACACIO,chagas viviendas,       viviendas evaluadas,2014-02-01,342,342
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-02-01,133,133
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-02-01,110,110
ARANI,chagas viviendas,       viviendas evaluadas,2014-02-01,245,245
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-02-01,212,212
ARQUE,chagas viviendas,       viviendas evaluadas,2014-02-01,25,25
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-02-01,187,187
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-02-01,183,183
CARAPARI,chagas viviendas,       viviendas evaluadas,2014-02-01,240,240
CLIZA,chagas viviendas,       viviendas evaluadas,2014-02-01,365,365
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-02-01,81,81
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-02-01,348,348
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas evaluadas,2014-02-01,7,7
EL PUENTE(TJA),chagas viviendas,       viviendas evaluadas,2014-02-01,159,159
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-02-01,33,33
ICLA,chagas viviendas,       viviendas evaluadas,2014-02-01,69,69
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-02-01,212,212
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-02-01,96,96
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-02-01,129,129
PADILLA,chagas viviendas,       viviendas evaluadas,2014-02-01,378,378
POCONA,chagas viviendas,       viviendas evaluadas,2014-02-01,167,167
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-02-01,202,202
POROMA,chagas viviendas,       viviendas evaluadas,2014-02-01,197,197
PUNATA,chagas viviendas,       viviendas evaluadas,2014-02-01,29,29
SACABA,chagas viviendas,       viviendas evaluadas,2014-02-01,67,67
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-02-01,45,45
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-02-01,105,105
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-02-01,162,162
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-02-01,80,80
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-02-01,148,148
SOPACHUY,chagas viviendas,       viviendas evaluadas,2014-02-01,389,389
SUCRE,chagas viviendas,       viviendas evaluadas,2014-02-01,540,540
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-02-01,189,189
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-02-01,179,179
TARATA,chagas viviendas,       viviendas evaluadas,2014-02-01,180,180
TARIJA,chagas viviendas,       viviendas evaluadas,2014-02-01,270,270
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-02-01,234,234
TOCO,chagas viviendas,       viviendas evaluadas,2014-02-01,47,47
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-02-01,181,181
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-02-01,162,162
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-02-01,305,305
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-02-01,244,244
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-02-01,130,130
VINTO,chagas viviendas,       viviendas evaluadas,2014-02-01,164,164
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-02-01,25,25
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-02-01,104,104
ACACIO,chagas viviendas,       viviendas evaluadas,2014-03-01,96,96
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-03-01,357,357
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-03-01,100,100
ARANI,chagas viviendas,       viviendas evaluadas,2014-03-01,187,187
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-03-01,98,98
ARQUE,chagas viviendas,       viviendas evaluadas,2014-03-01,81,81
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-03-01,293,293
CAMARGO,chagas viviendas,       viviendas evaluadas,2014-03-01,655,655
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-03-01,104,104
CARAPARI,chagas viviendas,       viviendas evaluadas,2014-03-01,394,394
CLIZA,chagas viviendas,       viviendas evaluadas,2014-03-01,345,345
