municipality,group,variable,month,Total 25.8 Viviendas Roceadas,TOTAL
ANZALDO,chagas viviendas,       viviendas roceadas,2014-01-01,3,3
ARANI,chagas viviendas,       viviendas roceadas,2014-01-01,3,3
ARBIETO,chagas viviendas,       viviendas roceadas,2014-01-01,18,18
ARQUE,chagas viviendas,       viviendas roceadas,2014-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas roceadas,2014-01-01,1,1
CAMIRI,chagas viviendas,       viviendas roceadas,2014-01-01,10,10
CARAPARI,chagas viviendas,       viviendas roceadas,2014-01-01,26,26
CLIZA,chagas viviendas,       viviendas roceadas,2014-01-01,2,2
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-01-01,6,6
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-01-01,9,9
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-01-01,12,12
COMARAPA,chagas viviendas,       viviendas roceadas,2014-01-01,414,414
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-01-01,11,11
CUATRO CAÑADAS,chagas viviendas,       viviendas roceadas,2014-01-01,210,210
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-01-01,10,10
EL TORNO,chagas viviendas,       viviendas roceadas,2014-01-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas roceadas,2014-01-01,22,22
ICLA,chagas viviendas,       viviendas roceadas,2014-01-01,5,5
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-01-01,1,1
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
PADCAYA,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
PADILLA,chagas viviendas,       viviendas roceadas,2014-01-01,1,1
POCONA,chagas viviendas,       viviendas roceadas,2014-01-01,2,2
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-01-01,1,1
PUNATA,chagas viviendas,       viviendas roceadas,2014-01-01,13,13
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
SANTA CRUZ DE LA SIERRA,chagas viviendas,       viviendas roceadas,2014-01-01,0,0
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-01-01,2,2
SICAYA,chagas viviendas,       viviendas roceadas,2014-01-01,2,2
