municipality,group,variable,month,Total 25.8 Viviendas Roceadas,TOTAL
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-01-01,17,17
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-01-01,7,7
SUCRE,chagas viviendas,       viviendas roceadas,2014-01-01,329,329
TAPACARI,chagas viviendas,       viviendas roceadas,2014-01-01,7,7
TARIJA,chagas viviendas,       viviendas roceadas,2014-01-01,88,88
TOMAVE,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-01-01,22,22
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-01-01,11,11
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
VINTO,chagas viviendas,       viviendas roceadas,2014-01-01,5,5
YACUIBA,chagas viviendas,       viviendas roceadas,2014-01-01,4,4
ARANI,chagas viviendas,       viviendas roceadas,2014-02-01,3,3
ARBIETO,chagas viviendas,       viviendas roceadas,2014-02-01,17,17
ARQUE,chagas viviendas,       viviendas roceadas,2014-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-02-01,1,1
CAMIRI,chagas viviendas,       viviendas roceadas,2014-02-01,25,25
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-02-01,5,5
CARAPARI,chagas viviendas,       viviendas roceadas,2014-02-01,2,2
CLIZA,chagas viviendas,       viviendas roceadas,2014-02-01,2,2
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-02-01,3,3
COMARAPA,chagas viviendas,       viviendas roceadas,2014-02-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas roceadas,2014-02-01,3,3
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-02-01,8,8
EL TORNO,chagas viviendas,       viviendas roceadas,2014-02-01,16,16
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas roceadas,2014-02-01,2,2
ICLA,chagas viviendas,       viviendas roceadas,2014-02-01,2,2
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-02-01,8,8
PADCAYA,chagas viviendas,       viviendas roceadas,2014-02-01,18,18
POCONA,chagas viviendas,       viviendas roceadas,2014-02-01,2,2
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-02-01,8,8
PUNATA,chagas viviendas,       viviendas roceadas,2014-02-01,22,22
SAIPINA,chagas viviendas,       viviendas roceadas,2014-02-01,10,10
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-02-01,4,4
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-02-01,3,3
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-02-01,8,8
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-02-01,25,25
TACOPAYA,chagas viviendas,       viviendas roceadas,2014-02-01,1,1
TAPACARI,chagas viviendas,       viviendas roceadas,2014-02-01,3,3
TARIJA,chagas viviendas,       viviendas roceadas,2014-02-01,100,100
TIQUIPAYA,chagas viviendas,       viviendas roceadas,2014-02-01,5,5
TOCO,chagas viviendas,       viviendas roceadas,2014-02-01,4,4
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-02-01,2,2
TRIGAL,chagas viviendas,       viviendas roceadas,2014-02-01,50,50
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-02-01,11,11
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-02-01,23,23
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-02-01,10,10
VINTO,chagas viviendas,       viviendas roceadas,2014-02-01,28,28
YACUIBA,chagas viviendas,       viviendas roceadas,2014-02-01,12,12
AIQUILE,chagas viviendas,       viviendas roceadas,2014-03-01,2,2
ANZALDO,chagas viviendas,       viviendas roceadas,2014-03-01,9,9
ARANI,chagas viviendas,       viviendas roceadas,2014-03-01,7,7
ARBIETO,chagas viviendas,       viviendas roceadas,2014-03-01,18,18
ARQUE,chagas viviendas,       viviendas roceadas,2014-03-01,30,30
CAMARGO,chagas viviendas,       viviendas roceadas,2014-03-01,29,29
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-03-01,20,20
CLIZA,chagas viviendas,       viviendas roceadas,2014-03-01,5,5
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-03-01,9,9
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-03-01,7,7
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-03-01,16,16
COMARAPA,chagas viviendas,       viviendas roceadas,2014-03-01,5,5
CULPINA,chagas viviendas,       viviendas roceadas,2014-03-01,48,48
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-03-01,2,2
EL TORNO,chagas viviendas,       viviendas roceadas,2014-03-01,30,30
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas roceadas,2014-03-01,10,10
ICLA,chagas viviendas,       viviendas roceadas,2014-03-01,3,3
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-03-01,7,7
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-03-01,17,17
POCOATA,chagas viviendas,       viviendas roceadas,2014-03-01,112,112
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-03-01,14,14
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-03-01,13,13
PUNATA,chagas viviendas,       viviendas roceadas,2014-03-01,19,19
SACABA,chagas viviendas,       viviendas roceadas,2014-03-01,44,44
SAIPINA,chagas viviendas,       viviendas roceadas,2014-03-01,23,23
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-03-01,9,9
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-03-01,4,4
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-03-01,6,6
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-03-01,7,7
SANTA CRUZ DE LA SIERRA,chagas viviendas,       viviendas roceadas,2014-03-01,2,2
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-03-01,4,4
SICAYA,chagas viviendas,       viviendas roceadas,2014-03-01,16,16
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-03-01,16,16
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-03-01,4,4
TACOPAYA,chagas viviendas,       viviendas roceadas,2014-03-01,1,1
TAPACARI,chagas viviendas,       viviendas roceadas,2014-03-01,5,5
TARIJA,chagas viviendas,       viviendas roceadas,2014-03-01,19,19
TOMAVE,chagas viviendas,       viviendas roceadas,2014-03-01,3,3
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-03-01,2,2
TRIGAL,chagas viviendas,       viviendas roceadas,2014-03-01,136,136
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-03-01,14,14
VALLEGRANDE,chagas viviendas,       viviendas roceadas,2014-03-01,32,32
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-03-01,4,4
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-03-01,2,2
VINTO,chagas viviendas,       viviendas roceadas,2014-03-01,14,14
YACUIBA,chagas viviendas,       viviendas roceadas,2014-03-01,4,4
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-03-01,5,5
AIQUILE,chagas viviendas,       viviendas roceadas,2014-04-01,35,35
ALCALA,chagas viviendas,       viviendas roceadas,2014-04-01,8,8
ANZALDO,chagas viviendas,       viviendas roceadas,2014-04-01,6,6
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-04-01,9,9
ARANI,chagas viviendas,       viviendas roceadas,2014-04-01,9,9
ARBIETO,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
ARQUE,chagas viviendas,       viviendas roceadas,2014-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-04-01,1,1
CAMARGO,chagas viviendas,       viviendas roceadas,2014-04-01,265,265
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,       viviendas roceadas,2014-04-01,8,8
CAMIRI,chagas viviendas,       viviendas roceadas,2014-04-01,8,8
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-04-01,22,22
CARAPARI,chagas viviendas,       viviendas roceadas,2014-04-01,42,42
CHAQUI,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
CLIZA,chagas viviendas,       viviendas roceadas,2014-04-01,3,3
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-04-01,18,18
"COLCHA ""K""",chagas viviendas,       viviendas roceadas,2014-04-01,1,1
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-04-01,22,22
COMARAPA,chagas viviendas,       viviendas roceadas,2014-04-01,167,167
CUATRO CAÑADAS,chagas viviendas,       viviendas roceadas,2014-04-01,1,1
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-04-01,8,8
EL TORNO,chagas viviendas,       viviendas roceadas,2014-04-01,37,37
ICLA,chagas viviendas,       viviendas roceadas,2014-04-01,32,32
MECAPACA,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
MIZQUE,chagas viviendas,       viviendas roceadas,2014-04-01,10,10
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-04-01,10,10
OCURI,chagas viviendas,       viviendas roceadas,2014-04-01,124,124
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-04-01,5,5
PADCAYA,chagas viviendas,       viviendas roceadas,2014-04-01,3,3
PALCA,chagas viviendas,       viviendas roceadas,2014-04-01,1,1
POCONA,chagas viviendas,       viviendas roceadas,2014-04-01,8,8
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-04-01,7,7
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
PUNATA,chagas viviendas,       viviendas roceadas,2014-04-01,12,12
RAVELO,chagas viviendas,       viviendas roceadas,2014-04-01,60,60
SACABA,chagas viviendas,       viviendas roceadas,2014-04-01,14,14
SAIPINA,chagas viviendas,       viviendas roceadas,2014-04-01,14,14
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-04-01,15,15
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-04-01,4,4
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-04-01,10,10
SICAYA,chagas viviendas,       viviendas roceadas,2014-04-01,8,8
SIPE SIPE,chagas viviendas,       viviendas roceadas,2014-04-01,27,27
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-04-01,8,8
SUCRE,chagas viviendas,       viviendas roceadas,2014-04-01,149,149
TAPACARI,chagas viviendas,       viviendas roceadas,2014-04-01,7,7
TARABUCO,chagas viviendas,       viviendas roceadas,2014-04-01,1,1
TARATA,chagas viviendas,       viviendas roceadas,2014-04-01,6,6
TARIJA,chagas viviendas,       viviendas roceadas,2014-04-01,175,175
TOMAVE,chagas viviendas,       viviendas roceadas,2014-04-01,23,23
TOMINA,chagas viviendas,       viviendas roceadas,2014-04-01,30,30
TORO TORO,chagas viviendas,       viviendas roceadas,2014-04-01,29,29
TOTORA(CBBA),chagas viviendas,       viviendas roceadas,2014-04-01,1,1
TRIGAL,chagas viviendas,       viviendas roceadas,2014-04-01,203,203
TUPIZA,chagas viviendas,       viviendas roceadas,2014-04-01,3,3
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-04-01,5,5
VALLEGRANDE,chagas viviendas,       viviendas roceadas,2014-04-01,38,38
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-04-01,10,10
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-04-01,4,4
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-04-01,7,7
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-04-01,78,78
VITICHI,chagas viviendas,       viviendas roceadas,2014-04-01,15,15
YACUIBA,chagas viviendas,       viviendas roceadas,2014-04-01,6,6
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-04-01,14,14
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-04-01,2,2
ACACIO,chagas viviendas,       viviendas roceadas,2014-05-01,14,14
AIQUILE,chagas viviendas,       viviendas roceadas,2014-05-01,7,7
ALCALA,chagas viviendas,       viviendas roceadas,2014-05-01,5,5
ANZALDO,chagas viviendas,       viviendas roceadas,2014-05-01,10,10
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-05-01,8,8
ARANI,chagas viviendas,       viviendas roceadas,2014-05-01,1,1
ARBIETO,chagas viviendas,       viviendas roceadas,2014-05-01,8,8
ARQUE,chagas viviendas,       viviendas roceadas,2014-05-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-05-01,1,1
BAURES,chagas viviendas,       viviendas roceadas,2014-05-01,8,8
CAMIRI,chagas viviendas,       viviendas roceadas,2014-05-01,93,93
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-05-01,21,21
CARAPARI,chagas viviendas,       viviendas roceadas,2014-05-01,128,128
CLIZA,chagas viviendas,       viviendas roceadas,2014-05-01,1,1
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-05-01,6,6
COLQUECHACA,chagas viviendas,       viviendas roceadas,2014-05-01,7,7
COMARAPA,chagas viviendas,       viviendas roceadas,2014-05-01,412,412
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-05-01,1,1
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-05-01,16,16
EL TORNO,chagas viviendas,       viviendas roceadas,2014-05-01,20,20
EL VILLAR,chagas viviendas,       viviendas roceadas,2014-05-01,44,44
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-05-01,11,11
HUACARETA,chagas viviendas,       viviendas roceadas,2014-05-01,149,149
ICLA,chagas viviendas,       viviendas roceadas,2014-05-01,8,8
INQUISIVI,chagas viviendas,       viviendas roceadas,2014-05-01,30,30
JESUS DE MACHACA,chagas viviendas,       viviendas roceadas,2014-05-01,11,11
MIZQUE,chagas viviendas,       viviendas roceadas,2014-05-01,10,10
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-05-01,48,48
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-05-01,9,9
PADCAYA,chagas viviendas,       viviendas roceadas,2014-05-01,4,4
PADILLA,chagas viviendas,       viviendas roceadas,2014-05-01,10,10
PALCA,chagas viviendas,       viviendas roceadas,2014-05-01,33,33
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-05-01,9,9
POROMA,chagas viviendas,       viviendas roceadas,2014-05-01,6,6
PRESTO,chagas viviendas,       viviendas roceadas,2014-05-01,96,96
PUNA,chagas viviendas,       viviendas roceadas,2014-05-01,10,10
PUNATA,chagas viviendas,       viviendas roceadas,2014-05-01,18,18
RAVELO,chagas viviendas,       viviendas roceadas,2014-05-01,30,30
SACABA,chagas viviendas,       viviendas roceadas,2014-05-01,11,11
SAIPINA,chagas viviendas,       viviendas roceadas,2014-05-01,14,14
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-05-01,10,10
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-05-01,4,4
SAN LORENZO(TJA),chagas viviendas,       viviendas roceadas,2014-05-01,5,5
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-05-01,27,27
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-05-01,14,14
SAPAHAQUI,chagas viviendas,       viviendas roceadas,2014-05-01,313,313
SICAYA,chagas viviendas,       viviendas roceadas,2014-05-01,5,5
SUCRE,chagas viviendas,       viviendas roceadas,2014-05-01,18,18
TAPACARI,chagas viviendas,       viviendas roceadas,2014-05-01,8,8
TARIJA,chagas viviendas,       viviendas roceadas,2014-05-01,96,96
TARVITA,chagas viviendas,       viviendas roceadas,2014-05-01,3,3
TOMAVE,chagas viviendas,       viviendas roceadas,2014-05-01,5,5
TOMINA,chagas viviendas,       viviendas roceadas,2014-05-01,104,104
TORO TORO,chagas viviendas,       viviendas roceadas,2014-05-01,38,38
TRIGAL,chagas viviendas,       viviendas roceadas,2014-05-01,85,85
TUPIZA,chagas viviendas,       viviendas roceadas,2014-05-01,6,6
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-05-01,8,8
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-05-01,17,17
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-05-01,38,38
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-05-01,4,4
VINTO,chagas viviendas,       viviendas roceadas,2014-05-01,6,6
VITICHI,chagas viviendas,       viviendas roceadas,2014-05-01,27,27
YOTALA,chagas viviendas,       viviendas roceadas,2014-05-01,12,12
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-05-01,3,3
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-05-01,7,7
ACACIO,chagas viviendas,       viviendas roceadas,2014-06-01,9,9
ANZALDO,chagas viviendas,       viviendas roceadas,2014-06-01,11,11
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
ARANI,chagas viviendas,       viviendas roceadas,2014-06-01,9,9
ARBIETO,chagas viviendas,       viviendas roceadas,2014-06-01,11,11
ARQUE,chagas viviendas,       viviendas roceadas,2014-06-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-06-01,2,2
CAMARGO,chagas viviendas,       viviendas roceadas,2014-06-01,29,29
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-06-01,13,13
CARAPARI,chagas viviendas,       viviendas roceadas,2014-06-01,71,71
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-06-01,4,4
COMARAPA,chagas viviendas,       viviendas roceadas,2014-06-01,348,348
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-06-01,6,6
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-06-01,4,4
EL TORNO,chagas viviendas,       viviendas roceadas,2014-06-01,125,125
EL VILLAR,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-06-01,109,109
HUACARETA,chagas viviendas,       viviendas roceadas,2014-06-01,44,44
ICLA,chagas viviendas,       viviendas roceadas,2014-06-01,20,20
INCAHUASI,chagas viviendas,       viviendas roceadas,2014-06-01,39,39
LURIBAY,chagas viviendas,       viviendas roceadas,2014-06-01,56,56
MACHARETI,chagas viviendas,       viviendas roceadas,2014-06-01,109,109
MAIRANA,chagas viviendas,       viviendas roceadas,2014-06-01,140,140
MOJOCOYA,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
MONTEAGUDO,chagas viviendas,       viviendas roceadas,2014-06-01,5,5
MORO MORO,chagas viviendas,       viviendas roceadas,2014-06-01,158,158
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
PADILLA,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
PASORAPA,chagas viviendas,       viviendas roceadas,2014-06-01,2,2
POCONA,chagas viviendas,       viviendas roceadas,2014-06-01,4,4
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-06-01,14,14
POROMA,chagas viviendas,       viviendas roceadas,2014-06-01,41,41
POSTRER VALLE,chagas viviendas,       viviendas roceadas,2014-06-01,18,18
PUCARA,chagas viviendas,       viviendas roceadas,2014-06-01,210,210
PUNA,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
PUNATA,chagas viviendas,       viviendas roceadas,2014-06-01,15,15
RAVELO,chagas viviendas,       viviendas roceadas,2014-06-01,114,114
ROBORE,chagas viviendas,       viviendas roceadas,2014-06-01,112,112
SACABA,chagas viviendas,       viviendas roceadas,2014-06-01,9,9
SACABAMBA,chagas viviendas,       viviendas roceadas,2014-06-01,1,1
SAIPINA,chagas viviendas,       viviendas roceadas,2014-06-01,4,4
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
SAN JULIAN,chagas viviendas,       viviendas roceadas,2014-06-01,1,1
SAN PEDRO,chagas viviendas,       viviendas roceadas,2014-06-01,10,10
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-06-01,12,12
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-06-01,12,12
SAPAHAQUI,chagas viviendas,       viviendas roceadas,2014-06-01,198,198
SICA SICA (VILLA AROMA),chagas viviendas,       viviendas roceadas,2014-06-01,14,14
SICAYA,chagas viviendas,       viviendas roceadas,2014-06-01,10,10
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-06-01,5,5
TAPACARI,chagas viviendas,       viviendas roceadas,2014-06-01,24,24
TARABUCO,chagas viviendas,       viviendas roceadas,2014-06-01,1,1
TARATA,chagas viviendas,       viviendas roceadas,2014-06-01,1,1
TARIJA,chagas viviendas,       viviendas roceadas,2014-06-01,108,108
TARVITA,chagas viviendas,       viviendas roceadas,2014-06-01,6,6
TOCO,chagas viviendas,       viviendas roceadas,2014-06-01,4,4
TOMINA,chagas viviendas,       viviendas roceadas,2014-06-01,126,126
TRIGAL,chagas viviendas,       viviendas roceadas,2014-06-01,118,118
TUPIZA,chagas viviendas,       viviendas roceadas,2014-06-01,7,7
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas roceadas,2014-06-01,22,22
VALLEGRANDE,chagas viviendas,       viviendas roceadas,2014-06-01,154,154
VILLA CHARCAS,chagas viviendas,       viviendas roceadas,2014-06-01,14,14
VILLA MONTES,chagas viviendas,       viviendas roceadas,2014-06-01,15,15
VILLA RIVERO,chagas viviendas,       viviendas roceadas,2014-06-01,2,2
VILLA SERRANO,chagas viviendas,       viviendas roceadas,2014-06-01,3,3
VINTO,chagas viviendas,       viviendas roceadas,2014-06-01,2,2
VITICHI,chagas viviendas,       viviendas roceadas,2014-06-01,11,11
YACUIBA,chagas viviendas,       viviendas roceadas,2014-06-01,2,2
YOTALA,chagas viviendas,       viviendas roceadas,2014-06-01,78,78
YUNCHARA,chagas viviendas,       viviendas roceadas,2014-06-01,1,1
ZUDAÑEZ,chagas viviendas,       viviendas roceadas,2014-06-01,4,4
ACACIO,chagas viviendas,       viviendas roceadas,2014-07-01,20,20
AIQUILE,chagas viviendas,       viviendas roceadas,2014-07-01,61,61
ANZALDO,chagas viviendas,       viviendas roceadas,2014-07-01,4,4
ARAMPAMPA,chagas viviendas,       viviendas roceadas,2014-07-01,31,31
ARANI,chagas viviendas,       viviendas roceadas,2014-07-01,11,11
ARBIETO,chagas viviendas,       viviendas roceadas,2014-07-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas roceadas,2014-07-01,3,3
BETANZOS,chagas viviendas,       viviendas roceadas,2014-07-01,12,12
"CAIZA ""D""",chagas viviendas,       viviendas roceadas,2014-07-01,24,24
CAMARGO,chagas viviendas,       viviendas roceadas,2014-07-01,95,95
CAPINOTA,chagas viviendas,       viviendas roceadas,2014-07-01,30,30
CARAPARI,chagas viviendas,       viviendas roceadas,2014-07-01,137,137
CLIZA,chagas viviendas,       viviendas roceadas,2014-07-01,3,3
COCHABAMBA,chagas viviendas,       viviendas roceadas,2014-07-01,50,50
COLCAPIRHUA,chagas viviendas,       viviendas roceadas,2014-07-01,3,3
COMARAPA,chagas viviendas,       viviendas roceadas,2014-07-01,403,403
COTAGAITA,chagas viviendas,       viviendas roceadas,2014-07-01,7,7
CULPINA,chagas viviendas,       viviendas roceadas,2014-07-01,1238,1238
EL PUENTE(TJA),chagas viviendas,       viviendas roceadas,2014-07-01,13,13
EL TORNO,chagas viviendas,       viviendas roceadas,2014-07-01,45,45
ENTRE RIOS TRJ,chagas viviendas,       viviendas roceadas,2014-07-01,92,92
ICLA,chagas viviendas,       viviendas roceadas,2014-07-01,3,3
INCAHUASI,chagas viviendas,       viviendas roceadas,2014-07-01,13,13
LURIBAY,chagas viviendas,       viviendas roceadas,2014-07-01,27,27
MAIRANA,chagas viviendas,       viviendas roceadas,2014-07-01,43,43
MIZQUE,chagas viviendas,       viviendas roceadas,2014-07-01,29,29
MONTEAGUDO,chagas viviendas,       viviendas roceadas,2014-07-01,11,11
MORO MORO,chagas viviendas,       viviendas roceadas,2014-07-01,29,29
OMEREQUE,chagas viviendas,       viviendas roceadas,2014-07-01,3,3
PAILON,chagas viviendas,       viviendas roceadas,2014-07-01,42,42
POCONA,chagas viviendas,       viviendas roceadas,2014-07-01,6,6
POJO (CBBA),chagas viviendas,       viviendas roceadas,2014-07-01,7,7
PUCARA,chagas viviendas,       viviendas roceadas,2014-07-01,135,135
PUNATA,chagas viviendas,       viviendas roceadas,2014-07-01,17,17
QUILLACOLLO,chagas viviendas,       viviendas roceadas,2014-07-01,6,6
RAVELO,chagas viviendas,       viviendas roceadas,2014-07-01,128,128
SACABA,chagas viviendas,       viviendas roceadas,2014-07-01,8,8
SAIPINA,chagas viviendas,       viviendas roceadas,2014-07-01,10,10
SAN ANTONIO DE LOMERIO,chagas viviendas,       viviendas roceadas,2014-07-01,30,30
SAN BENITO,chagas viviendas,       viviendas roceadas,2014-07-01,1,1
SAN LUCAS,chagas viviendas,       viviendas roceadas,2014-07-01,1212,1212
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas roceadas,2014-07-01,50,50
SANTIVAÑES,chagas viviendas,       viviendas roceadas,2014-07-01,20,20
SICAYA,chagas viviendas,       viviendas roceadas,2014-07-01,4,4
SOPACHUY,chagas viviendas,       viviendas roceadas,2014-07-01,10,10
TAPACARI,chagas viviendas,       viviendas roceadas,2014-07-01,2,2
