municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,465,465
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,1271,1271
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,31,31
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,124,124
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,403,403
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,279,279
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,155,155
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,155,155
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,1922,1922
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,544,544
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,897,897
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,341,341
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,93,93
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,2456,2456
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,278,278
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,93,93
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,214,214
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,310,310
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,121,121
CALAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,868,868
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,2646,2646
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,310,310
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,186,186
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,1085,1085
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,318,318
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,837,837
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,93,93
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,862,862
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,60,60
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,713,713
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,248,248
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,124,124
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,3248,3248
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,62,62
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,50491,50491
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,1116,1116
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,119,119
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,155,155
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,155,155
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,124,124
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,261,261
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,248,248
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,992,992
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,248,248
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,527,527
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,217,217
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,30,30
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,217,217
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,399,399
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,434,434
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,17382,17382
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,1736,1736
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,255,255
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,279,279
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,155,155
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,403,403
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,186,186
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,2155,2155
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2016-01-01,640,640
