municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,3,3
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,90,90
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,173,173
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,2449,2449
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,13,13
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,309,309
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,32,32
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,68,68
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,118,118
BATALLAS,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,19,19
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,110,110
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,713,713
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,24,24
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,3,3
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,59,59
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,66,66
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,70,70
CALAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,7,7
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,117,117
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,1514,1514
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,19,19
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,339,339
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,75,75
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,120,120
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,255,255
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,306,306
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,9,9
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,68,68
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2016-01-01,1616,1616
