municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,10,10
ACHACACHI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,32,32
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,15,15
AIQUILE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,22,22
ALALAY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,4,4
ALCALA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,11,11
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,17,17
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,5,5
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,4,4
ANZALDO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,7,7
APOLO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,18,18
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,7,7
ARANI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,10,10
ARBIETO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,20,20
ARQUE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,14,14
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,8,8
ATOCHA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,11,11
AUCAPATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,13,13
AYATA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,8,8
AYO AYO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,28,28
AZURDUY,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,9,9
BATALLAS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,33,33
BAURES,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,7,7
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,7,7
BERMEJO,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,51,51
BETANZOS,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,31,31
BOLIVAR,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,7,7
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) de 1 ano con 2da. dosis de vitamina a,2019-01-01,11,11
