municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,48,48
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,10,10
ACHOCALLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,103,103
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,211,211
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,31,31
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,30,30
ALTO BENI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,141,141
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,100,100
ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,41,41
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,26,26
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,70,70
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,2,2
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,73,73
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,68,68
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,282,282
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,162,162
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,22,22
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,117,117
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,65,65
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,73,73
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,51,51
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,263,263
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,138,138
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,165,165
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,69,69
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,7,7
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,14,14
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,47,47
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,369,369
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,73,73
BOLPEBRA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,22,22
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,73,73
BUENA VISTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,5,5
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,100,100
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2019-01-01,68,68
