municipality,group,variable,month,Niñas(os) de 1 año con dosis completas de zinc (Talla Baja),TOTAL
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,9,9
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,7,7
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,9,9
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,2,2
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,3,3
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,4,4
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,4,4
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,6,6
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,1,1
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,2,2
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,2,2
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,8,8
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,5,5
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,8,8
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,1,1
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,4,4
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,5,5
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,5,5
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,1,1
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completas de zinc (talla baja),2019-01-01,2,2
