municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,6,6
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,32,32
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,8,8
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,36,36
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,2,2
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,1,1
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,10,10
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,9,9
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,1,1
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,7,7
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,22,22
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,6,6
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,5,5
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,2,2
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,50,50
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,3,3
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,3,3
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,5,5
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,31,31
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,21,21
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,12,12
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,6,6
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,1,1
BELLA FLOR,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,51,51
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,30,30
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,3,3
BOLPEBRA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,2,2
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,3,3
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,10,10
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,25,25
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,9,9
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,4,4
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,13,13
CALAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,9,9
CAMARGO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,25,25
CAMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,91,91
CAPINOTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,16,16
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,7,7
CARACOLLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,13,13
CARANAVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,83,83
CARAPARI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,15,15
CARIPUYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,8,8
CHACARILLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,2,2
CHALLAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,46,46
CHAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,5,5
CHARAGUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,36,36
CHARAÑA,micronutrientes,mujeres puerperas con dosis completa de hierro,2019-01-01,1,1
