municipality,group,variable,month,Niñas(os) menores de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,18,18
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,7,7
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,58,58
AIQUILE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,138,138
ALALAY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,8,8
ALCALA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,13,13
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,75,75
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,50,50
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,24,24
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,17,17
ANZALDO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,32,32
APOLO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,1,1
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,23,23
ARANI,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,36,36
ARBIETO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,160,160
ARQUE,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,80,80
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,9,9
ATOCHA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,62,62
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,29,29
AYATA,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,27,27
AYO AYO,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,142,142
AZURDUY,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,75,75
BATALLAS,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,71,71
BAURES,micronutrientes,ninas(os) menores de 1 ano que reciben alimento complementario,2019-01-01,38,38
