municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
ACHACACHI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,37,37
ACHOCALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
AIQUILE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,36,36
ALALAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
ALCALA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
ALTO BENI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
ANCORAIMES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
ANZALDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
APOLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,22,22
ARAMPAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
ARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
ARBIETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
ARQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,55,55
ATOCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
AUCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
AYATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
AYO AYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,31,31
AZURDUY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,21,21
BATALLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
BAURES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
BELLA FLOR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,49,49
BETANZOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,27,27
BOLIVAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
BOLPEBRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
BOYUIBE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
BUENA VISTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
CABEZAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,40,40
CAIROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
CAJUATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
CALAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
CAMARGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,25,25
CAMIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,89,89
CAPINOTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,16,16
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
CARACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
CARANAVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,83,83
CARAPARI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
CARIPUYO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
CHACARILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
CHALLAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,46,46
CHAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
CHARAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,36,36
CHARAÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
CHAYANTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,16,16
CHIMORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
CHIPAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
CHUA COCANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,32,32
CHUMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
CKOCHAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
CLIZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,43,43
COBIJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,145,145
COCAPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
COCHABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,518,518
COIPASA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,32,32
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
COLLANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
COLOMI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,21,21
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
COLQUECHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,67,67
COLQUENCHA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
COLQUIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
COMANCHE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
COMARAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,28,28
CONCEPCION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,30,30
COPACABANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,17,17
CORIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
CORO CORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
COROICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,27,27
CORQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
COTAGAITA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
COTOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,75,75
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,14,14
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
CUEVO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
CULPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,18,18
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
CURVA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
DESAGUADERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
EL ALTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1407,1407
EL CHORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
EL TORNO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,76,76
EL VILLAR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,31,31
ESCOMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,11,11
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
EUREKA (SANTOS MERCADO),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
EXALTACION,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
FILADELFIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
GUANAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
GUAQUI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,150,150
GUTIERREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,14,14
HUACARETA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
HUACHACALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
HUANUNI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,22,22
HUARACAJE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
HUARINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
HUATAJATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
HUMANATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
ICHOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
ICLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
INCAHUASI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
INGAVI (HUMAITA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
INQUISIVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,16,16
IXIAMAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
LA ASUNTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,49,49
LA GUARDIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,52,52
LA PAZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1159,1159
LAGUNILLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
LAJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,16,16
LAS CARRERAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
LICOMA PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
LLALLAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,81,81
LLICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
LORETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
LURIBAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
MACHACAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
MACHARETI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
MAGDALENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,19,19
MAIRANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,25,25
MALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
MAPIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,23,23
MECAPACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
MINEROS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
MIZQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,23,23
MOCOMOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,9,9
MOJOCOYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
MONTEAGUDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,42,42
MONTERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,89,89
MOROCHATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
OCURI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
OKINAWA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,13,13
OMEREQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,4,4
ORURO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,476,476
PADCAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
PADILLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
PAILON,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,36,36
PALCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,11,11
PALOS BLANCOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,36,36
PAMPA AULLAGAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
PAMPA GRANDE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
PAPEL PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
PASORAPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
PATACAMAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,40,40
PAZÑA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
PELECHUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
POCOATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,25,25
POCONA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
POJO (CBBA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,15,15
POOPO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
PORCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
POROMA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,22,22
PORONGO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,6,6
PORTACHUELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,21,21
PORVENIR,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
POSTRER VALLE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
POTOSI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,380,380
PRESTO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
PUCARA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
PUCARANI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,34,34
PUERTO ACOSTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
PUERTO CARABUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
PUERTO GONZALO MORENO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,10,10
PUERTO PEREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
PUERTO QUIJARRO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,31,31
PUERTO RICO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
PUERTO SILES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
PUERTO SUAREZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,25,25
PUERTO VILLARROEL,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,152,152
PUNA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,19,19
PUNATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,79,79
QUIABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
QUILLACOLLO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,175,175
QUIME,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
RAQAYPAMPA(ETA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,8,8
RAVELO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,14,14
REYES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,20,20
RIBERALTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,326,326
ROBORE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,26,26
RURRENABAQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,51,51
SABAYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
SACABA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,277,277
SACABAMBA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
SACACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,27,27
SAIPINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
SALINAS DE GARCI MENDOZA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,7,7
SAMAIPATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,5,5
SAN AGUSTIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
SAN ANDRES,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,12,12
SAN ANTONIO DE ESMORUCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
SAN ANTONIO DE LOMERIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,11,11
SAN BENITO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,3,3
SAN BORJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,79,79
SAN BUENA VENTURA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,17,17
SAN CARLOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,31,31
SAN IGNACIO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,31,31
SAN IGNACIO DE VELASCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,126,126
SAN JAVIER(BNI),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,2,2
SAN JAVIER(STC),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,27,27
SAN JOAQUIN,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2019-01-01,39,39
