municipality,group,variable,month,Niñas(os) menores de 1 año con dosis única de vitamina A,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,33,33
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,23,23
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,31,31
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,2,2
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,15,15
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,20,20
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,7,7
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,27,27
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,2,2
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,13,13
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,42,42
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,43,43
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,15,15
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,2,2
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,7,7
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,16,16
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,37,37
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,11,11
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,23,23
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,10,10
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,9,9
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,61,61
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,35,35
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,6,6
BOLPEBRA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,4,4
BOYUIBE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,9,9
BUENA VISTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,22,22
CABEZAS,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,80,80
CAIROMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,18,18
"CAIZA ""D""",micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,9,9
CAJUATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,19,19
CALACOTO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,2,2
CALAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,17,17
CAMARGO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,3,3
CAMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,85,85
CAPINOTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,24,24
CAQUIAVIRI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,15,15
CARACOLLO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,30,30
CARANAVI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,67,67
CARAPARI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,21,21
CARIPUYO,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,14,14
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,5,5
CHACARILLA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,1,1
CHALLAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,45,45
CHAQUI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,18,18
CHARAGUA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,38,38
CHARAÑA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,4,4
CHAYANTA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,31,31
CHIMORE,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,67,67
CHIPAYA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,3,3
CHUA COCANI,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,31,31
CHUMA,micronutrientes,ninas(os) menores de 1 ano con dosis unica de vitamina a,2019-01-01,7,7
