municipality,group,variable,month,Niñas(os) menores de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,4,4
ACHACACHI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,35,35
ACHOCALLA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,22,22
AIQUILE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,31,31
ALALAY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,2,2
ALCALA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,15,15
ANCORAIMES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,18,18
ANDAMARCA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,1,1
ANZALDO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,8,8
APOLO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,27,27
ARAMPAMPA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,2,2
ARANI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,14,14
ARBIETO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,42,42
ARQUE,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,18,18
ATOCHA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,17,17
AUCAPATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,2,2
AYATA,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,7,7
AYO AYO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,37,37
AZURDUY,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,11,11
BATALLAS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,23,23
BAURES,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,12,12
BELEN DE URMIRI,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,9,9
BERMEJO,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,61,61
BETANZOS,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,31,31
BOLIVAR,micronutrientes,ninas(os) menores de 1 ano con dosis completa de hierro,2019-01-01,6,6
