municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,4,4
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,43,43
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,32,32
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,37,37
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,4,4
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,6,6
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,14,14
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,14,14
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,3,3
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,2,2
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,12,12
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,32,32
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,4,4
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,8,8
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,31,31
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,16,16
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,55,55
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,12,12
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,7,7
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,7,7
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,21,21
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,37,37
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,12,12
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,34,34
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,14,14
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,7,7
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,120,120
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,42,42
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,13,13
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,3,3
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,13,13
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,36,36
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,67,67
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,18,18
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,21,21
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,34,34
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2019-01-01,15,15
