municipality,group,variable,month,Niñas(os) RN con lactancia materna inmediata,TOTAL
ACACIO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,6,6
ACHACACHI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,32,32
ACHOCALLA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,7,7
AIQUILE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,26,26
ALALAY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,2,2
ALCALA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,1,1
ALTO BENI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,9,9
ANCORAIMES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,9,9
ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,1,1
ANZALDO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,7,7
APOLO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,22,22
ARAMPAMPA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,6,6
ARANI,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,5,5
ARBIETO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,2,2
ARQUE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,29,29
ATOCHA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,11,11
AUCAPATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,3,3
AYATA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,5,5
AYO AYO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,31,31
AZURDUY,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,21,21
BATALLAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,12,12
BAURES,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,6,6
BELEN DE ANDAMARCA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,2,2
BERMEJO,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,23,23
BETANZOS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,30,30
BOLIVAR,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,3,3
BOLPEBRA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,1,1
BOYUIBE,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,3,3
BUENA VISTA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,7,7
CABEZAS,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,25,25
CAIROMA,micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,10,10
"CAIZA ""D""",micronutrientes,ninas(os) rn con lactancia materna inmediata,2019-01-01,4,4
