municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,9,9
ACHACACHI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,32,32
ACHOCALLA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,15,15
AIQUILE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,30,30
ALALAY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,7,7
ALCALA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,4,4
ALTO BENI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,16,16
ANCORAIMES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,13,13
ANDAMARCA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,8,8
ANTEQUERA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,7,7
ANZALDO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,11,11
APOLO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,22,22
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,8,8
ARANI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,19,19
ARBIETO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,32,32
ARQUE,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,17,17
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,22,22
ATOCHA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,15,15
AUCAPATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,7,7
AYATA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,6,6
AYO AYO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,17,17
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,27,27
AZURDUY,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,15,15
BATALLAS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,23,23
BAURES,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,13,13
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,1,1
BELLA FLOR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,8,8
BERMEJO,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,75,75
BETANZOS,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,33,33
BOLIVAR,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,5,5
BOLPEBRA,micronutrientes,ninas(os) de 1 ano con dosis completa de hierro,2019-01-01,3,3
