municipality,group,variable,month,Niñas(os) de 6 meses con lactancia materna exclusiva,TOTAL
ACACIO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,2,2
ACHACACHI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,95,95
ACHOCALLA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,4,4
AIQUILE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,33,33
ALALAY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,1,1
ALCALA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,3,3
ALTO BENI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,11,11
ANCORAIMES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,3,3
ANDAMARCA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,6,6
ANTEQUERA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,1,1
ANZALDO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,4,4
APOLO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,17,17
ARAMPAMPA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,2,2
ARANI,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,9,9
ARBIETO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,2,2
ARQUE,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,7,7
ASCENCION DE GUARAYOS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,31,31
ATOCHA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,27,27
AYATA,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,4,4
AYO AYO,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,13,13
AZURDUY,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,6,6
BATALLAS,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,7,7
BAURES,micronutrientes,ninas(os) de 6 meses con lactancia materna exclusiva,2019-01-01,17,17
