,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,11,6,11,6,17
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,5,7,11,11,16,18,34
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,0,3,2,4,6
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,2,1,26,29,28,30,58
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,4,1,1,1,5,2,7
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,1,12,5,12,6,18
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,0,1,0,1,1
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,3,6,8,4,11,10,21
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,3,5,4,5,9
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,7,15,8,15,23
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,6,7,7,7,14
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,1,0,12,17,13,17,30
ARANI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2023-01-01,0,0,4,3,4,3,7
