,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,2,0,8,8,10,8,18
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,18,26,107,132,125,158,283
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,20,21,183,155,203,176,379
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,24,14,56,76,80,90,170
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,7,6,3,7,10,17
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,3,6,3,7,6,13
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,7,4,51,50,58,54,112
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,4,2,45,44,49,46,95
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,1,11,6,11,7,18
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,0,2,6,7,6,9,15
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,3,7,41,41,44,48,92
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,11,11,97,92,108,103,211
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2023-01-01,1,1,6,4,7,5,12
