municipality,group,variable,month,Viviendas Positivas,TOTAL
ARAMPAMPA,chagas viviendas,viviendas positivas,2021-01-01,1,1
ARANI,chagas viviendas,viviendas positivas,2021-01-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2021-01-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2021-01-01,2,2
COCHABAMBA,chagas viviendas,viviendas positivas,2021-01-01,3,3
ICLA,chagas viviendas,viviendas positivas,2021-01-01,3,3
MECAPACA,chagas viviendas,viviendas positivas,2021-01-01,9,9
MIZQUE,chagas viviendas,viviendas positivas,2021-01-01,0,0
POJO (CBBA),chagas viviendas,viviendas positivas,2021-01-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2021-01-01,4,4
QUILLACOLLO,chagas viviendas,viviendas positivas,2021-01-01,2,2
SUCRE,chagas viviendas,viviendas positivas,2021-01-01,12,12
TACOBAMBA,chagas viviendas,viviendas positivas,2021-01-01,13,13
TOCO,chagas viviendas,viviendas positivas,2021-01-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2021-01-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2021-01-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2021-01-01,4,4
ARANI,chagas viviendas,viviendas positivas,2021-02-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2021-02-01,5,5
ARQUE,chagas viviendas,viviendas positivas,2021-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2021-02-01,3,3
BOYUIBE,chagas viviendas,viviendas positivas,2021-02-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2021-02-01,7,7
CARAPARI,chagas viviendas,viviendas positivas,2021-02-01,7,7
COCHABAMBA,chagas viviendas,viviendas positivas,2021-02-01,10,10
COTAGAITA,chagas viviendas,viviendas positivas,2021-02-01,3,3
OCURI,chagas viviendas,viviendas positivas,2021-02-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2021-02-01,1,1
PUNATA,chagas viviendas,viviendas positivas,2021-02-01,6,6
QUILLACOLLO,chagas viviendas,viviendas positivas,2021-02-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2021-02-01,2,2
SANTIVAÑES,chagas viviendas,viviendas positivas,2021-02-01,5,5
SIPE SIPE,chagas viviendas,viviendas positivas,2021-02-01,5,5
TACOBAMBA,chagas viviendas,viviendas positivas,2021-02-01,7,7
TOMINA,chagas viviendas,viviendas positivas,2021-02-01,23,23
TORO TORO,chagas viviendas,viviendas positivas,2021-02-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas positivas,2021-02-01,2,2
TUPIZA,chagas viviendas,viviendas positivas,2021-02-01,6,6
VILLA RIVERO,chagas viviendas,viviendas positivas,2021-02-01,6,6
YAMPARAEZ,chagas viviendas,viviendas positivas,2021-02-01,11,11
ARQUE,chagas viviendas,viviendas positivas,2021-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2021-03-01,9,9
BETANZOS,chagas viviendas,viviendas positivas,2021-03-01,15,15
"CAIZA ""D""",chagas viviendas,viviendas positivas,2021-03-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2021-03-01,4,4
CARAPARI,chagas viviendas,viviendas positivas,2021-03-01,5,5
COCHABAMBA,chagas viviendas,viviendas positivas,2021-03-01,7,7
COTAGAITA,chagas viviendas,viviendas positivas,2021-03-01,2,2
EL TORNO,chagas viviendas,viviendas positivas,2021-03-01,3,3
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2021-03-01,2,2
INCAHUASI,chagas viviendas,viviendas positivas,2021-03-01,22,22
LAS CARRERAS,chagas viviendas,viviendas positivas,2021-03-01,2,2
LURIBAY,chagas viviendas,viviendas positivas,2021-03-01,2,2
PASORAPA,chagas viviendas,viviendas positivas,2021-03-01,2,2
POROMA,chagas viviendas,viviendas positivas,2021-03-01,3,3
PUNATA,chagas viviendas,viviendas positivas,2021-03-01,5,5
QUILLACOLLO,chagas viviendas,viviendas positivas,2021-03-01,4,4
SACABA,chagas viviendas,viviendas positivas,2021-03-01,4,4
SANTIVAÑES,chagas viviendas,viviendas positivas,2021-03-01,10,10
SIPE SIPE,chagas viviendas,viviendas positivas,2021-03-01,31,31
TACOBAMBA,chagas viviendas,viviendas positivas,2021-03-01,3,3
TOMAVE,chagas viviendas,viviendas positivas,2021-03-01,2,2
TORO TORO,chagas viviendas,viviendas positivas,2021-03-01,1,1
TUPIZA,chagas viviendas,viviendas positivas,2021-03-01,1,1
VILLA MONTES,chagas viviendas,viviendas positivas,2021-03-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2021-03-01,4,4
VITICHI,chagas viviendas,viviendas positivas,2021-03-01,6,6
YAMPARAEZ,chagas viviendas,viviendas positivas,2021-03-01,35,35
YOTALA,chagas viviendas,viviendas positivas,2021-03-01,6,6
YUNCHARA,chagas viviendas,viviendas positivas,2021-03-01,2,2
ZUDAÑEZ,chagas viviendas,viviendas positivas,2021-03-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2021-04-01,36,36
ARAMPAMPA,chagas viviendas,viviendas positivas,2021-04-01,1,1
ARANI,chagas viviendas,viviendas positivas,2021-04-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2021-04-01,5,5
BETANZOS,chagas viviendas,viviendas positivas,2021-04-01,37,37
BOYUIBE,chagas viviendas,viviendas positivas,2021-04-01,5,5
CAMARGO,chagas viviendas,viviendas positivas,2021-04-01,5,5
CAPINOTA,chagas viviendas,viviendas positivas,2021-04-01,10,10
CKOCHAS,chagas viviendas,viviendas positivas,2021-04-01,17,17
COCHABAMBA,chagas viviendas,viviendas positivas,2021-04-01,14,14
CUEVO,chagas viviendas,viviendas positivas,2021-04-01,14,14
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2021-04-01,2,2
ICLA,chagas viviendas,viviendas positivas,2021-04-01,2,2
INCAHUASI,chagas viviendas,viviendas positivas,2021-04-01,154,154
LA ASUNTA,chagas viviendas,viviendas positivas,2021-04-01,11,11
OCURI,chagas viviendas,viviendas positivas,2021-04-01,2,2
PADCAYA,chagas viviendas,viviendas positivas,2021-04-01,1,1
POROMA,chagas viviendas,viviendas positivas,2021-04-01,3,3
PUNA,chagas viviendas,viviendas positivas,2021-04-01,4,4
PUNATA,chagas viviendas,viviendas positivas,2021-04-01,4,4
QUILLACOLLO,chagas viviendas,viviendas positivas,2021-04-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2021-04-01,1,1
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2021-04-01,1,1
SANTIVAÑES,chagas viviendas,viviendas positivas,2021-04-01,3,3
SAPAHAQUI,chagas viviendas,viviendas positivas,2021-04-01,6,6
